FamilyID	Hleu<1>	Mglob<2>	Pliv<3>	Spurp_prefixed<4>	Lvar<5>	Lpic<6>	<7>	<8>	<9>	<10>	<11>
OG0000004	-8	-43	-13	61	18	-20	0	5	14	28	-1
OG0000005	-14	-35	46	40	-15	-7	0	10	12	0	-8
OG0000007	27	-26	-5	44	-15	3	0	-15	4	9	-3
OG0000008	53	-30	111	6	-7	-7	0	-26	4	-16	-11
OG0000009	83	-27	37	-9	-3	3	0	-39	2	-7	0
OG0000010	91	-9	-19	59	-12	0	0	-40	-1	5	-4
OG0000012	160	-7	12	-3	0	-2	0	-63	-2	-10	-1
OG0000020	133	-7	-5	30	-1	-3	0	-49	0	1	-3
OG0000024	4	-15	153	-6	0	-2	0	-3	3	-17	-1
OG0000025	21	-19	130	-1	-2	-4	0	-11	3	-15	-4
OG0000026	-10	-16	0	95	-4	-9	0	7	6	8	-5
OG0000028	64	-13	22	10	-3	-8	0	-29	0	-5	-7
OG0000029	-10	-7	80	-2	-1	-7	0	8	3	-12	-3
OG0000033	9	-19	95	1	-8	-1	0	-6	4	-10	-3
OG0000039	22	-13	83	-1	-8	0	0	-12	1	-14	-2
OG0000043	136	-1	0	0	0	0	0	-47	0	-1	0
OG0000045	-8	-14	102	-11	-2	2	0	6	6	-7	0
OG0000061	-7	-12	91	10	-6	-3	0	6	6	-5	-8
OG0000064	-2	-8	97	-1	-1	-2	0	1	2	-9	-2
OG0000069	68	-7	15	-3	-1	0	0	-27	0	-5	0
