FamilyID	Hleu<1>	Mglob<2>	Pliv<3>	Spurp_prefixed<4>	Lvar<5>	Lpic<6>	<7>	<8>	<9>	<10>	<11>
OG0000004	48	18	62	164	120	82	56	61	75	103	102
OG0000005	42	31	124	118	55	63	56	66	78	78	70
OG0000007	86	18	43	101	39	57	59	44	48	57	54
OG0000008	119	10	155	34	10	10	66	40	44	28	17
OG0000009	159	10	76	23	29	35	76	37	39	32	32
OG0000010	159	19	8	91	16	28	68	28	27	32	28
OG0000012	242	12	29	4	6	4	82	19	17	7	6
OG0000020	190	1	3	39	5	3	57	8	8	9	6
OG0000024	30	8	179	3	8	6	26	23	26	9	8
OG0000025	55	4	156	10	5	3	34	23	26	11	7
OG0000026	7	8	30	133	29	24	17	24	30	38	33
OG0000028	117	11	46	29	9	4	53	24	24	19	12
OG0000029	15	26	116	22	20	14	25	33	36	24	21
OG0000033	39	5	123	19	7	14	30	24	28	18	15
OG0000039	57	10	107	9	0	8	35	23	24	10	8
OG0000043	184	0	1	0	0	0	48	1	1	0	0
OG0000045	5	5	127	7	16	20	13	19	25	18	18
OG0000061	1	2	111	25	1	4	8	14	20	15	7
OG0000064	10	5	112	5	3	2	12	13	15	6	4
OG0000069	103	1	23	0	2	3	35	8	8	3	3
