Orthogroup,GeneFamily,Hleu,Lpic,Lvar,Mglob,Pliv,Spurp_prefixed,Total
OG0000000,SRCR,928.0,18.0,18.0,2.0,20.0,8.0,994.0
OG0000001,SRCR,341.0,41.0,31.0,71.0,66.0,59.0,609.0
OG0000004,SRCR,48.0,82.0,120.0,18.0,62.0,164.0,494.0
OG0000004,TLR,48.0,82.0,120.0,18.0,62.0,164.0,494.0
OG0000004,rhol,48.0,82.0,120.0,18.0,62.0,164.0,494.0
OG0000005,MSP130,42.0,63.0,55.0,31.0,124.0,118.0,433.0
OG0000016,SRCR,5.0,36.0,47.0,90.0,34.0,65.0,277.0
OG0000026,SRCR,7.0,24.0,29.0,8.0,30.0,133.0,231.0
OG0000030,SRCR,3.0,53.0,35.0,3.0,86.0,32.0,212.0
OG0000032,SRCR,51.0,23.0,27.0,16.0,54.0,36.0,207.0
OG0000033,SRCR,39.0,14.0,7.0,5.0,123.0,19.0,207.0
OG0000034,rhol,46.0,45.0,27.0,12.0,30.0,46.0,206.0
OG0000039,SRCR,57.0,8.0,0.0,10.0,107.0,9.0,191.0
OG0000046,opsin,40.0,17.0,18.0,21.0,68.0,15.0,179.0
OG0000046,rhol,40.0,17.0,18.0,21.0,68.0,15.0,179.0
OG0000051,SRCR,36.0,38.0,11.0,22.0,34.0,32.0,173.0
OG0000054,TLR,1.0,18.0,29.0,7.0,33.0,79.0,167.0
OG0000059,TLR,0.0,31.0,30.0,2.0,36.0,54.0,153.0
OG0000072,SRCR,14.0,11.0,16.0,10.0,15.0,60.0,126.0
OG0000081,opsin,0.0,3.0,3.0,4.0,45.0,61.0,116.0
OG0000081,rhol,0.0,3.0,3.0,4.0,45.0,61.0,116.0
OG0000104,SRCR,5.0,13.0,10.0,22.0,8.0,44.0,102.0
OG0000109,SRCR,2.0,24.0,21.0,6.0,11.0,32.0,96.0
OG0000109,opsin,2.0,24.0,21.0,6.0,11.0,32.0,96.0
OG0000116,SRCR,6.0,12.0,11.0,10.0,20.0,34.0,93.0
OG0000136,SRCR,3.0,14.0,15.0,11.0,17.0,25.0,85.0
OG0000146,SRCR,13.0,15.0,29.0,7.0,9.0,8.0,81.0
OG0000146,TLR,13.0,15.0,29.0,7.0,9.0,8.0,81.0
OG0000153,SRCR,14.0,13.0,6.0,11.0,12.0,22.0,78.0
OG0000156,opsin,16.0,10.0,11.0,6.0,7.0,27.0,77.0
OG0000156,rhol,16.0,10.0,11.0,6.0,7.0,27.0,77.0
OG0000178,TLR,10.0,13.0,10.0,9.0,9.0,22.0,73.0
OG0000203,SRCR,0.0,7.0,22.0,2.0,10.0,28.0,69.0
OG0000208,SRCR,42.0,5.0,6.0,1.0,2.0,11.0,67.0
OG0000208,TLR,42.0,5.0,6.0,1.0,2.0,11.0,67.0
OG0000212,TLR,0.0,14.0,18.0,5.0,10.0,20.0,67.0
OG0000236,SRCR,1.0,7.0,27.0,1.0,4.0,22.0,62.0
OG0000242,SRCR,4.0,4.0,2.0,1.0,9.0,41.0,61.0
OG0000245,opsin,3.0,9.0,6.0,24.0,7.0,11.0,60.0
OG0000245,rhol,3.0,9.0,6.0,24.0,7.0,11.0,60.0
OG0000249,opsin,2.0,13.0,13.0,6.0,4.0,22.0,60.0
OG0000249,rhol,2.0,13.0,13.0,6.0,4.0,22.0,60.0
OG0000278,TLR,35.0,4.0,6.0,1.0,3.0,6.0,55.0
OG0000296,opsin,15.0,6.0,12.0,8.0,4.0,7.0,52.0
OG0000296,rhol,15.0,6.0,12.0,8.0,4.0,7.0,52.0
OG0000299,opsin,0.0,9.0,6.0,0.0,10.0,27.0,52.0
OG0000299,rhol,0.0,9.0,6.0,0.0,10.0,27.0,52.0
OG0000306,SRCR,3.0,10.0,10.0,7.0,11.0,10.0,51.0
OG0000315,opsin,22.0,6.0,4.0,9.0,7.0,2.0,50.0
OG0000315,rhol,22.0,6.0,4.0,9.0,7.0,2.0,50.0
OG0000325,TLR,0.0,20.0,19.0,1.0,1.0,9.0,50.0
OG0000328,SRCR,0.0,0.0,0.0,0.0,0.0,50.0,50.0
OG0000335,SRCR,0.0,0.0,0.0,0.0,1.0,48.0,49.0
OG0000379,SRCR,4.0,3.0,17.0,2.0,4.0,14.0,44.0
OG0000384,TLR,6.0,10.0,12.0,1.0,5.0,10.0,44.0
OG0000386,opsin,9.0,7.0,8.0,3.0,3.0,14.0,44.0
OG0000386,rhol,9.0,7.0,8.0,3.0,3.0,14.0,44.0
