GeneFamily,Hleu,Lpic,Lvar,Mglob,Pliv,Spurp_prefixed
FMO,-0.7863,0.8986,1.7411,-0.7863,-0.9548,-0.1123
MSP130,-0.9387,-0.2907,-0.3904,-1.0882,1.2294,1.4786
NACHT,-0.9638,0.0319,1.2957,-0.8872,-0.8489,1.3723
PKS,0.8157,1.3804,-0.1255,-1.0667,-1.4431,0.4392
SM30,-1.4482,0.3496,0.9488,0.0499,-1.1486,1.2484
SM50,-1.7202,0.4527,0.1811,0.1811,-0.6338,1.5391
SOX,-1.1142,0.0000,0.5571,-0.9285,-0.3714,1.8570
SRCR,1.6480,-0.8089,-0.5992,-1.2357,0.1459,0.8499
TLR,-0.5527,-0.0425,0.5697,-1.3616,-0.4361,1.8232
fox,-0.7695,1.0772,0.8134,-1.0333,-1.1652,1.0772
gcml,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
hox11:13,-1.5045,0.5786,0.8101,-0.5786,-0.6944,1.3887
opsin,-1.3843,0.0050,0.5286,-0.8205,-0.0956,1.7669
pax,-1.0712,0.8396,1.0712,-0.8396,-1.0712,1.0712
rhol,-0.8305,-0.0155,0.5045,-1.2884,-0.2018,1.8317
