FamilyID	Hleu<1>	Mglob<2>	Pliv<3>	Spurp_prefixed<4>	Lvar<5>	Lpic<6>	<7>	<8>	<9>	<10>	<11>
OG0000004	0.479889	8.6238e-17	0.0222336	8.53916e-21	0.000342236	1.93788e-05	N/A	0.454349	1.96906e-05	1.59649e-11	0.760737
OG0000005	0.150355	3.73796e-10	1.92434e-11	4.97027e-13	9.79611e-05	0.0654278	N/A	0.182639	0.000212844	0.944011	0.000402615
OG0000007	0.0102461	1.01218e-08	0.30228	6.26276e-18	1.30443e-05	0.342269	N/A	0.0538136	0.0891437	0.00263223	0.139565
OG0000008	9.65764e-06	5.32943e-13	9.38376e-52	0.0414663	0.000267426	0.000267426	N/A	0.000775526	0.0756194	1.20728e-08	8.77097e-11
OG0000009	1.07467e-09	1.79928e-11	1.93717e-12	0.00263733	0.295674	0.217848	N/A	8.15181e-07	0.317535	0.00575261	0.842244
OG0000010	1.09426e-11	0.0228156	1.5407e-09	5.12501e-34	1.34926e-06	0.917752	N/A	4.1689e-08	0.698098	0.0280837	0.0056475
OG0000012	1.0294e-23	0.0303566	0.000191633	0.0280634	0.801676	0.13262	N/A	2.57576e-17	0.276242	4.4815e-08	0.241895
OG0000020	6.51771e-22	0.000172966	0.00414802	1.5136e-21	0.485716	0.010846	N/A	2.08349e-16	0.781359	0.271286	0.00104214
OG0000024	0.462457	3.81676e-06	3.95526e-88	0.000169677	0.833337	0.184687	N/A	0.665498	0.0762159	1.41922e-13	0.291027
OG0000025	0.00973185	8.97602e-10	1.00519e-72	0.657232	0.159217	0.00241039	N/A	0.0605009	0.0762159	3.58852e-11	0.000123959
OG0000026	0.0494145	1.79746e-06	0.944983	9.36643e-59	0.162914	0.000983101	N/A	0.085571	0.00314149	0.00103475	0.00180151
OG0000028	2.87444e-08	0.000132554	5.16052e-08	0.000175761	0.05293	1.82288e-06	N/A	1.14438e-05	0.885902	0.0115746	5.55841e-07
OG0000029	0.124371	0.123588	2.54883e-36	0.493227	0.720875	0.00142815	N/A	0.10719	0.131954	2.22892e-06	0.0148991
OG0000033	0.183989	3.28713e-09	7.48911e-49	0.56873	2.09799e-05	0.669712	N/A	0.349171	0.0450648	7.67102e-06	0.0072965
OG0000039	0.00736083	9.78129e-05	3.35137e-43	0.640483	1.48402e-08	0.833337	N/A	0.0440617	0.474215	1.09536e-10	0.0176836
OG0000043	2.21652e-24	0.288294	0.665597	0.5	0.5	0.5	N/A	1.30336e-20	0.563113	0.109067	0.5
OG0000045	0.0689664	2.02225e-06	6.72127e-55	5.1544e-07	0.370425	0.252629	N/A	0.089091	0.00125488	0.000888341	0.777439
OG0000061	0.028196	8.02272e-07	1.51416e-50	4.45433e-05	4.0528e-06	0.0160919	N/A	0.0448767	0.00034733	0.00645282	1.58999e-09
OG0000064	0.861925	0.00122717	7.9843e-58	0.53819	0.391468	0.0331965	N/A	0.615913	0.105056	1.47266e-07	0.00655409
OG0000069	3.37698e-11	0.000172966	5.54667e-08	0.00283063	0.326615	0.712786	N/A	4.16668e-08	0.781359	6.85675e-05	0.579238
