FamilyID	Hleu<1>	Mglob<2>	Pliv<3>	Spurp_prefixed<4>	Lvar<5>	Lpic<6>	<7>	<8>	<9>	<10>	<11>
OG0000013	0.32353	0.887963	0.557921	1.39449e-07	0.000874973	0.938438	N/A	0.315879	0.627785	0.430554	0.123109
OG0000014	0.248838	5.79677e-15	0.00340429	0.198285	2.3205e-12	0.00656785	N/A	0.440401	0.00475327	0.121107	0.191365
OG0000015	0.0165731	0.961416	2.186e-18	0.768368	0.0111325	0.0111325	N/A	0.0739638	0.764208	3.92588e-13	2.82224e-05
OG0000016	6.96841e-06	5.87628e-09	0.00163632	6.98391e-05	0.690752	0.00169928	N/A	0.000293986	0.163856	0.653707	0.0660759
OG0000018	0.918129	3.573e-09	0.679995	8.81488e-08	0.493293	0.255625	N/A	0.765824	0.00308999	0.0012908	0.878755
OG0000021	1.691e-05	6.77082e-10	3.00543e-28	0.241111	0.265225	1.40782e-06	N/A	0.000819862	0.243315	5.23053e-05	0.471097
OG0000022	0.14754	0.388638	0.0434571	0.0315944	0.448755	0.932532	N/A	0.167534	0.915675	0.50265	0.409862
OG0000030	0.00383512	2.65733e-13	2.55166e-17	0.0295773	0.109737	8.3363e-05	N/A	0.00705702	5.68158e-07	0.919952	0.403976
OG0000032	0.0917371	0.000361188	2.83366e-06	0.0763729	0.482013	0.01541	N/A	0.220465	0.115364	0.448627	0.199166
OG0000034	0.135174	1.30987e-05	0.838405	0.00272497	0.00149338	0.002541	N/A	0.265918	0.104175	0.0392036	0.85306
OG0000037	0.0141557	5.20173e-05	0.118182	2.51945e-12	6.65074e-08	0.00684125	N/A	0.027961	0.236222	0.0128068	0.343329
OG0000041	0.303148	0.341672	1.46457e-06	0.0216136	0.673071	0.156204	N/A	0.332068	0.243315	2.11209e-05	0.409862
OG0000044	0.836591	0.00317904	1.77604e-05	0.479989	0.0110176	0.0818059	N/A	0.959173	0.198402	3.56399e-07	0.0175078
OG0000046	0.288497	0.0733873	3.43624e-15	0.029311	0.706538	0.383453	N/A	0.469854	0.517775	5.23053e-05	0.471097
OG0000047	0.000101196	4.82518e-15	0.000184293	8.91823e-05	0.833337	0.833337	N/A	0.00215201	5.95832e-12	0.00586452	0.672987
OG0000048	0.364644	0.000132554	0.432071	1.07486e-05	0.00699281	0.00428546	N/A	0.421879	0.0450648	0.000749596	0.85306
OG0000049	2.8005e-06	0.0188438	0.77436	6.06389e-30	0.208853	1.94362e-06	N/A	0.000262028	0.855748	0.86977	1.78132e-07
OG0000050	0.0825232	0.00402711	0.0164501	6.18479e-30	0.00211565	0.7333	N/A	0.195865	0.430236	0.0123288	0.157142
OG0000051	0.416223	0.153747	0.142974	0.250558	3.22485e-11	0.000415135	N/A	0.692656	0.517775	0.906391	0.553896
OG0000054	0.00359492	1.98025e-05	0.0974696	3.37613e-25	0.91925	1.66335e-05	N/A	0.015207	0.000298122	0.0280837	0.0285915
OG0000055	0.376138	0.845856	0.276254	1.74198e-07	0.0340356	0.75387	N/A	0.321177	0.501616	0.283185	0.185567
OG0000060	1.2645e-05	0.0417666	0.111057	6.07008e-07	0.0143599	0.680196	N/A	0.000536755	0.855748	0.633648	0.201803
OG0000062	3.80358e-06	0.000814326	0.00200427	0.000440776	0.596054	0.00139646	N/A	0.000215727	0.850061	0.261113	0.00304064
OG0000063	0.0141522	7.30098e-07	3.39093e-06	1.43136e-29	0.00930498	0.000267426	N/A	0.0279231	0.000102058	0.512237	2.54027e-06
OG0000065	0.899246	0.832286	0.807909	0.0411033	0.00135516	0.91079	N/A	0.875215	0.88017	0.502494	0.284577
OG0000068	0.029578	1.85647e-07	1.36114e-27	0.880467	0.844827	4.7717e-05	N/A	0.114543	0.126776	0.000722797	0.0210713
OG0000070	0.00724652	0.0881113	0.936994	0.0010375	5.28216e-06	0.448308	N/A	0.0316162	0.883144	0.893882	0.0722003
OG0000071	0.000475294	0.000555926	0.376065	0.384023	0.00616944	4.38671e-07	N/A	0.00791798	0.358761	0.864766	0.753914
OG0000072	0.881214	0.0417666	0.518105	2.25227e-24	0.689745	0.00234697	N/A	0.853158	0.389982	0.105271	0.00954162
OG0000073	0.148035	0.535231	0.0357226	0.122368	0.288925	0.720875	N/A	0.224418	0.883144	0.36306	0.796498
OG0000075	0.697206	0.941194	0.205975	0.0011661	0.0264007	3.32098e-07	N/A	0.95722	0.873457	0.48123	0.482321
OG0000076	4.35822e-05	0.0766849	0.228766	0.640483	0.854348	0.23165	N/A	0.00207081	0.0336313	0.211505	0.700823
