FamilyID	Hleu<1>	Mglob<2>	Pliv<3>	Spurp_prefixed<4>	Lvar<5>	Lpic<6>	<7>	<8>	<9>	<10>	<11>
OG0000013	-9	-1	-3	23	-11	0	0	6	1	2	-3
OG0000014	9	-31	14	-5	29	-9	0	-6	7	4	2
OG0000015	25	0	52	-1	-5	-5	0	-14	-1	-21	-6
OG0000016	-24	38	-14	16	1	-10	0	23	-4	1	-3
OG0000018	-2	-23	-2	23	2	-4	0	1	7	9	0
OG0000021	45	-21	62	-3	2	-10	0	-22	2	-9	-1
OG0000022	-11	4	9	-7	2	0	0	8	0	-2	1
OG0000030	-12	-24	47	-7	-5	13	0	12	12	0	1
OG0000032	13	-14	21	5	-2	-6	0	-8	3	-2	-2
OG0000034	11	-16	-1	10	-9	9	0	-7	3	5	0
OG0000037	-15	22	6	-20	17	-7	0	12	-3	-6	1
OG0000038	5	-4	4	0	5	-4	0	-4	1	0	0
OG0000041	-7	-4	-16	8	1	4	0	4	2	11	1
OG0000044	0	-10	-13	2	8	5	0	-1	2	13	4
OG0000046	7	-7	39	-5	-1	-2	0	-5	1	-9	-1
OG0000047	39	43	-8	-6	0	0	0	-20	-15	-4	0
OG0000048	-6	-13	-3	16	8	-8	0	3	4	8	0
OG0000049	44	-7	-1	45	-2	-7	0	-20	0	0	-7
OG0000050	11	-9	-7	50	-7	-1	0	-7	1	5	-2
OG0000051	5	-6	5	3	-17	10	0	-3	1	0	-1
OG0000054	-10	-13	6	47	0	-11	0	9	7	5	-3
OG0000055	-6	-1	-4	18	-5	-1	0	4	1	2	-2
OG0000060	40	-6	4	-10	5	-1	0	-19	0	-1	1
OG0000062	43	-9	9	8	-1	-5	0	-20	0	-2	-3
OG0000063	-8	-13	18	49	-5	-7	0	7	7	1	-7
OG0000065	-2	-1	-1	-5	8	0	0	0	0	1	1
OG0000068	14	-13	53	0	0	-6	0	-8	2	-6	-2
OG0000070	-11	6	0	-8	13	-2	0	9	0	0	2
OG0000071	27	-9	2	-2	-5	12	0	-13	1	0	0
OG0000072	-2	-6	-2	40	-1	-6	0	0	1	3	-3
OG0000073	-8	2	7	-4	2	-1	0	5	0	-2	0
OG0000075	1	0	-4	9	5	-11	0	-1	0	1	-1
OG0000076	35	5	-3	-1	0	-2	0	-16	-3	-2	0
OG0000078	-5	-9	82	6	-3	-2	0	5	4	-4	-7
OG0000080	-8	-10	7	9	-14	9	0	8	5	3	0
OG0000083	0	-7	64	-2	-1	0	0	-1	2	-8	-1
OG0000084	-10	17	-9	4	4	-4	0	8	-2	1	0
OG0000086	12	-10	-4	23	7	-13	0	-7	1	5	0
OG0000087	-5	-2	-7	15	-5	2	0	3	1	4	0
OG0000089	-1	5	0	-6	5	0	0	0	-1	-1	1
OG0000090	0	-5	5	-13	11	0	0	-1	1	0	3
OG0000091	3	2	-1	6	1	-5	0	-3	0	0	-1
OG0000093	-4	-4	-5	7	13	-10	0	3	1	5	0
OG0000094	56	-4	11	0	-1	0	0	-22	0	-6	0
OG0000095	-2	-6	-8	16	30	-17	0	0	2	13	0
OG0000096	42	-3	11	0	0	-1	0	-18	-1	-7	-1
OG0000097	5	-10	9	12	1	-9	0	-4	2	0	-2
OG0000099	-3	-5	-7	0	22	-1	0	3	2	14	5
