FamilyID	Hleu<1>	Mglob<2>	Pliv<3>	Spurp_prefixed<4>	Lvar<5>	Lpic<6>	<7>	<8>	<9>	<10>	<11>
OG0000013	34	48	47	75	38	49	43	49	50	52	49
OG0000014	53	7	59	44	80	42	44	38	45	49	51
OG0000015	85	46	97	23	13	13	60	46	45	24	18
OG0000016	5	90	34	65	47	36	29	52	48	49	46
OG0000018	31	11	39	73	52	46	33	34	41	50	50
OG0000021	94	6	91	17	21	9	49	27	29	20	19
OG0000022	23	46	51	33	43	41	34	42	42	40	41
OG0000030	3	3	86	32	35	53	15	27	39	39	40
OG0000032	51	16	54	36	27	23	38	30	33	31	29
OG0000034	46	12	30	46	27	45	35	28	31	36	36
OG0000037	12	61	42	10	48	24	27	39	36	30	31
OG0000038	39	26	35	31	36	27	34	30	31	31	31
OG0000041	16	23	13	48	42	45	23	27	29	40	41
OG0000044	23	12	11	39	49	46	23	22	24	37	41
OG0000046	40	21	68	15	18	17	33	28	29	20	19
OG0000047	86	70	4	2	8	8	47	27	12	8	8
OG0000048	15	11	25	52	44	28	21	24	28	36	36
OG0000049	80	9	15	61	7	2	36	16	16	16	9
OG0000050	37	10	13	75	16	22	26	19	20	25	23
OG0000051	36	22	34	32	11	38	31	28	29	29	28
OG0000054	1	7	33	79	29	18	11	20	27	32	29
OG0000055	16	25	23	47	22	26	22	26	27	29	27
OG0000060	75	10	20	5	21	15	35	16	16	15	16
OG0000062	78	6	24	21	9	5	35	15	15	13	10
OG0000063	1	3	41	73	12	10	9	16	23	24	17
OG0000065	20	21	21	18	32	24	22	22	22	23	24
OG0000068	37	2	70	11	9	3	23	15	17	11	9
OG0000070	3	29	23	15	38	23	14	23	23	23	25
OG0000071	54	5	17	13	10	27	27	14	15	15	15
OG0000072	14	10	15	60	16	11	16	16	17	20	17
OG0000073	10	25	30	17	23	20	18	23	23	21	21
OG0000075	22	20	16	30	25	9	21	20	20	21	20
OG0000076	66	20	9	9	10	8	31	15	12	10	10
OG0000078	1	2	97	17	1	2	6	11	15	11	4
OG0000080	1	7	29	34	11	34	9	17	22	25	25
OG0000083	14	6	79	5	5	6	14	13	15	7	6
OG0000084	3	38	10	24	24	16	13	21	19	20	20
OG0000086	31	2	9	41	25	5	19	12	13	18	18
OG0000087	9	15	11	37	17	24	14	17	18	22	22
OG0000089	18	24	18	11	23	18	19	19	18	17	18
OG0000090	18	12	23	5	32	21	18	17	18	18	21
OG0000091	23	19	16	23	17	11	20	17	17	17	16
OG0000093	9	12	12	29	35	12	13	16	17	22	22
OG0000094	85	3	18	1	0	1	29	7	7	1	1
OG0000095	6	2	2	39	53	6	8	8	10	23	23
OG0000096	71	8	21	3	2	1	29	11	10	3	2
OG0000097	24	5	26	29	16	6	19	15	17	17	15
OG0000099	1	2	2	23	50	27	4	7	9	23	28
OG0000100	25	0	46	10	13	10	17	12	14	12	12
OG0000101	4	16	18	35	18	13	11	17	18	19	18
OG0000103	6	13	11	33	22	18	11	15	16	21	21
OG0000104	5	22	8	44	10	13	11	16	15	17	15
OG0000105	78	2	3	14	4	0	26	5	5	5	4
OG0000106	53	6	18	16	3	5	25	12	12	10	7
OG0000107	31	6	12	18	19	14	19	13	14	16	16
OG0000108	8	13	20	25	23	8	13	17	18	19	18
OG0000109	2	6	11	32	21	24	8	12	15	22	22
OG0000112	69	8	15	1	0	2	27	9	8	2	2
OG0000113	7	9	12	19	34	14	11	13	14	18	19
OG0000115	83	5	1	0	1	3	26	4	2	2	2
OG0000116	6	10	20	34	11	12	11	14	16	16	14
OG0000118	42	13	5	15	9	8	21	11	10	10	10
OG0000119	19	15	10	11	19	18	16	14	14	15	16
OG0000120	8	3	9	18	51	2	9	9	11	15	15
OG0000121	24	8	15	12	15	16	17	13	14	14	14
OG0000122	71	2	4	7	5	0	24	5	5	5	5
OG0000123	70	18	1	0	0	0	27	9	2	0	0
OG0000124	10	9	12	27	16	15	12	13	14	16	16
OG0000125	2	1	2	4	30	50	3	4	5	11	25
OG0000126	1	3	31	14	24	16	7	13	17	17	18
OG0000127	13	16	10	16	17	16	15	15	15	16	16
OG0000128	1	1	1	27	8	50	3	5	6	18	19
OG0000129	19	13	10	21	14	10	16	13	13	14	14
OG0000130	5	13	12	28	16	13	10	14	15	17	16
OG0000131	4	1	1	35	44	1	5	6	7	18	18
OG0000132	5	5	8	11	30	27	8	10	11	16	22
OG0000133	9	13	17	21	12	14	13	15	15	15	14
OG0000134	12	17	12	11	17	17	14	14	14	14	15
OG0000135	12	15	13	18	16	11	14	14	14	14	14
OG0000136	3	11	17	25	15	14	9	14	15	16	16
OG0000137	8	7	29	8	16	16	11	13	15	14	15
OG0000138	12	14	11	17	14	16	14	14	14	15	15
OG0000139	9	12	8	21	15	18	12	13	13	16	16
OG0000140	40	6	12	11	8	6	20	10	10	9	8
OG0000141	3	11	14	16	23	16	9	13	14	16	17
OG0000142	15	18	7	23	11	9	14	13	12	13	12
OG0000143	1	1	1	25	12	43	3	5	6	18	19
OG0000144	7	12	17	14	19	14	11	14	15	15	15
OG0000145	40	4	8	12	11	7	19	9	9	9	9
OG0000146	13	7	9	8	29	15	12	11	11	13	15
OG0000148	12	1	9	16	20	21	10	9	11	16	18
OG0000149	9	6	11	24	16	13	11	11	12	15	15
OG0000150	34	6	9	23	5	2	17	9	9	9	6
OG0000151	1	1	1	9	17	50	3	4	5	12	18
OG0000152	22	8	11	13	13	11	15	11	11	12	12
OG0000153	14	11	12	22	6	13	14	13	13	13	12
OG0000156	16	6	7	27	11	10	12	10	10	12	12
OG0000157	9	7	8	26	17	10	10	10	11	14	14
OG0000159	35	9	26	2	3	1	18	10	10	3	3
OG0000160	58	5	10	2	0	1	21	6	6	2	1
OG0000161	27	8	7	29	1	4	14	8	8	8	5
OG0000162	14	14	15	12	13	8	14	13	13	12	12
OG0000163	7	8	10	25	13	13	10	11	12	14	14
OG0000164	1	4	53	0	9	9	6	10	12	9	9
OG0000165	8	11	4	47	5	1	8	8	8	9	6
OG0000167	39	8	5	7	8	8	19	9	8	8	8
OG0000168	2	20	11	19	10	13	8	13	13	13	13
OG0000171	2	6	6	8	34	18	6	8	9	12	17
OG0000172	4	6	31	14	11	8	8	11	13	12	11
OG0000174	27	8	10	15	7	6	15	9	9	9	8
OG0000175	40	2	11	10	3	7	18	8	8	8	7
OG0000176	18	7	7	13	15	13	14	11	11	13	13
OG0000177	8	10	12	18	14	11	11	12	12	13	13
OG0000178	10	9	9	22	10	13	11	11	11	13	13
OG0000180	46	2	6	0	10	8	18	6	6	6	7
OG0000181	26	4	17	10	7	8	16	10	10	9	9
OG0000183	67	0	3	1	0	0	20	2	2	1	0
OG0000184	10	9	14	11	13	14	12	12	13	13	13
OG0000185	6	12	13	18	12	10	10	12	12	12	12
OG0000186	5	16	17	17	7	9	10	13	13	12	10
OG0000187	7	38	11	3	7	5	11	13	10	6	6
OG0000189	52	0	11	1	5	1	19	5	5	3	3
OG0000190	33	17	5	1	4	10	18	10	7	6	6
OG0000191	2	10	12	33	9	4	7	11	11	12	10
OG0000192	6	9	12	17	10	16	9	11	12	13	13
OG0000193	12	8	12	22	7	9	12	11	11	11	10
OG0000194	10	7	11	21	11	10	10	10	11	12	12
OG0000195	35	7	9	5	4	9	17	8	8	7	7
OG0000196	18	0	32	0	0	19	11	7	8	6	6
OG0000197	11	6	16	7	6	23	10	9	10	10	10
OG0000198	9	8	8	17	13	14	11	11	11	13	13
OG0000199	10	9	7	19	9	15	11	11	11	13	13
OG0000200	1	1	54	2	5	6	4	6	8	6	6
OG0000201	3	6	14	28	8	10	7	10	11	12	11
OG0000202	1	17	17	17	9	8	7	13	13	12	10
OG0000204	11	10	0	3	0	44	8	6	5	5	5
OG0000205	9	1	22	13	6	17	10	10	12	12	12
OG0000206	1	1	1	30	34	1	3	4	5	14	14
OG0000207	38	3	7	7	6	6	16	6	6	6	6
OG0000208	42	1	2	11	6	5	16	5	5	6	6
OG0000209	9	13	12	13	10	10	11	11	11	11	11
OG0000210	13	5	10	16	12	11	11	10	11	12	12
OG0000211	2	5	53	5	1	1	6	8	9	5	2
OG0000214	21	3	8	21	9	4	13	8	9	10	9
OG0000215	64	0	2	0	0	0	18	1	1	0	0
OG0000216	1	1	2	24	15	23	3	5	6	16	17
OG0000217	26	12	9	10	3	6	16	10	9	8	6
OG0000218	6	12	7	15	14	12	9	11	11	13	13
OG0000219	6	5	9	27	9	10	8	9	10	12	11
OG0000220	56	0	2	5	0	2	17	2	2	2	2
OG0000221	7	9	8	20	9	12	9	10	10	11	11
OG0000222	4	10	9	13	17	12	8	11	11	13	13
OG0000223	4	0	59	1	0	0	4	4	5	1	0
OG0000224	15	3	8	16	13	9	11	8	9	11	11
OG0000225	7	0	4	25	19	8	7	6	7	13	13
OG0000226	11	14	28	1	7	2	12	12	12	5	5
OG0000227	6	12	9	4	20	12	9	10	10	10	12
OG0000228	10	4	9	16	15	9	10	9	10	12	12
OG0000229	11	24	3	6	11	8	11	10	8	8	8
OG0000230	16	0	8	1	11	27	10	6	7	8	11
OG0000231	1	1	1	33	18	9	3	4	5	14	14
OG0000233	38	2	4	14	1	3	14	4	4	4	3
OG0000234	22	6	8	14	8	4	13	8	8	8	8
OG0000235	39	10	5	8	0	0	17	7	5	4	1
OG0000236	1	1	4	22	27	7	3	5	7	14	14
OG0000237	3	4	11	35	1	8	6	8	9	10	8
OG0000239	1	1	1	13	12	33	3	4	5	12	14
OG0000240	15	8	5	8	13	12	11	9	9	10	11
OG0000241	6	11	7	13	12	12	9	11	11	12	12
OG0000242	4	1	9	41	2	4	5	6	7	8	5
OG0000244	37	2	1	9	0	11	15	5	5	6	6
OG0000245	3	24	7	11	6	9	7	10	9	9	9
OG0000246	13	9	5	14	9	10	11	9	9	10	10
OG0000247	8	7	4	8	17	16	8	8	8	11	13
OG0000248	3	13	5	11	10	18	7	10	10	11	11
OG0000249	2	6	4	22	13	13	6	8	9	13	13
OG0000250	4	6	9	29	4	8	7	8	9	10	8
OG0000252	35	1	16	1	3	3	14	5	5	3	3
OG0000253	6	6	3	15	24	5	8	8	8	11	11
OG0000254	14	7	8	7	12	11	11	9	9	9	10
OG0000255	1	9	11	13	10	15	6	10	11	12	12
OG0000257	8	7	5	8	18	12	8	8	8	10	12
OG0000258	7	8	8	15	11	9	9	9	9	10	10
OG0000259	1	2	1	8	8	38	3	4	4	8	10
OG0000260	11	5	26	11	3	2	10	9	9	7	4
OG0000261	3	1	39	0	4	11	5	6	8	6	6
OG0000262	1	6	11	18	10	12	5	9	10	12	12
OG0000267	4	7	12	13	13	8	8	10	11	11	11
OG0000268	1	1	1	6	14	34	2	3	3	8	14
OG0000269	1	1	1	20	18	16	3	4	5	14	15
OG0000270	1	1	2	2	50	1	2	2	2	3	4
OG0000273	26	2	13	6	8	1	13	7	7	6	6
OG0000274	5	4	6	17	10	14	7	8	9	12	12
OG0000275	14	7	7	10	10	8	10	8	8	9	9
OG0000278	35	1	3	6	6	4	14	5	5	5	5
OG0000279	5	11	7	7	16	9	8	9	9	9	10
OG0000280	24	2	3	26	0	0	10	4	4	4	1
OG0000281	4	7	7	12	17	8	7	9	9	11	11
OG0000282	11	9	7	8	11	9	10	9	9	9	9
OG0000283	42	2	6	1	2	1	15	4	4	2	2
OG0000284	7	7	11	12	9	8	9	9	9	9	9
OG0000285	19	4	9	9	7	5	11	7	7	7	7
OG0000286	11	5	7	20	9	1	9	8	8	9	8
OG0000287	7	6	5	20	8	7	7	7	7	8	8
OG0000290	35	1	2	10	1	3	12	3	3	3	3
OG0000291	25	4	2	3	10	8	11	5	5	6	7
OG0000292	47	1	1	1	1	1	14	1	1	1	1
OG0000293	23	2	3	10	9	5	12	6	6	7	7
OG0000294	16	1	6	12	0	17	10	6	7	8	8
OG0000295	50	0	2	0	0	0	14	1	1	0	0
OG0000296	15	8	4	7	12	6	10	7	7	7	7
OG0000297	8	5	7	12	13	7	8	8	8	10	10
OG0000298	1	1	2	10	14	24	3	4	5	11	14
OG0000302	8	7	8	10	8	10	8	8	8	9	9
OG0000303	49	1	1	0	0	0	14	1	1	0	0
OG0000304	6	5	4	25	7	4	6	6	6	7	7
OG0000305	22	9	14	3	2	1	13	8	7	3	2
OG0000306	3	7	11	10	10	10	7	9	10	10	10
OG0000307	3	6	6	13	10	13	6	8	9	11	11
OG0000310	44	0	2	2	1	1	14	2	2	2	1
OG0000311	49	0	1	0	0	0	14	1	1	0	0
OG0000312	5	0	1	29	15	0	5	4	4	9	9
OG0000313	3	1	26	7	8	5	5	6	8	7	7
OG0000314	23	3	7	8	1	8	12	6	6	6	6
OG0000315	22	9	7	2	4	6	12	7	6	5	5
OG0000316	5	7	9	12	9	8	8	9	9	9	9
OG0000317	6	8	6	10	10	10	8	8	8	9	9
OG0000318	6	7	7	9	15	6	8	8	8	9	9
OG0000319	1	9	13	17	6	4	5	9	9	9	7
