#FamilyID	Likelihood of Family
OG0000013	-44.0391
OG0000014	-92.4792
OG0000015	-105.445
OG0000016	-75.4342
OG0000018	-63.2167
OG0000021	-136.637
OG0000022	-28.1869
OG0000030	-114.472
OG0000032	-47.1675
OG0000034	-49.433
OG0000037	-82.5928
OG0000038	-24.7475
OG0000041	-46.7702
OG0000044	-55.6434
OG0000046	-64.8965
OG0000047	-104.224
OG0000048	-53.5342
OG0000049	-130.913
OG0000050	-103.081
OG0000051	-52.7783
OG0000054	-111.828
OG0000055	-38.6972
OG0000060	-54.2369
OG0000062	-63.611
OG0000063	-139.424
OG0000065	-26.666
OG0000068	-112.596
OG0000070	-44.1054
OG0000071	-51.9148
OG0000072	-82.4311
OG0000073	-25.5747
OG0000075	-42.0262
OG0000076	-37.3412
OG0000078	-168.976
OG0000080	-66.2104
OG0000083	-113.07
OG0000084	-43.5092
OG0000086	-87.8982
OG0000087	-40.627
OG0000089	-27.2979
OG0000090	-51.7804
OG0000091	-26.5753
OG0000093	-50.932
OG0000094	-70.8023
OG0000095	-131.586
OG0000096	-59.0367
OG0000097	-55.5833
OG0000099	-82.8825
OG0000100	-71.4636
OG0000101	-39.6286
OG0000103	-35.3752
OG0000104	-65.5557
OG0000105	-69.9101
OG0000106	-51.1016
OG0000107	-28.6999
OG0000108	-39.4323
OG0000109	-40.3438
OG0000112	-56.6728
OG0000113	-42.2118
OG0000115	-57.7041
OG0000116	-44.5917
OG0000118	-32.9424
OG0000119	-24.3673
OG0000120	-108.371
OG0000121	-22.4869
OG0000122	-55.5049
OG0000123	-57.9678
OG0000124	-29.2792
OG0000125	-103.5
OG0000126	-48.3667
OG0000127	-20.3135
OG0000128	-111.701
OG0000129	-26.4523
OG0000130	-31.4847
OG0000131	-133.317
OG0000132	-46.5873
OG0000133	-23.3204
OG0000134	-21.6178
OG0000135	-21.7474
OG0000136	-28.3861
OG0000137	-37.3361
OG0000138	-19.5992
OG0000139	-25.3339
OG0000140	-29.6077
OG0000141	-25.5842
OG0000142	-33.7316
OG0000143	-88.7771
OG0000144	-21.5245
OG0000145	-31.5386
OG0000146	-41.5786
OG0000148	-36.1233
OG0000149	-29.5932
OG0000150	-52.2276
OG0000151	-93.0478
OG0000152	-20.3138
OG0000153	-32.907
OG0000156	-38.505
OG0000157	-36.5285
OG0000159	-51.3473
OG0000160	-46.472
OG0000161	-63.5695
OG0000162	-21.3678
OG0000163	-29.7368
OG0000164	-90.7929
OG0000165	-94.9736
OG0000167	-26.2835
OG0000168	-28.2789
OG0000171	-53.0942
OG0000172	-39.8746
OG0000174	-27.8665
OG0000175	-38.5844
OG0000176	-22.5359
OG0000177	-21.5897
OG0000178	-27.7407
OG0000180	-47.7983
OG0000181	-29.0254
OG0000183	-49.7499
OG0000184	-18.9166
OG0000185	-22.2823
OG0000186	-28.1758
OG0000187	-46.9462
OG0000189	-53.7222
OG0000190	-42.2234
OG0000191	-55.9341
OG0000192	-23.5414
OG0000193	-31.8857
OG0000194	-26.9459
OG0000195	-29.3001
OG0000196	-100.553
OG0000197	-43.6639
OG0000198	-21.8438
OG0000199	-27.8001
OG0000200	-89.6003
OG0000201	-41.8034
OG0000202	-29.9615
OG0000204	-114.848
OG0000205	-45.4637
OG0000206	-108.66
OG0000207	-27.6378
OG0000208	-40.3245
OG0000209	-18.2633
OG0000210	-22.6982
OG0000211	-87.327
OG0000214	-41.9024
OG0000215	-46.3684
OG0000216	-51.4113
OG0000217	-27.7155
OG0000218	-21.3452
OG0000219	-38.5353
OG0000220	-47.9734
OG0000221	-26.6481
