#FamilyID	pvalue	Significant at 0.05
OG0000013	0	y
OG0000014	0	y
OG0000015	0	y
OG0000016	0	y
OG0000018	0	y
OG0000021	0	y
OG0000022	0.023	y
OG0000030	0	y
OG0000032	0	y
OG0000034	0	y
OG0000037	0	y
OG0000038	0.243	n
OG0000041	0	y
OG0000044	0	y
OG0000046	0	y
OG0000047	0	y
OG0000048	0	y
OG0000049	0	y
OG0000050	0	y
OG0000051	0	y
OG0000054	0	y
OG0000055	0	y
OG0000060	0	y
OG0000062	0	y
OG0000063	0	y
OG0000065	0.028	y
OG0000068	0	y
OG0000070	0	y
OG0000071	0	y
OG0000072	0	y
OG0000073	0.037	y
OG0000075	0	y
OG0000076	0	y
OG0000078	0	y
OG0000080	0	y
OG0000083	0	y
OG0000084	0	y
OG0000086	0	y
OG0000087	0	y
OG0000089	0.017	y
OG0000090	0	y
OG0000091	0.026	y
OG0000093	0	y
OG0000094	0	y
OG0000095	0	y
OG0000096	0	y
OG0000097	0	y
OG0000099	0	y
OG0000100	0	y
OG0000101	0	y
OG0000103	0	y
OG0000104	0	y
OG0000105	0	y
OG0000106	0	y
OG0000107	0.006	y
OG0000108	0	y
OG0000109	0	y
OG0000112	0	y
OG0000113	0	y
OG0000115	0	y
OG0000116	0	y
OG0000118	0.001	y
OG0000119	0.069	n
OG0000120	0	y
OG0000121	0.273	n
OG0000122	0	y
OG0000123	0	y
OG0000124	0.003	y
OG0000125	0	y
OG0000126	0	y
OG0000127	0.56	n
OG0000128	0	y
OG0000129	0.02	y
OG0000130	0.001	y
OG0000131	0	y
OG0000132	0	y
OG0000133	0.086	n
OG0000134	0.308	n
OG0000135	0.276	n
OG0000136	0.003	y
OG0000137	0	y
OG0000138	0.682	n
OG0000139	0.026	y
OG0000140	0.003	y
OG0000141	0.01	y
OG0000142	0	y
OG0000143	0	y
OG0000144	0.224	n
OG0000145	0.001	y
OG0000146	0	y
OG0000148	0	y
OG0000149	0.003	y
OG0000150	0	y
OG0000151	0	y
OG0000152	0.615	n
OG0000153	0	y
OG0000156	0	y
OG0000157	0	y
OG0000159	0	y
OG0000160	0	y
OG0000161	0	y
OG0000162	0.351	n
OG0000163	0.002	y
OG0000164	0	y
OG0000165	0	y
OG0000167	0.024	y
OG0000168	0.003	y
OG0000171	0	y
OG0000172	0	y
OG0000174	0.007	y
OG0000175	0	y
OG0000176	0.155	n
OG0000177	0.213	n
OG0000178	0.005	y
OG0000180	0	y
OG0000181	0.004	y
OG0000183	0	y
OG0000184	0.719	n
OG0000185	0.109	n
OG0000186	0.004	y
OG0000187	0	y
OG0000189	0	y
OG0000190	0	y
OG0000191	0	y
OG0000192	0.048	y
OG0000193	0.001	y
OG0000194	0.006	y
OG0000195	0.003	y
OG0000196	0	y
OG0000197	0	y
OG0000198	0.16	n
OG0000199	0.004	y
OG0000200	0	y
OG0000201	0	y
OG0000202	0.001	y
OG0000204	0	y
OG0000205	0	y
OG0000206	0	y
OG0000207	0.012	y
OG0000208	0	y
OG0000209	0.843	n
OG0000210	0.098	n
OG0000211	0	y
OG0000214	0	y
OG0000215	0	y
OG0000216	0	y
OG0000217	0.009	y
OG0000218	0.193	n
OG0000219	0	y
OG0000220	0	y
OG0000221	0.005	y
OG0000222	0.11	n
OG0000223	0	y
OG0000224	0.005	y
OG0000225	0	y
OG0000226	0	y
OG0000227	0	y
OG0000228	0.005	y
OG0000229	0	y
OG0000230	0	y
OG0000231	0	y
OG0000233	0	y
OG0000234	0.004	y
OG0000235	0	y
OG0000236	0	y
OG0000237	0	y
OG0000239	0	y
OG0000240	0.102	n
OG0000241	0.44	n
OG0000242	0	y
OG0000244	0	y
OG0000245	0	y
OG0000246	0.127	n
OG0000247	0.002	y
OG0000248	0.001	y
OG0000249	0	y
OG0000250	0	y
OG0000252	0	y
OG0000253	0	y
OG0000254	0.394	n
OG0000255	0.041	y
OG0000257	0.004	y
OG0000258	0.225	n
OG0000259	0	y
OG0000260	0	y
OG0000261	0	y
OG0000262	0.003	y
OG0000267	0.088	n
OG0000268	0	y
OG0000269	0	y
OG0000270	0	y
OG0000273	0	y
OG0000274	0.002	y
OG0000275	0.804	n
OG0000278	0.002	y
OG0000279	0.012	y
OG0000280	0	y
OG0000281	0.004	y
OG0000282	0.831	n
OG0000283	0	y
OG0000284	0.533	n
OG0000285	0.131	n
OG0000286	0	y
OG0000287	0	y
OG0000290	0	y
OG0000291	0.002	y
OG0000292	0	y
OG0000293	0.003	y
OG0000294	0	y
OG0000295	0	y
OG0000296	0.042	y
OG0000297	0.042	y
OG0000298	0	y
OG0000302	0.885	n
OG0000303	0	y
OG0000304	0	y
OG0000305	0.001	y
OG0000306	0.585	n
