Desc	Family ID	Hleu	Lpic	Lvar	Mglob	Pliv	Spurp_prefixed
(null)	OG0000013	34	49	38	48	47	75
(null)	OG0000014	53	42	80	7	59	44
(null)	OG0000015	85	13	13	46	97	23
(null)	OG0000016	5	36	47	90	34	65
(null)	OG0000018	31	46	52	11	39	73
(null)	OG0000019	0	49	54	39	59	44
(null)	OG0000021	94	9	21	6	91	17
(null)	OG0000022	23	41	43	46	51	33
(null)	OG0000027	0	19	48	5	76	81
(null)	OG0000030	3	53	35	3	86	32
(null)	OG0000032	51	23	27	16	54	36
(null)	OG0000034	46	45	27	12	30	46
(null)	OG0000035	0	36	93	2	8	61
(null)	OG0000036	0	38	53	42	13	52
(null)	OG0000037	12	24	48	61	42	10
(null)	OG0000038	39	27	36	26	35	31
(null)	OG0000041	16	45	42	23	13	48
(null)	OG0000042	0	45	17	20	53	51
(null)	OG0000044	23	46	49	12	11	39
(null)	OG0000046	40	17	18	21	68	15
(null)	OG0000047	86	8	8	70	4	2
(null)	OG0000048	15	28	44	11	25	52
(null)	OG0000049	80	2	7	9	15	61
(null)	OG0000050	37	22	16	10	13	75
(null)	OG0000051	36	38	11	22	34	32
(null)	OG0000052	0	54	69	0	0	49
(null)	OG0000053	0	25	23	11	96	16
(null)	OG0000054	1	18	29	7	33	79
(null)	OG0000055	16	26	22	25	23	47
(null)	OG0000056	0	30	29	1	35	61
(null)	OG0000058	0	37	51	6	37	23
(null)	OG0000059	0	31	30	2	36	54
(null)	OG0000060	75	15	21	10	20	5
(null)	OG0000062	78	5	9	6	24	21
(null)	OG0000063	1	10	12	3	41	73
(null)	OG0000065	20	24	32	21	21	18
(null)	OG0000066	0	18	31	42	21	24
(null)	OG0000067	0	26	78	0	16	15
(null)	OG0000068	37	3	9	2	70	11
(null)	OG0000070	3	23	38	29	23	15
(null)	OG0000071	54	27	10	5	17	13
(null)	OG0000072	14	11	16	10	15	60
(null)	OG0000073	10	20	23	25	30	17
(null)	OG0000074	0	12	26	12	21	52
(null)	OG0000075	22	9	25	20	16	30
(null)	OG0000076	66	8	10	20	9	9
(null)	OG0000078	1	2	1	2	97	17
(null)	OG0000080	1	34	11	7	29	34
(null)	OG0000081	0	3	3	4	45	61
(null)	OG0000083	14	6	5	6	79	5
(null)	OG0000084	3	16	24	38	10	24
(null)	OG0000085	0	26	7	3	61	18
(null)	OG0000086	31	5	25	2	9	41
(null)	OG0000087	9	24	17	15	11	37
(null)	OG0000088	0	59	16	0	7	31
(null)	OG0000089	18	18	23	24	18	11
(null)	OG0000090	18	21	32	12	23	5
(null)	OG0000091	23	11	17	19	16	23
(null)	OG0000093	9	12	35	12	12	29
(null)	OG0000094	85	1	0	3	18	1
(null)	OG0000095	6	6	53	2	2	39
(null)	OG0000096	71	1	2	8	21	3
(null)	OG0000097	24	6	16	5	26	29
(null)	OG0000099	1	27	50	2	2	23
(null)	OG0000100	25	10	13	0	46	10
(null)	OG0000101	4	13	18	16	18	35
(null)	OG0000103	6	18	22	13	11	33
(null)	OG0000104	5	13	10	22	8	44
(null)	OG0000105	78	0	4	2	3	14
(null)	OG0000106	53	5	3	6	18	16
(null)	OG0000107	31	14	19	6	12	18
(null)	OG0000108	8	8	23	13	20	25
(null)	OG0000109	2	24	21	6	11	32
(null)	OG0000110	0	6	10	8	51	21
(null)	OG0000111	0	17	11	0	2	66
(null)	OG0000112	69	2	0	8	15	1
(null)	OG0000113	7	14	34	9	12	19
(null)	OG0000114	0	14	19	9	20	32
(null)	OG0000115	83	3	1	5	1	0
(null)	OG0000116	6	12	11	10	20	34
(null)	OG0000117	0	17	19	22	12	23
(null)	OG0000118	42	8	9	13	5	15
(null)	OG0000119	19	18	19	15	10	11
(null)	OG0000120	8	2	51	3	9	18
(null)	OG0000121	24	16	15	8	15	12
(null)	OG0000122	71	0	5	2	4	7
(null)	OG0000123	70	0	0	18	1	0
(null)	OG0000124	10	15	16	9	12	27
(null)	OG0000125	2	50	30	1	2	4
(null)	OG0000126	1	16	24	3	31	14
(null)	OG0000127	13	16	17	16	10	16
(null)	OG0000128	1	50	8	1	1	27
(null)	OG0000129	19	10	14	13	10	21
(null)	OG0000130	5	13	16	13	12	28
(null)	OG0000131	4	1	44	1	1	35
(null)	OG0000132	5	27	30	5	8	11
(null)	OG0000133	9	14	12	13	17	21
(null)	OG0000134	12	17	17	17	12	11
(null)	OG0000135	12	11	16	15	13	18
(null)	OG0000136	3	14	15	11	17	25
(null)	OG0000137	8	16	16	7	29	8
(null)	OG0000138	12	16	14	14	11	17
(null)	OG0000139	9	18	15	12	8	21
(null)	OG0000140	40	6	8	6	12	11
(null)	OG0000141	3	16	23	11	14	16
(null)	OG0000142	15	9	11	18	7	23
(null)	OG0000143	1	43	12	1	1	25
(null)	OG0000144	7	14	19	12	17	14
(null)	OG0000145	40	7	11	4	8	12
(null)	OG0000146	13	15	29	7	9	8
(null)	OG0000147	80	0	0	0	0	0
(null)	OG0000148	12	21	20	1	9	16
(null)	OG0000149	9	13	16	6	11	24
(null)	OG0000150	34	2	5	6	9	23
(null)	OG0000151	1	50	17	1	1	9
(null)	OG0000152	22	11	13	8	11	13
(null)	OG0000153	14	13	6	11	12	22
(null)	OG0000154	0	7	22	0	16	33
(null)	OG0000155	0	0	78	0	0	0
(null)	OG0000156	16	10	11	6	7	27
(null)	OG0000157	9	10	17	7	8	26
(null)	OG0000158	0	52	11	4	0	10
(null)	OG0000159	35	1	3	9	26	2
(null)	OG0000160	58	1	0	5	10	2
(null)	OG0000161	27	4	1	8	7	29
(null)	OG0000162	14	8	13	14	15	12
