TID	tubefeet3_kq	spine1_kq	ovary3_kq	gut1_kq
MGLB00001.2	0.0	0.0	0.0	0.0
MGLB00001.1	0.0	3.8108	0.0	3.04061
MGLB00001.3	0.69815	2.79607	0.142878	3.63123
MGLB00003.1	1.26101	3.21962	0.392621	7.19664
MGLB00002.1	9.94878	9.25889	2.32355	5.40098
MGLB00005.1	38.1729	69.0698	7.40176	120.052
MGLB00004.1	24.6558	33.3547	7.54361	32.3747
MGLB00006.1	0.0	7.51411	0.0	3.58084
MGLB00007.1	0.0	0.0	0.0	0.0
MGLB00008.1	5.56292	21.9446	0.667078	30.7307
MGLB00009.1	0.0	0.0	0.426141	0.0
MGLB00012.1	7.16536	9.93088	0.305085	11.8217
MGLB00011.1	0.655078	5.70279	0.4964	7.96527
MGLB00010.1	0.0	9.43729	0.0	4.21152
MGLB00013.1	0.0	0.0	0.0	1.42878
MGLB00014.1	0.0	0.0	0.0	0.0
MGLB00016.1	0.729109	0.0	0.0	1.90273
MGLB00015.1	0.0	0.0	0.0	2.8653
MGLB00017.1	0.0	0.663287	0.0	0.533896
MGLB00029.1	0.0	0.0	0.0	0.0
MGLB00026.1	0.0	0.0	0.0	0.0
MGLB00027.2	2.08113	2.2354	8.7646e-07	1.67578
MGLB00027.3	0.0	0.0	0.0	0.0
MGLB00027.1	0.0	0.0	1.06927	0.0
MGLB00020.1	1.1982	0.0	0.0	0.810945
MGLB00018.1	9.0702	16.1744	8.00927	17.2522
MGLB00021.1	0.916467	0.0	0.0	0.0
MGLB00028.1	0.582261	0.0	0.0	0.0
MGLB00030.3	0.0	0.737653	0.0	0.0
MGLB00030.4	3.98572	2.57413	0.0	1.36322
MGLB00030.5	0.0	3.15864	0.0	3.16909
MGLB00030.1	9.56241	14.1383	3.9887	13.4673
MGLB00030.2	6.16071e-10	1.8722	0.0	3.69056e-07
MGLB00023.1	0.0	0.0	0.0	0.0
MGLB00023.2	0.0	0.0	0.414014	0.0
MGLB00023.3	1.86308	6.66879	0.0	9.66384
MGLB00019.1	0.864928	11.503	2.2076	9.25975
MGLB00019.2	0.0075797	1.87391e-06	0.0321294	0.0904715
MGLB00022.1	0.0	0.0	1.63459	0.70478
MGLB00025.1	1.2474	6.2142	1.37542	0.979762
MGLB00025.2	3.76362	15.7865	1.07507	29.3494
MGLB00024.1	0.0	0.552761	0.0	12.5206
MGLB00033.1	2.13365	0.47428	11.5542	0.0
MGLB00031.1	18.0143	1.59669	14.1054	10.8474
MGLB00032.1	1.9271	8.04987	3.1041	5.95565
MGLB00035.1	55.1046	114.062	0.0	53.1864
MGLB00034.1	0.0	0.0495412	0.0	36.838
MGLB00036.1	0.0	0.0	0.0	0.0
MGLB00038.1	0.0	0.0	0.0	0.0
MGLB00037.1	0.0	0.0	0.0	0.0
MGLB00039.1	0.0	3.01969	0.967976	1.5922
MGLB00041.1	4.39582	5.61293	2.02602	5.23797
MGLB00044.1	0.0	0.0	0.0	3.17786
MGLB00045.1	0.0	0.0	0.0	0.0
MGLB00043.1	1.89422	1.57305	0.0	3.62337
MGLB00042.1	0.647746	0.386971	0.0	0.815743
MGLB00040.1	0.0773775	0.12685	0.0	0.0
MGLB00040.2	0.0	0.0	0.0605734	0.0
MGLB00048.1	5.31907	7.4315	5.17008	8.67328
MGLB00046.1	1.08578	3.38592	0.0	0.921353
MGLB00049.1	32.4771	75.4706	43.1485	108.487
MGLB00047.1	27.9399	24.3076	3.06804	36.8158
MGLB00051.2	0.0	0.0	0.0	0.0
MGLB00051.1	0.325479	2.60499	0.271677	2.07089
MGLB00050.1	14.581	49.3456	1.28446	3.72775
MGLB00052.1	0.0	0.300067	0.0	0.0
MGLB00052.2	0.0	0.0850159	0.915198	0.0
MGLB00053.1	0.0	0.0	1.51403	0.0
MGLB00054.1	0.0	0.558458	0.0	0.0
MGLB00055.2	2.0731e-07	1.60393e-07	0.0	8.98104e-08
MGLB00055.1	0.923049	1.0924	0.0	0.285236
MGLB00056.1	0.0327215	0.478044	0.0	0.296755
MGLB00080.2	2.11569	2.43934	0.0	2.64525
MGLB00080.1	0.0	0.488761	0.0	0.0
MGLB00060.1	0.0	0.0	0.0	0.0
MGLB00060.2	1.24993	0.976608	0.574533	0.0
MGLB00067.1	4.10486	10.9706	0.274851	1.63417
MGLB00062.1	0.881354	5.05669	0.0	5.15378
MGLB00069.1	1.38712	0.0	0.0	0.0
MGLB00085.1	0.0	0.984038	0.0	0.0
MGLB00075.1	0.805776	4.0531	0.0176653	4.45177
MGLB00075.2	0.0265787	1.15822	0.0221577	0.811549
MGLB00057.1	0.0	0.884124	0.0	0.0
MGLB00061.1	0.0	4.82267	0.0	11.7128
MGLB00068.1	0.0	29.5345	0.0	0.0
MGLB00081.1	0.634364	0.69291	1.25626	1.94531
MGLB00078.1	1.4041	4.70781	2.81077	8.99749
MGLB00077.1	3.74454	3.01907	0.555778	0.964891
MGLB00077.2	1.8266	3.39646	0.555778	3.37712
MGLB00073.1	4.74854	5.20934	0.00207118	6.50987
MGLB00073.2	0.0	0.350636	2.39866	1.08571
MGLB00072.1	1.34619	0.111999	0.0895965	2.99398
MGLB00072.2	2.07969	4.74632	0.0262359	0.078502
MGLB00072.3	0.0	1.98973	2.09321	4.03948
MGLB00064.1	4.34389	4.89881	1.1067	5.48813
MGLB00058.1	8.02333	17.8357	3.17359	20.5034
MGLB00079.1	20.8023	43.528	9.17446	156.32
MGLB00059.1	0.199077	7.59075	0.921486	20.223
MGLB00084.1	0.0	0.0	0.0	0.0
MGLB00076.1	2.9722	3.90588	1.24724	2.47642
MGLB00083.1	0.0853312	6.06281	0.483141	6.0028
MGLB00082.1	0.0	1.48177	5.46212	2.26933
MGLB00063.1	76.2306	604.009	18.3765	59.9528
MGLB00065.2	9.62354	152.414	1.80758	14.695
MGLB00065.1	0.0	17.4774	0.0	52.8036
MGLB00071.1	0.0	19.0976	26.7247	47.3227
MGLB00066.1	6.96337	17.4405	3.01242	1.3265
MGLB00074.1	0.463594	0.704805	0.0	0.0
MGLB00074.2	0.0	0.0	0.0	0.63057
MGLB00070.1	0.0	2.81046	0.0	1.21067
MGLB00086.1	0.0	20.1369	0.0	0.0
MGLB00087.1	2.78763	4.21855	0.0	0.0
MGLB00088.2	0.0	0.780974	0.0	2.02839
MGLB00088.1	0.0	0.0	0.0	0.00538272
MGLB00088.3	0.0294093	0.0	0.0242303	0.0
MGLB00088.4	0.000738373	0.315062	0.000913435	0.0
MGLB00091.1	4.08612	19.6701	0.996155	5.96962
MGLB00090.1	0.373077	0.753492	0.0	0.0
MGLB00090.2	7.68122e-05	1.66013	0.835022	0.864205
MGLB00090.3	2.86686	4.03917	0.918413	6.87353
MGLB00089.1	4.06135	3.99412	0.867614	13.704
MGLB00089.2	0.0	0.0	0.0	0.0
MGLB00096.3	2.20427	0.371472	0.0	2.84208
MGLB00096.1	2.77721e-08	1.28232e-08	0.0	4.14624e-08
MGLB00096.2	2.40566	1.854	2.44214	2.39708
MGLB00106.1	0.367886	2.20239	33.3898	36.9662
MGLB00100.1	0.0	2.98632	14.2593	12.873
MGLB00108.1	4.35813	0.73007	0.0	2.53034
MGLB00102.1	0.380926	3.01392	0.567383	2.26278
MGLB00103.1	4.23733	2.28327	1.09103	7.33724
MGLB00109.15	1.42001e-10	0.442743	0.0	0.101979
MGLB00109.25	0.00615789	2.57231e-05	0.00387003	0.0
MGLB00109.35	0.799786	0.674718	0.28969	5.62522e-09
MGLB00109.1	0.0	0.000150371	0.0	0.0
MGLB00109.10	2.01717e-05	0.0	8.00784e-08	0.0
MGLB00109.11	0.0499729	6.57965e-08	0.0	5.76399e-08
MGLB00109.12	0.0	0.0	2.91814e-09	1.56038e-05
MGLB00109.13	0.0	0.0	3.4954e-08	0.0
MGLB00109.14	0.0	0.0	4.24693e-10	0.0
MGLB00109.16	0.0	6.34672	0.0	3.94169
MGLB00109.17	1.54331e-10	1.24171	4.21101e-07	3.43482
MGLB00109.18	0.801012	1.92257	0.0	0.630937
MGLB00109.19	0.00408465	0.0	8.88954e-06	0.0
MGLB00109.2	0.0	0.324092	0.0	0.0
MGLB00109.20	2.88197e-10	1.60976	7.32695e-07	0.00779674
MGLB00109.21	0.0	0.0	6.07406e-08	2.46649e-10
MGLB00109.22	2.88197e-10	0.0	7.32695e-07	0.0
MGLB00109.23	0.12851	6.68128e-05	0.000189296	2.08976e-05
MGLB00109.24	6.57621e-09	0.0	1.17348e-05	1.67827e-07
MGLB00109.26	0.0	0.0	8.79192e-09	0.0
MGLB00109.27	0.0	1.54497e-10	5.06446e-09	2.86945e-05
MGLB00109.28	0.0	1.10754	8.00784e-08	5.49493
MGLB00109.29	4.08312	0.0	0.00406623	1.36235e-09
MGLB00109.3	0.0	3.39832	0.0	0.0
MGLB00109.30	2.83501e-07	6.15382	0.000330407	6.67917
MGLB00109.31	0.0	0.0	0.00025008	0.0
