qseqid	sseqid	pident	length	evalue	bitscore	extra0	extra1	extra2	extra3	extra4	extra5	gene_id_raw	gene_id_norm	orthogroup
qseqid	sseqid	pident	length	evalue	bitscore	extra0	extra1	extra2	gene_id_raw	gene_id_norm	orthogroup	Unmapped	Unmapped	Unmapped
qseqid	sseqid	pident	length	evalue	bitscore	gene_id_raw	gene_id_norm	orthogroup	Unmapped	Unmapped	Unmapped	Unmapped	Unmapped	Unmapped
NP_001073010.1	1_4558	93.891	442	0.0	805.0	XP_054759071	XP_054759071	OG0011261	XP_054759071	XP_054759071	OG0011261	XP_054759071	XP_054759071	OG0011261
NP_001073010.1	1_3672	70.37	108	6.84e-53	180.0	XP_054756464	XP_054756464	OG0012192	XP_054756464	XP_054756464	OG0012192	XP_054756464	XP_054756464	OG0012192
NP_001073010.1	1_2792	63.636	110	1.1099999999999999e-48	170.0	XP_054754329	XP_054754329	OG0010915	XP_054754329	XP_054754329	OG0010915	XP_054754329	XP_054754329	OG0010915
NP_001073010.1	1_9325	67.391	92	1.56e-39	149.0	XP_063951248	XP_063951248	OG0005134	XP_063951248	XP_063951248	OG0005134	XP_063951248	XP_063951248	OG0005134
NP_001073010.1	1_194	67.391	92	1.56e-39	149.0	XP_054748382	XP_054748382	OG0005134	XP_054748382	XP_054748382	OG0005134	XP_054748382	XP_054748382	OG0005134
NP_001073010.1	1_5807	49.6	125	8.68e-38	142.0	XP_054763981	XP_054763981	OG0010751	XP_054763981	XP_054763981	OG0010751	XP_054763981	XP_054763981	OG0010751
NP_001073010.1	1_193	66.667	90	2.13e-36	140.0	XP_054748381	XP_054748381	OG0010277	XP_054748381	XP_054748381	OG0010277	XP_054748381	XP_054748381	OG0010277
NP_001073010.1	1_21782	55.0	100	2.4e-35	134.0	XP_063963705	XP_063963705	OG0001157	XP_063963705	XP_063963705	OG0001157	XP_063963705	XP_063963705	OG0001157
NP_001073010.1	1_29404	53.271	107	9.89e-34	131.0	XP_063971327	XP_063971327	OG0006651	XP_063971327	XP_063971327	OG0006651	XP_063971327	XP_063971327	OG0006651
NP_001073010.1	1_7499	53.271	107	9.89e-34	131.0	XP_054769722	XP_054769722	OG0006651	XP_054769722	XP_054769722	OG0006651	XP_054769722	XP_054769722	OG0006651
NP_001073010.1	1_4513	51.327	113	3.4700000000000003e-31	125.0	XP_054758977	XP_054758977	OG0012145	XP_054758977	XP_054758977	OG0012145	XP_054758977	XP_054758977	OG0012145
NP_001073010.1	1_5307	51.111	90	1.6e-25	106.0	XP_054762470	XP_054762470	OG0004136	XP_054762470	XP_054762470	OG0004136	XP_054762470	XP_054762470	OG0004136
NP_001073010.1	1_5317	48.936	94	1.7499999999999999e-25	108.0	XP_054762498	XP_054762498	OG0008119	XP_054762498	XP_054762498	OG0008119	XP_054762498	XP_054762498	OG0008119
NP_001073010.1	1_5311	47.17	106	2.8399999999999998e-25	109.0	XP_054762487	XP_054762487	OG0010800	XP_054762487	XP_054762487	OG0010800	XP_054762487	XP_054762487	OG0010800
NP_001073010.1	1_5308	51.136	88	2.95e-25	106.0	XP_054762472	XP_054762472	OG0004136	XP_054762472	XP_054762472	OG0004136	XP_054762472	XP_054762472	OG0004136
NP_001073010.1	1_7143	51.648	91	4.87e-25	106.0	XP_054768565	XP_054768565	OG0012197	XP_054768565	XP_054768565	OG0012197	XP_054768565	XP_054768565	OG0012197
NP_001073010.1	1_6549	33.908	174	8.01e-24	103.0	XP_054766435	XP_054766435	OG0012310	XP_054766435	XP_054766435	OG0012310	XP_054766435	XP_054766435	OG0012310
