s1g	s1gp	s1chr	s1gi	s2g	s2gp	s2chr	s2gi	clg
MGLB12422	58820941	scaffold_3	297	gene-HOLleu_03984	83600473	Hchr1	58	-
MGLB12070	1401152	scaffold_3	0	gene-HOLleu_05430	28032567	Hchr2	139	E
MGLB11052	2706340	scaffold_3	13	gene-HOLleu_05553	32340581	Hchr2	154	E
MGLB12328	3949593	scaffold_3	14	gene-HOLleu_05335	25349853	Hchr2	130	E
MGLB11775	4163110	scaffold_3	15	gene-HOLleu_05330	25039186	Hchr2	129	E
MGLB12469	4968426	scaffold_3	16	gene-HOLleu_06458	61237776	Hchr2	244	E
MGLB12725	5004779	scaffold_3	17	gene-HOLleu_06749	71138328	Hchr2	286	E
MGLB11276	5116613	scaffold_3	18	gene-HOLleu_06591	65006435	Hchr2	256	-
MGLB11599	5198265	scaffold_3	19	gene-HOLleu_05955	45070054	Hchr2	193	-
MGLB12729	8841995	scaffold_3	28	gene-HOLleu_06230	54437325	Hchr2	219	E
MGLB12423	10059121	scaffold_3	39	gene-HOLleu_05459	29362580	Hchr2	142	E
MGLB11858	10273587	scaffold_3	40	gene-HOLleu_05457	29233901	Hchr2	141	E
MGLB12687	10297878	scaffold_3	41	gene-HOLleu_05857	41635901	Hchr2	181	E
MGLB11623	10600332	scaffold_3	42	gene-HOLleu_05969	45945464	Hchr2	198	E
MGLB11158	11732454	scaffold_3	43	gene-HOLleu_05910	43845778	Hchr2	186	-
MGLB12664	12205494	scaffold_3	45	gene-HOLleu_05027	15040533	Hchr2	93	E
MGLB11180	12267653	scaffold_3	46	gene-HOLleu_06953	76823308	Hchr2	313	E
MGLB12400	12394643	scaffold_3	47	gene-HOLleu_05071	16586285	Hchr2	103	-
MGLB12535	12504938	scaffold_3	48	gene-HOLleu_06274	55243766	Hchr2	228	E
MGLB12568	19515559	scaffold_3	92	gene-HOLleu_06644	67035399	Hchr2	263	E
MGLB11879	19551946	scaffold_3	93	gene-HOLleu_05051	15739267	Hchr2	99	E
MGLB12064	20723738	scaffold_3	102	gene-HOLleu_06387	58658397	Hchr2	237	E
MGLB11831	20768422	scaffold_3	103	gene-HOLleu_06395	59034491	Hchr2	239	E
MGLB11278	20794058	scaffold_3	104	gene-HOLleu_06391	58883777	Hchr2	238	E
MGLB11809	21221759	scaffold_3	105	gene-HOLleu_04885	10501216	Hchr2	76	E
MGLB11503	21258155	scaffold_3	106	gene-HOLleu_06547	63407035	Hchr2	250	E
MGLB12436	21267752	scaffold_3	107	gene-HOLleu_06662	67627826	Hchr2	270	-
MGLB12277	21674508	scaffold_3	108	gene-HOLleu_07015	78280168	Hchr2	318	E
MGLB12279	22090384	scaffold_3	112	gene-HOLleu_05222	21866303	Hchr2	122	-
MGLB12129	23258910	scaffold_3	118	gene-HOLleu_05697	36549327	Hchr2	164	-
MGLB11958	23422336	scaffold_3	119	gene-HOLleu_06700	69325971	Hchr2	280	E
MGLB11398	23508490	scaffold_3	120	gene-HOLleu_06848	74319641	Hchr2	301	E
MGLB12164	24612772	scaffold_3	125	gene-HOLleu_06989	77606294	Hchr2	316	E
MGLB11026	24654042	scaffold_3	126	gene-HOLleu_06990	77625160	Hchr2	317	E
MGLB11362	25085627	scaffold_3	127	gene-HOLleu_05733	37631738	Hchr2	166	E
MGLB11762	25116269	scaffold_3	128	gene-HOLleu_06453	60808167	Hchr2	242	-
MGLB11563	25340714	scaffold_3	129	gene-HOLleu_06767	71718418	Hchr2	291	E
MGLB11735	25359351	scaffold_3	130	gene-HOLleu_06769	71760601	Hchr2	292	E
MGLB12647	25465567	scaffold_3	131	gene-HOLleu_06665	67835816	Hchr2	271	E
MGLB12578	26273352	scaffold_3	139	gene-HOLleu_04899	10909310	Hchr2	77	E
MGLB12102	26393328	scaffold_3	140	gene-HOLleu_04814	7090821	Hchr2	67	E
MGLB12075	26519140	scaffold_3	141	gene-HOLleu_05626	34542046	Hchr2	159	E
MGLB12522	26783640	scaffold_3	142	gene-HOLleu_05930	44315074	Hchr2	187	E
MGLB11684	26855200	scaffold_3	143	gene-HOLleu_05474	29960334	Hchr2	144	E
MGLB12307	27566152	scaffold_3	148	gene-HOLleu_06978	77379814	Hchr2	314	E
MGLB11134	27707544	scaffold_3	149	gene-HOLleu_05491	30485296	Hchr2	146	E
MGLB12196	32833836	scaffold_3	163	gene-HOLleu_05179	20384754	Hchr2	115	E
MGLB12160	34152155	scaffold_3	164	gene-HOLleu_06057	49199729	Hchr2	211	E
MGLB11020	34173028	scaffold_3	165	gene-HOLleu_05545	32209884	Hchr2	153	E
MGLB11479	34225987	scaffold_3	166	gene-HOLleu_05988	46567187	Hchr2	202	-
MGLB12190	38110079	scaffold_3	172	gene-HOLleu_06845	74256635	Hchr2	300	E
MGLB12513	38574757	scaffold_3	173	gene-HOLleu_05390	26635533	Hchr2	135	E
MGLB11054	38675690	scaffold_3	174	gene-HOLleu_06855	74545975	Hchr2	303	E
MGLB12612	38699734	scaffold_3	175	gene-HOLleu_06165	52885715	Hchr2	216	E
MGLB12318	38730497	scaffold_3	176	gene-HOLleu_06854	74524631	Hchr2	302	E
MGLB11758	38749298	scaffold_3	177	gene-HOLleu_04882	10395000	Hchr2	74	E
MGLB11730	38775618	scaffold_3	178	gene-HOLleu_04883	10416904	Hchr2	75	E
MGLB11605	38846258	scaffold_3	179	gene-HOLleu_06909	75803572	Hchr2	309	E
MGLB11921	38892053	scaffold_3	180	gene-HOLleu_06908	75744390	Hchr2	308	E
MGLB12370	38966033	scaffold_3	181	gene-HOLleu_06905	75719140	Hchr2	307	E
MGLB11785	40650751	scaffold_3	192	gene-HOLleu_05366	26265753	Hchr2	134	-
MGLB11435	40856807	scaffold_3	193	gene-HOLleu_05935	44387786	Hchr2	188	-
MGLB11218	40897848	scaffold_3	194	gene-HOLleu_05951	44957991	Hchr2	192	E
MGLB12363	40917974	scaffold_3	195	gene-HOLleu_06257	54837327	Hchr2	223	E
MGLB12029	40939246	scaffold_3	196	gene-HOLleu_06256	54828852	Hchr2	222	E
MGLB11572	40946914	scaffold_3	197	gene-HOLleu_05686	36074463	Hchr2	162	E
MGLB12019	41119201	scaffold_3	198	gene-HOLleu_06236	54558262	Hchr2	221	-
MGLB12321	41147011	scaffold_3	199	gene-HOLleu_05231	22105208	Hchr2	124	E
MGLB11721	41238664	scaffold_3	200	gene-HOLleu_05859	41796182	Hchr2	182	E
MGLB12130	41282812	scaffold_3	201	gene-HOLleu_06060	49244485	Hchr2	212	-
MGLB12106	41374813	scaffold_3	202	gene-HOLleu_06830	73628135	Hchr2	296	E
MGLB12220	41635127	scaffold_3	203	gene-HOLleu_05003	14140312	Hchr2	87	E
MGLB11374	41736122	scaffold_3	204	gene-HOLleu_05425	27519221	Hchr2	136	-
MGLB11574	41819489	scaffold_3	205	gene-HOLleu_05583	33291967	Hchr2	156	E
MGLB11950	41841373	scaffold_3	206	gene-HOLleu_05584	33323907	Hchr2	157	E
MGLB12161	41874723	scaffold_3	207	gene-HOLleu_06518	62827593	Hchr2	245	E
MGLB11031	42175657	scaffold_3	208	gene-HOLleu_05745	38014635	Hchr2	167	E
MGLB12481	42312344	scaffold_3	209	gene-HOLleu_06680	68410011	Hchr2	273	E
MGLB11139	42480863	scaffold_3	210	gene-HOLleu_05976	46103227	Hchr2	199	E
MGLB12255	42494316	scaffold_3	211	gene-HOLleu_05977	46132965	Hchr2	200	E
MGLB12661	42530897	scaffold_3	212	gene-HOLleu_05978	46177632	Hchr2	201	E
MGLB11007	42541600	scaffold_3	213	gene-HOLleu_06016	47154030	Hchr2	207	E
MGLB12410	42559672	scaffold_3	214	gene-HOLleu_06445	60660015	Hchr2	241	E
MGLB12708	42573500	scaffold_3	215	gene-HOLleu_05809	40081892	Hchr2	177	E
MGLB11430	43644781	scaffold_3	216	gene-HOLleu_05500	30838656	Hchr2	148	E
MGLB12240	43682114	scaffold_3	217	gene-HOLleu_05499	30818642	Hchr2	147	E
MGLB11826	43719331	scaffold_3	218	gene-HOLleu_06647	67136490	Hchr2	264	E
MGLB11462	43748914	scaffold_3	219	gene-HOLleu_06610	65727216	Hchr2	259	E
MGLB12312	45712583	scaffold_3	227	gene-HOLleu_04992	13671018	Hchr2	82	E
MGLB12020	45772098	scaffold_3	228	gene-HOLleu_06701	69627527	Hchr2	281	E
MGLB12397	46118965	scaffold_3	229	gene-HOLleu_06370	58093391	Hchr2	234	E
MGLB11472	46237330	scaffold_3	230	gene-HOLleu_04995	13965078	Hchr2	85	E
MGLB12408	47143393	scaffold_3	235	gene-HOLleu_06755	71300066	Hchr2	287	E
MGLB12709	47152484	scaffold_3	236	gene-HOLleu_06915	75897772	Hchr2	311	E
MGLB11112	47323837	scaffold_3	237	gene-HOLleu_06149	52304705	Hchr2	215	E
MGLB12007	47395053	scaffold_3	238	gene-HOLleu_05890	43047604	Hchr2	183	E
MGLB11640	47413448	scaffold_3	239	gene-HOLleu_05893	43149624	Hchr2	184	-
MGLB12179	47420326	scaffold_3	240	gene-HOLleu_06231	54463716	Hchr2	220	-
MGLB12273	47507002	scaffold_3	241	gene-HOLleu_06654	67459924	Hchr2	268	-
MGLB12146	47800051	scaffold_3	243	gene-HOLleu_05568	32773895	Hchr2	155	E
MGLB12377	48805590	scaffold_3	249	gene-HOLleu_06265	54988324	Hchr2	225	E
MGLB11064	48925651	scaffold_3	250	gene-HOLleu_06264	54960015	Hchr2	224	E
MGLB12042	48936989	scaffold_3	251	gene-HOLleu_06719	70248277	Hchr2	282	E
MGLB11915	48960801	scaffold_3	252	gene-HOLleu_06313	56134257	Hchr2	230	-
MGLB12227	48995515	scaffold_3	253	gene-HOLleu_06228	54396153	Hchr2	218	E
MGLB12371	49652659	scaffold_3	254	gene-HOLleu_05082	17269545	Hchr2	105	E
MGLB12605	49958847	scaffold_3	255	gene-HOLleu_06673	68067602	Hchr2	272	E
MGLB11466	50808349	scaffold_3	261	gene-HOLleu_05760	38566921	Hchr2	168	E
MGLB11875	50841303	scaffold_3	262	gene-HOLleu_06627	66581054	Hchr2	261	-
MGLB12464	50908684	scaffold_3	263	gene-HOLleu_04998	14031576	Hchr2	86	-
MGLB11867	50969407	scaffold_3	264	gene-HOLleu_06809	72894298	Hchr2	294	E
