s1g	s1gp	s1chr	s1gi	s2g	s2gp	s2chr	s2gi	clg
PL09352	79926809	Scaffold_174	832	MGLB12524	21715960	scaffold_3	166	NA
PL08909	6417462	Scaffold_174	30	MGLB16642	12825645	scaffold_1	908	NA
PL09318	6482993	Scaffold_174	31	MGLB16325	12864950	scaffold_1	909	NA
PL08283	6489880	Scaffold_174	32	MGLB16831	12891859	scaffold_1	910	NA
PL11215	6613885	Scaffold_174	33	MGLB16563	28247983	scaffold_1	1039	NA
PL08687	6645562	Scaffold_174	34	MGLB17044	28295506	scaffold_1	1040	NA
PL08000	6677623	Scaffold_174	35	MGLB16540	28304339	scaffold_1	1041	NA
PL08553	6703753	Scaffold_174	36	MGLB16179	28330491	scaffold_1	1042	NA
PL11298	6780006	Scaffold_174	37	MGLB16867	28366395	scaffold_1	1043	NA
PL08408	6845211	Scaffold_174	38	MGLB16603	28429288	scaffold_1	1044	NA
PL08128	6883604	Scaffold_174	39	MGLB17017	28469671	scaffold_1	1045	NA
PL10553	6892041	Scaffold_174	40	MGLB16819	28476182	scaffold_1	1046	NA
PL10590	6905980	Scaffold_174	41	MGLB16550	28506015	scaffold_1	1047	NA
PL10955	6978846	Scaffold_174	42	MGLB17223	28630554	scaffold_1	1048	NA
PL08882	7014426	Scaffold_174	43	MGLB16724	28682087	scaffold_1	1049	NA
PL09853	7272537	Scaffold_174	44	MGLB16754	28973621	scaffold_1	1050	NA
PL08083	7623031	Scaffold_174	45	MGLB16884	29282015	scaffold_1	1051	NA
PL10434	7658459	Scaffold_174	46	MGLB16620	29326312	scaffold_1	1052	NA
PL09931	7681366	Scaffold_174	47	MGLB16861	29358842	scaffold_1	1053	NA
PL09474	7710213	Scaffold_174	48	MGLB16087	29391800	scaffold_1	1054	NA
PL10511	7730634	Scaffold_174	49	MGLB16851	29423765	scaffold_1	1055	NA
PL09308	7815449	Scaffold_174	50	MGLB16828	29499689	scaffold_1	1056	NA
PL08612	7926489	Scaffold_174	51	MGLB16929	29581755	scaffold_1	1057	NA
PL09171	8012771	Scaffold_174	52	MGLB17305	29676632	scaffold_1	1058	NA
PL10345	8026331	Scaffold_174	53	MGLB17324	29690695	scaffold_1	1059	NA
PL08568	8235752	Scaffold_174	54	MGLB17022	29918563	scaffold_1	1060	NA
PL11208	8465138	Scaffold_174	55	MGLB16731	30269900	scaffold_1	1061	NA
PL10674	8879352	Scaffold_174	56	MGLB16637	30641159	scaffold_1	1062	NA
PL09477	8914109	Scaffold_174	57	MGLB16309	30652695	scaffold_1	1063	NA
