qseqid	sseqid	pident	length	evalue	bitscore	extra0	extra1	extra2	extra3	extra4	extra5	gene_id_raw	gene_id_norm	orthogroup
qseqid	sseqid	pident	length	evalue	bitscore	extra0	extra1	extra2	gene_id_raw	gene_id_norm	orthogroup	Unmapped	Unmapped	Unmapped
qseqid	sseqid	pident	length	evalue	bitscore	gene_id_raw	gene_id_norm	orthogroup	Unmapped	Unmapped	Unmapped	Unmapped	Unmapped	Unmapped
NP_999670.1	2_24917	65.667	900	0.0	1166.0	Lvar_XP_041461325	Lvar_XP_041461325	OG0000054	Lvar_XP_041461325	Lvar_XP_041461325	OG0000054	Lvar_XP_041461325	Lvar_XP_041461325	OG0000054
NP_999670.1	2_2376	65.778	900	0.0	1165.0	Lvar_XP_041462455	Lvar_XP_041462455	OG0000054	Lvar_XP_041462455	Lvar_XP_041462455	OG0000054	Lvar_XP_041462455	Lvar_XP_041462455	OG0000054
NP_999670.1	2_18927	61.154	901	0.0	1053.0	Lvar_XP_041477239	Lvar_XP_041477239	OG0000054	Lvar_XP_041477239	Lvar_XP_041477239	OG0000054	Lvar_XP_041477239	Lvar_XP_041477239	OG0000054
NP_999670.1	2_14606	51.512	893	0.0	876.0	Lvar_XP_041456026	Lvar_XP_041456026	OG0000054	Lvar_XP_041456026	Lvar_XP_041456026	OG0000054	Lvar_XP_041456026	Lvar_XP_041456026	OG0000054
NP_999670.1	2_22834	51.628	860	0.0	866.0	Lvar_XP_041465016	Lvar_XP_041465016	OG0000054	Lvar_XP_041465016	Lvar_XP_041465016	OG0000054	Lvar_XP_041465016	Lvar_XP_041465016	OG0000054
NP_999670.1	2_1592	51.628	860	0.0	850.0	Lvar_XP_041465178	Lvar_XP_041465178	OG0000054	Lvar_XP_041465178	Lvar_XP_041465178	OG0000054	Lvar_XP_041465178	Lvar_XP_041465178	OG0000054
NP_999670.1	2_19778	51.86	887	0.0	848.0	Lvar_XP_041477592	Lvar_XP_041477592	OG0000054	Lvar_XP_041477592	Lvar_XP_041477592	OG0000054	Lvar_XP_041477592	Lvar_XP_041477592	OG0000054
NP_999670.1	2_24619	51.908	865	0.0	835.0	Lvar_XP_041461307	Lvar_XP_041461307	OG0000054	Lvar_XP_041461307	Lvar_XP_041461307	OG0000054	Lvar_XP_041461307	Lvar_XP_041461307	OG0000054
NP_999670.1	2_377	50.288	869	0.0	783.0	Lvar_XP_041469493	Lvar_XP_041469493	OG0000054	Lvar_XP_041469493	Lvar_XP_041469493	OG0000054	Lvar_XP_041469493	Lvar_XP_041469493	OG0000054
NP_999670.1	2_14506	48.244	854	0.0	729.0	Lvar_XP_041461589	Lvar_XP_041461589	OG0000054	Lvar_XP_041461589	Lvar_XP_041461589	OG0000054	Lvar_XP_041461589	Lvar_XP_041461589	OG0000054
NP_999670.1	2_2862	47.625	863	0.0	725.0	Lvar_XP_041461444	Lvar_XP_041461444	OG0000054	Lvar_XP_041461444	Lvar_XP_041461444	OG0000054	Lvar_XP_041461444	Lvar_XP_041461444	OG0000054
NP_999670.1	2_414	40.845	852	0.0	585.0	Lvar_XP_041471399	Lvar_XP_041471399	OG0000054	Lvar_XP_041471399	Lvar_XP_041471399	OG0000054	Lvar_XP_041471399	Lvar_XP_041471399	OG0000054
NP_999670.1	2_2238	38.022	910	1.5000000000000002e-179	542.0	Lvar_XP_041461104	Lvar_XP_041461104	OG0000054	Lvar_XP_041461104	Lvar_XP_041461104	OG0000054	Lvar_XP_041461104	Lvar_XP_041461104	OG0000054
