qseqid	sseqid	pident	length	evalue	bitscore	extra0	extra1	extra2	extra3	extra4	extra5	gene_id_raw	gene_id_norm	orthogroup
qseqid	sseqid	pident	length	evalue	bitscore	extra0	extra1	extra2	gene_id_raw	gene_id_norm	orthogroup	Unmapped	Unmapped	Unmapped
qseqid	sseqid	pident	length	evalue	bitscore	gene_id_raw	gene_id_norm	orthogroup	Unmapped	Unmapped	Unmapped	Unmapped	Unmapped	Unmapped
XP_011668891.1	2_25967	80.465	430	0.0	733.0	Lvar_XP_041461092	Lvar_XP_041461092	OG0009493	Lvar_XP_041461092	Lvar_XP_041461092	OG0009493	Lvar_XP_041461092	Lvar_XP_041461092	OG0009493
XP_011668891.1	2_2781	51.74	431	3.75e-159	456.0	Lvar_XP_041458806	Lvar_XP_041458806	OG0003243	Lvar_XP_041458806	Lvar_XP_041458806	OG0003243	Lvar_XP_041458806	Lvar_XP_041458806	OG0003243
XP_011668891.1	2_2780	51.74	431	3.75e-159	456.0	Lvar_XP_041458805	Lvar_XP_041458805	OG0003243	Lvar_XP_041458805	Lvar_XP_041458805	OG0003243	Lvar_XP_041458805	Lvar_XP_041458805	OG0003243
XP_011668891.1	2_2779	51.74	431	3.75e-159	456.0	Lvar_XP_041458804	Lvar_XP_041458804	OG0003243	Lvar_XP_041458804	Lvar_XP_041458804	OG0003243	Lvar_XP_041458804	Lvar_XP_041458804	OG0003243
XP_011668891.1	2_2778	51.74	431	3.75e-159	456.0	Lvar_XP_041458803	Lvar_XP_041458803	OG0003243	Lvar_XP_041458803	Lvar_XP_041458803	OG0003243	Lvar_XP_041458803	Lvar_XP_041458803	OG0003243
XP_011668891.1	2_7007	28.352	455	2.4899999999999997e-48	173.0	Lvar_XP_041482070	Lvar_XP_041482070	OG0001342	Lvar_XP_041482070	Lvar_XP_041482070	OG0001342	Lvar_XP_041482070	Lvar_XP_041482070	OG0001342
XP_011668891.1	2_6552	27.412	456	8.27e-46	166.0	Lvar_XP_041482059	Lvar_XP_041482059	OG0001342	Lvar_XP_041482059	Lvar_XP_041482059	OG0001342	Lvar_XP_041482059	Lvar_XP_041482059	OG0001342
XP_011668891.1	2_6550	27.412	456	8.27e-46	166.0	Lvar_XP_041482058	Lvar_XP_041482058	OG0001342	Lvar_XP_041482058	Lvar_XP_041482058	OG0001342	Lvar_XP_041482058	Lvar_XP_041482058	OG0001342
XP_011668891.1	2_6547	27.412	456	8.27e-46	166.0	Lvar_XP_041482057	Lvar_XP_041482057	OG0001342	Lvar_XP_041482057	Lvar_XP_041482057	OG0001342	Lvar_XP_041482057	Lvar_XP_041482057	OG0001342
XP_011668891.1	2_6539	27.412	456	8.27e-46	166.0	Lvar_XP_041482055	Lvar_XP_041482055	OG0001342	Lvar_XP_041482055	Lvar_XP_041482055	OG0001342	Lvar_XP_041482055	Lvar_XP_041482055	OG0001342
XP_011668891.1	2_6535	27.412	456	8.27e-46	166.0	Lvar_XP_041482054	Lvar_XP_041482054	OG0001342	Lvar_XP_041482054	Lvar_XP_041482054	OG0001342	Lvar_XP_041482054	Lvar_XP_041482054	OG0001342
XP_011668891.1	2_6531	27.412	456	8.27e-46	166.0	Lvar_XP_041482053	Lvar_XP_041482053	OG0001342	Lvar_XP_041482053	Lvar_XP_041482053	OG0001342	Lvar_XP_041482053	Lvar_XP_041482053	OG0001342
XP_011668891.1	2_2025	25.877	456	7.06e-41	153.0	Lvar_XP_041463745	Lvar_XP_041463745	OG0015029	Lvar_XP_041463745	Lvar_XP_041463745	OG0015029	Lvar_XP_041463745	Lvar_XP_041463745	OG0015029
