s1chr	s2chr	s1tot	s2tot	n	fishp	padj	scol	s1g	s1gp	s1gi	s2g	s2gp	s2gi	clg
scaffold_1	spur5_scaffold_1	1371	391	3	0.999999999999997	1	NS	LPI10360	49050341	962	LOC115921019	27974433	1594	.
scaffold_1	spur5_scaffold_1	1371	391	3	0.999999999999997	1	NS	LPI08466	56512951	1115	LOC586335	16394860	1506	.
scaffold_1	spur5_scaffold_1	1371	391	3	0.999999999999997	1	NS	LPI10491	75328648	1389	LOC115921438	50882117	1754	.
scaffold_1	spur5_scaffold_10	1371	460	2	1	1	NS	LPI09134	10536650	181	LOC115921563	16990919	12304	.
scaffold_1	spur5_scaffold_10	1371	460	2	1	1	NS	LPI10004	65351125	1259	LOC105443327	4661760	12131	H
scaffold_1	spur5_scaffold_11	1371	622	1	1	1	NS	LPI09490	81227879	1460	LOC115918505	26336545	11904	F
scaffold_1	spur5_scaffold_13	1371	486	2	1	1	NS	LPI09102	45278077	879	LOC105445827	33769696	6817	.
scaffold_1	spur5_scaffold_13	1371	486	2	1	1	NS	LPI09030	53092774	1039	LOC762421	1004667	6410	.
scaffold_1	spur5_scaffold_14	1371	635	1	1	1	NS	LPI08688	64503574	1246	LOC105438107	29586195	6278	.
scaffold_1	spur5_scaffold_17	1371	16	1	0.811735055428411	1	NS	LPI10374	30459980	561	LOC105445776	6727169	12597	.
scaffold_1	spur5_scaffold_18	1371	368	2	0.999999999999999	1	NS	LPI09760	57448530	1131	LOC105436509	30001505	9653	.
scaffold_1	spur5_scaffold_18	1371	368	2	0.999999999999999	1	NS	LPI10279	74039899	1374	LOC588166	8076217	9351	J1
scaffold_1	spur5_scaffold_19	1371	483	4	1	1	NS	LPI08586	10469802	179	LOC115925854	25020200	10600	.
scaffold_1	spur5_scaffold_19	1371	483	4	1	1	NS	LPI08739	28726209	537	LOC105442288	30785884	10685	.
scaffold_1	spur5_scaffold_19	1371	483	4	1	1	NS	LPI09028	39177353	743	LOC586002	26670318	10634	.
scaffold_1	spur5_scaffold_19	1371	483	4	1	1	NS	LPI09045	53606124	1052	LOC115926116	22553546	10572	.
scaffold_1	spur5_scaffold_2	1371	724	2	1	1	NS	LPI08782	26331039	495	LOC590906	26273097	4208	.
scaffold_1	spur5_scaffold_2	1371	724	2	1	1	NS	LPI09687	75364362	1390	LOC100893054	30357060	4247	.
scaffold_1	spur5_scaffold_20	1371	337	4	0.999999999992652	1	NS	LPI08576	2487974	19	LOC574589	50938349	2102	.
scaffold_1	spur5_scaffold_20	1371	337	4	0.999999999992652	1	NS	LPI09339	2605964	20	LOC105442250	50830834	2101	.
scaffold_1	spur5_scaffold_20	1371	337	4	0.999999999992652	1	NS	LPI08470	29442850	544	LOC105436934	45558966	2065	.
scaffold_1	spur5_scaffold_20	1371	337	4	0.999999999992652	1	NS	LPI09739	79266974	1432	LOC115927538	51095267	2103	.
scaffold_1	spur5_scaffold_3	1371	517	1	1	1	NS	LPI09614	80382527	1450	LOC105438347	1614945	4450	.
scaffold_1	spur5_scaffold_4	1371	554	4	1	1	NS	LPI08623	31039813	574	LOC754542	35857522	8066	M
scaffold_1	spur5_scaffold_4	1371	554	4	1	1	NS	LPI08580	31746432	590	LOC586835	35845806	8064	M
scaffold_1	spur5_scaffold_4	1371	554	4	1	1	NS	LPI08474	32031668	591	LOC586858	35852295	8065	.
scaffold_1	spur5_scaffold_4	1371	554	4	1	1	NS	LPI08562	36618150	686	LOC754997	23567861	7837	.
scaffold_1	spur5_scaffold_5	1371	1031	1	1	1	NS	LPI09418	32376284	599	LOC105440173	1674231	2682	.
scaffold_1	spur5_scaffold_6	1371	1364	1337	0	0	S	LPI09533	1307430	0	LOC580553	18953247	475	.
scaffold_1	spur5_scaffold_6	1371	1364	1337	0	0	S	LPI08772	1430384	1	LOC105439527	15979385	404	.
scaffold_1	spur5_scaffold_6	1371	1364	1337	0	0	S	LPI09877	1463585	2	LOC584909	16585660	411	.
scaffold_1	spur5_scaffold_6	1371	1364	1337	0	0	S	LPI08749	1527927	3	LOC115919257	16144505	405	.
scaffold_1	spur5_scaffold_6	1371	1364	1337	0	0	S	LPI09300	1577059	4	LOC100890323	16679515	412	.
scaffold_1	spur5_scaffold_6	1371	1364	1337	0	0	S	LPI09756	1610215	5	LOC115918319	16696858	413	.
scaffold_1	spur5_scaffold_6	1371	1364	1337	0	0	S	LPI08811	1658968	6	LOC100890465	16207295	406	.
scaffold_1	spur5_scaffold_6	1371	1364	1337	0	0	S	LPI08917	1726846	7	LOC100890531	16720993	414	.
scaffold_1	spur5_scaffold_6	1371	1364	1337	0	0	S	LPI10147	1760919	8	LOC754465	16237964	407	.
scaffold_1	spur5_scaffold_6	1371	1364	1337	0	0	S	LPI10353	1870098	9	LOC115918320	16798275	416	.
scaffold_1	spur5_scaffold_6	1371	1364	1337	0	0	S	LPI09242	1876415	10	LOC115919448	16330099	408	.
scaffold_1	spur5_scaffold_6	1371	1364	1337	0	0	S	LPI08500	1896933	11	LOC105436969	16903529	417	.
scaffold_1	spur5_scaffold_6	1371	1364	1337	0	0	S	LPI08726	1906861	12	LOC578794	16907700	418	B2+C2
scaffold_1	spur5_scaffold_6	1371	1364	1337	0	0	S	LPI10303	1922561	13	LOC578731	16917405	419	B2+C2
scaffold_1	spur5_scaffold_6	1371	1364	1337	0	0	S	LPI09197	1944997	14	LOC100891166	16932291	420	.
scaffold_1	spur5_scaffold_6	1371	1364	1337	0	0	S	LPI09330	2111804	15	LOC582157	16955898	421	.
scaffold_1	spur5_scaffold_6	1371	1364	1337	0	0	S	LPI10366	2321586	16	LOC582113	16972460	422	.
scaffold_1	spur5_scaffold_6	1371	1364	1337	0	0	S	LPI09049	2402836	17	LOC582076	16981182	423	B2+C2
scaffold_1	spur5_scaffold_6	1371	1364	1337	0	0	S	LPI08701	2435882	18	LOC582027	16990064	424	.
scaffold_1	spur5_scaffold_6	1371	1364	1337	0	0	S	LPI09734	2761689	21	LOC579914	14528322	372	E
scaffold_1	spur5_scaffold_6	1371	1364	1337	0	0	S	LPI08802	2876390	22	LOC578067	14498498	371	E
scaffold_1	spur5_scaffold_6	1371	1364	1337	0	0	S	LPI09204	2916110	23	LOC752507	14467715	370	.
scaffold_1	spur5_scaffold_6	1371	1364	1337	0	0	S	LPI09105	3290769	24	LOC752034	14396655	369	E
scaffold_1	spur5_scaffold_6	1371	1364	1337	0	0	S	LPI09808	3421157	25	LOC100888029	14390451	368	E
scaffold_1	spur5_scaffold_6	1371	1364	1337	0	0	S	LPI08870	3431182	26	LOC752081	14298688	367	.
scaffold_1	spur5_scaffold_6	1371	1364	1337	0	0	S	LPI10124	3553099	27	LOC752104	14285747	366	.
scaffold_1	spur5_scaffold_6	1371	1364	1337	0	0	S	LPI09611	3576252	28	LOC100888902	14265732	365	.
scaffold_1	spur5_scaffold_6	1371	1364	1337	0	0	S	LPI08909	3594506	29	LOC105444653	14254448	364	.
scaffold_1	spur5_scaffold_6	1371	1364	1337	0	0	S	LPI10268	3611328	30	LOC100888972	14241454	363	.
scaffold_1	spur5_scaffold_6	1371	1364	1337	0	0	S	LPI10206	3643248	31	LOC105444654	14226541	362	.
scaffold_1	spur5_scaffold_6	1371	1364	1337	0	0	S	LPI08835	3657400	32	LOC115918209	14202814	361	.
scaffold_1	spur5_scaffold_6	1371	1364	1337	0	0	S	LPI09472	3692399	33	LOC100888771	14183727	360	E
scaffold_1	spur5_scaffold_6	1371	1364	1337	0	0	S	LPI09728	3730910	34	LOC585748	14162750	359	E
scaffold_1	spur5_scaffold_6	1371	1364	1337	0	0	S	LPI10109	3768049	35	LOC577165	14128606	358	E
scaffold_1	spur5_scaffold_6	1371	1364	1337	0	0	S	LPI08652	3793870	36	LOC577103	14114784	357	E
scaffold_1	spur5_scaffold_6	1371	1364	1337	0	0	S	LPI09825	3860892	37	LOC100889046	14036296	356	.
scaffold_1	spur5_scaffold_6	1371	1364	1337	0	0	S	LPI09562	3939086	38	LOC752241	14006576	355	.
scaffold_1	spur5_scaffold_6	1371	1364	1337	0	0	S	LPI09107	4021120	39	LOC754367	13972394	354	E
scaffold_1	spur5_scaffold_6	1371	1364	1337	0	0	S	LPI09931	4059018	40	LOC584198	13962808	353	E
scaffold_1	spur5_scaffold_6	1371	1364	1337	0	0	S	LPI08745	4209638	41	LOC576714	13851967	351	.
