qseqid	sseqid	pident	length	evalue	bitscore	gene_id_raw	gene_id_norm	orthogroup
XP_063951770.1	2_4533	79.13	115	1.92e-64	199.0	Lvar_XP_041454505	Lvar_XP_041454505	OG0000345
XP_063951770.1	2_4530	56.364	110	1.59e-39	140.0	Lvar_XP_041454504	Lvar_XP_041454504	OG0001197
XP_063951770.1	2_4527	56.881	109	3.01e-39	140.0	Lvar_XP_041454503	Lvar_XP_041454503	OG0001197
XP_063951770.1	2_6825	50.45	111	1.0799999999999999e-30	115.0	Lvar_XP_041453877	Lvar_XP_041453877	OG0000345
XP_063951770.1	2_6823	50.45	111	1.0799999999999999e-30	115.0	Lvar_XP_041453876	Lvar_XP_041453876	OG0000345
XP_063951770.1	2_3899	47.706	109	8.62e-29	108.0	Lvar_XP_041457550	Lvar_XP_041457550	OG0001197
XP_063951770.1	2_4460	46.364	110	1.0300000000000001e-27	107.0	Lvar_XP_041457587	Lvar_XP_041457587	OG0001197
XP_063951770.1	2_9783	45.133	113	4.86e-27	105.0	Lvar_XP_041474188	Lvar_XP_041474188	OG0000345
XP_063951770.1	2_9782	45.133	113	4.910000000000001e-27	105.0	Lvar_XP_041474187	Lvar_XP_041474187	OG0000345
XP_063951770.1	2_16667	43.363	113	1.1e-26	104.0	Lvar_XP_041453914	Lvar_XP_041453914	OG0005768
XP_063951770.1	2_16673	43.363	113	1.44e-26	104.0	Lvar_XP_041453916	Lvar_XP_041453916	OG0005768
XP_063951770.1	2_16670	43.363	113	1.92e-26	104.0	Lvar_XP_041453915	Lvar_XP_041453915	OG0005768
XP_063951770.1	2_9010	44.144	111	7.020000000000001e-26	102.0	Lvar_XP_041474102	Lvar_XP_041474102	OG0002395
XP_063951770.1	2_27547	45.946	111	5.88e-25	99.8	Lvar_XP_041455177	Lvar_XP_041455177	OG0001197
XP_063951770.1	2_28736	42.478	113	1.32e-21	90.5	Lvar_XP_041454795	Lvar_XP_041454795	OG0008620
XP_063951770.1	2_28736	42.857	70	1.53e-11	61.6	Lvar_XP_041454795	Lvar_XP_041454795	OG0008620
XP_063951770.1	2_15751	42.478	113	1.32e-21	90.5	Lvar_XP_041455051	Lvar_XP_041455051	OG0008620
XP_063951770.1	2_15751	42.857	70	1.53e-11	61.6	Lvar_XP_041455051	Lvar_XP_041455051	OG0008620
XP_063951770.1	2_20708	41.593	113	2.09e-16	75.5	Lvar_XP_041474293	Lvar_XP_041474293	OG0002395
XP_071484756.1	2_26353	66.776	304	2.12e-155	437.0	Lvar_XP_041458771	Lvar_XP_041458771	OG0001911
XP_071484756.1	2_25080	39.921	253	1.19e-58	189.0	Lvar_XP_041460013	Lvar_XP_041460013	OG0001911
XP_071484756.1	2_21623	39.423	104	3.43e-20	92.0	Lvar_XP_041472587	Lvar_XP_041472587	OG0004177
XP_071484756.1	2_21623	42.0	100	4.22e-20	91.7	Lvar_XP_041472587	Lvar_XP_041472587	OG0004177
XP_071484756.1	2_21623	40.566	106	2.7e-19	89.4	Lvar_XP_041472587	Lvar_XP_041472587	OG0004177
XP_071484756.1	2_21623	40.206	97	8.58e-18	84.7	Lvar_XP_041472587	Lvar_XP_041472587	OG0004177
XP_071484756.1	2_21623	39.796	98	1.31e-16	81.3	Lvar_XP_041472587	Lvar_XP_041472587	OG0004177
XP_071484756.1	2_21623	37.5	96	2.2e-15	77.8	Lvar_XP_041472587	Lvar_XP_041472587	OG0004177
XP_071484756.1	2_21602	39.423	104	3.93e-20	91.7	Lvar_XP_041472580	Lvar_XP_041472580	OG0004177
XP_071484756.1	2_21602	42.0	100	4.96e-20	91.7	Lvar_XP_041472580	Lvar_XP_041472580	OG0004177
XP_071484756.1	2_21602	40.566	106	3.23e-19	89.0	Lvar_XP_041472580	Lvar_XP_041472580	OG0004177
XP_071484756.1	2_21602	40.0	100	6.1e-18	85.1	Lvar_XP_041472580	Lvar_XP_041472580	OG0004177
XP_071484756.1	2_21602	42.553	94	6.8e-17	82.0	Lvar_XP_041472580	Lvar_XP_041472580	OG0004177
XP_071484756.1	2_21602	40.625	96	1.01e-16	81.6	Lvar_XP_041472580	Lvar_XP_041472580	OG0004177
XP_071484756.1	2_21602	37.113	97	1.02e-15	78.6	Lvar_XP_041472580	Lvar_XP_041472580	OG0004177
XP_071484756.1	2_14983	43.75	96	6.79e-17	82.0	Lvar_XP_041460871	Lvar_XP_041460871	OG0002635
