s1chr	s2chr	s1tot	s2tot	n	fishp	padj	scol	s1g	s1gp	s1gi	s2g	s2gp	s2gi	clg
Hchr1	scaffold_1	247	751	7	0.999706085544429	1	NS	HOLleu_00898	17627362	67	MGLB17272	54193708	1654	.
Hchr1	scaffold_1	247	751	7	0.999706085544429	1	NS	HOLleu_01392	27042695	87	MGLB16525	52348028	1632	.
Hchr1	scaffold_1	247	751	7	0.999706085544429	1	NS	HOLleu_01650	31869925	101	MGLB16652	53994506	1653	.
Hchr1	scaffold_1	247	751	7	0.999706085544429	1	NS	HOLleu_02067	40208282	121	MGLB16730	22715425	1242	.
Hchr1	scaffold_1	247	751	7	0.999706085544429	1	NS	HOLleu_03983	83587369	231	MGLB16065	42125018	1507	.
Hchr1	scaffold_1	247	751	7	0.999706085544429	1	NS	HOLleu_04347	93605457	264	MGLB16924	1421983	984	.
Hchr1	scaffold_1	247	751	7	0.999706085544429	1	NS	HOLleu_04509	97595927	273	MGLB16789	28956835	1319	.
Hchr1	scaffold_10	247	318	3	0.991814746565108	1	NS	HOLleu_00877	17056990	66	MGLB15449	978058	5646	.
Hchr1	scaffold_10	247	318	3	0.991814746565108	1	NS	HOLleu_02293	45285935	139	MGLB15151	19978890	5756	.
Hchr1	scaffold_10	247	318	3	0.991814746565108	1	NS	HOLleu_04279	92046175	258	MGLB15400	20393743	5757	.
Hchr1	scaffold_11	247	307	7	0.715402690294794	1	NS	HOLleu_00569	11681713	57	MGLB18449	26081678	6177	.
Hchr1	scaffold_11	247	307	7	0.715402690294794	1	NS	HOLleu_01459	28587861	97	MGLB18801	16537893	6093	.
Hchr1	scaffold_11	247	307	7	0.715402690294794	1	NS	HOLleu_01460	28605882	98	MGLB18123	6403746	6002	.
Hchr1	scaffold_11	247	307	7	0.715402690294794	1	NS	HOLleu_02173	42388971	130	MGLB18248	29841790	6194	.
Hchr1	scaffold_11	247	307	7	0.715402690294794	1	NS	HOLleu_02493	51285095	147	MGLB18500	38938350	6257	.
Hchr1	scaffold_11	247	307	7	0.715402690294794	1	NS	HOLleu_02805	59471606	182	MGLB18250	24822962	6168	.
Hchr1	scaffold_11	247	307	7	0.715402690294794	1	NS	HOLleu_03001	63639014	191	MGLB18379	38955986	6258	.
Hchr1	scaffold_12	247	379	7	0.879349232937695	1	NS	HOLleu_00022	416014	2	MGLB13587	27851851	6548	.
