s1chr	s2chr	s1tot	s2tot	n	fishp	padj	scol	s1g	s1gp	s1gi	s2g	s2gp	s2gi	clg
chr1	chr1	777	418	412	0	0	S	Lytvar_LOC121415447	48270571	365	LOC129263451	43979504	3154	J1
chr1	chr1	777	418	412	0	0	S	Lytvar_LOC121415490	48559591	366	LOC129253948	43948638	3153	-
chr1	chr1	777	418	412	0	0	S	Lytvar_LOC121430844	48885344	367	LOC129263430	43773912	3152	-
chr1	chr1	777	418	412	0	0	S	Lytvar_LOC121415508	49067497	368	LOC129263421	43750412	3151	J1
chr1	chr1	777	418	412	0	0	S	Lytvar_LOC121415577	49349831	369	LOC129263383	43452107	3150	-
chr1	chr1	777	418	412	0	0	S	Lytvar_LOC121415627	49622913	370	LOC129263363	43325893	3149	-
chr1	chr1	777	418	412	0	0	S	Lytvar_LOC121430926	49913840	371	LOC129267619	42973211	3148	-
chr1	chr1	777	418	412	0	0	S	Lytvar_LOC121415854	50635495	372	LOC129263249	42513675	3147	J1
chr1	chr1	777	418	412	0	0	S	Lytvar_LOC121415989	50953378	373	LOC129263200	42214691	3146	-
chr1	chr1	777	418	412	0	0	S	Lytvar_LOC121416005	51068486	374	LOC129263180	42097636	3145	J1
chr1	chr1	777	418	412	0	0	S	Lytvar_LOC121430972	51375817	375	LOC129267381	41802638	3144	J1
chr1	chr1	777	418	412	0	0	S	Lytvar_LOC121416069	51490161	376	LOC129263150	41656894	3143	-
chr1	chr1	777	418	412	0	0	S	Lytvar_LOC121416084	51526272	377	LOC129263161	41637591	3142	J1
chr1	chr1	777	418	412	0	0	S	Lytvar_LOC121416139	51620778	378	LOC129263117	41569126	3141	-
chr1	chr1	777	418	412	0	0	S	Lytvar_LOC121416165	51756856	379	LOC129253760	41439958	3140	-
chr1	chr1	777	418	412	0	0	S	Lytvar_LOC121416174	51774118	380	LOC129263106	41419771	3139	J1
chr1	chr1	777	418	412	0	0	S	Lytvar_LOC121416183	51814109	381	LOC129263094	41375945	3138	-
chr1	chr1	777	418	412	0	0	S	Lytvar_LOC121416199	51895834	382	LOC129267320	41303187	3137	-
chr1	chr1	777	418	412	0	0	S	Lytvar_LOC121416210	51971631	383	LOC129263085	41225752	3136	J1
chr1	chr1	777	418	412	0	0	S	Lytvar_LOC121416215	52004925	384	LOC129253729	41180603	3135	-
chr1	chr1	777	418	412	0	0	S	Lytvar_LOC121416236	52032325	385	LOC129253714	41170093	3134	J1
chr1	chr1	777	418	412	0	0	S	Lytvar_LOC121416274	52107013	386	LOC129253704	41079850	3133	-
chr1	chr1	777	418	412	0	0	S	Lytvar_LOC121416299	52244491	387	LOC129263017	40878020	3132	J1
chr1	chr1	777	418	412	0	0	S	Lytvar_LOC121416386	52749905	388	LOC129267184	40411895	3131	-
