qseqid	sseqid	pident	length	evalue	bitscore	extra0	extra1	extra2	extra3	extra4	extra5	gene_id_raw	gene_id_norm	orthogroup
qseqid	sseqid	pident	length	evalue	bitscore	extra0	extra1	extra2	gene_id_raw	gene_id_norm	orthogroup	Unmapped	Unmapped	Unmapped
qseqid	sseqid	pident	length	evalue	bitscore	gene_id_raw	gene_id_norm	orthogroup	Unmapped	Unmapped	Unmapped	Unmapped	Unmapped	Unmapped
XP_011668533.2	3_10669	85.232	474	0.0	824.0	MGLB10670	MGLB10670	OG0002685	MGLB10670	MGLB10670	OG0002685	MGLB10670	MGLB10670	OG0002685
XP_011668533.2	3_8827	25.231	432	1.67e-44	163.0	MGLB08828	MGLB08828	OG0003892	MGLB08828	MGLB08828	OG0003892	MGLB08828	MGLB08828	OG0003892
XP_011668533.2	3_8461	26.972	393	4.56e-44	161.0	MGLB08462	MGLB08462	OG0003892	MGLB08462	MGLB08462	OG0003892	MGLB08462	MGLB08462	OG0003892
XP_011668533.2	3_10810	29.56	318	8.11e-43	155.0	MGLB10811	MGLB10811	OG0012627	MGLB10811	MGLB10811	OG0012627	MGLB10811	MGLB10811	OG0012627
XP_011668533.2	3_16983	29.967	307	1.8799999999999997e-42	157.0	MGLB16984	MGLB16984	OG0013423	MGLB16984	MGLB16984	OG0013423	MGLB16984	MGLB16984	OG0013423
XP_011668533.2	3_16087	26.131	398	5.36e-41	153.0	MGLB16088	MGLB16088	OG0011255	MGLB16088	MGLB16088	OG0011255	MGLB16088	MGLB16088	OG0011255
XP_011668533.2	3_10462	30.945	307	6.74e-41	154.0	MGLB10463	MGLB10463	OG0011980	MGLB10463	MGLB10463	OG0011980	MGLB10463	MGLB10463	OG0011980
XP_011668533.2	3_10251	24.679	312	2.29e-26	109.0	MGLB10252	MGLB10252	OG0002685	MGLB10252	MGLB10252	OG0002685	MGLB10252	MGLB10252	OG0002685
XP_011668533.2	3_6105	25.836	329	1.06e-24	105.0	MGLB06106	MGLB06106	OG0008271	MGLB06106	MGLB06106	OG0008271	MGLB06106	MGLB06106	OG0008271
XP_011668533.2	3_3080	25.0	320	1.64e-24	104.0	MGLB03081	MGLB03081	OG0002936	MGLB03081	MGLB03081	OG0002936	MGLB03081	MGLB03081	OG0002936
XP_011668533.2	3_5882	28.922	204	8.419999999999999e-24	104.0	MGLB05883	MGLB05883	OG0003590	MGLB05883	MGLB05883	OG0003590	MGLB05883	MGLB05883	OG0003590
XP_011668533.2	3_3092	22.706	436	3.9e-21	95.9	MGLB03093	MGLB03093	OG0003706	MGLB03093	MGLB03093	OG0003706	MGLB03093	MGLB03093	OG0003706
XP_011668533.2	3_7726	24.59	305	5.800000000000001e-21	95.9	MGLB07727	MGLB07727	OG0011405	MGLB07727	MGLB07727	OG0011405	MGLB07727	MGLB07727	OG0011405
XP_011668533.2	3_12095	26.23	366	3.04e-20	92.0	MGLB12096	MGLB12096	OG0000557	MGLB12096	MGLB12096	OG0000557	MGLB12096	MGLB12096	OG0000557
XP_011668533.2	3_12434	22.0	350	7.32e-20	91.7	MGLB12435	MGLB12435	OG0012136	MGLB12435	MGLB12435	OG0012136	MGLB12435	MGLB12435	OG0012136
XP_011668533.2	3_1602	24.038	312	1.23e-19	90.9	MGLB01603	MGLB01603	OG0007698	MGLB01603	MGLB01603	OG0007698	MGLB01603	MGLB01603	OG0007698
XP_011668533.2	3_10539	23.548	310	3.54e-19	89.0	MGLB10540	MGLB10540	OG0001546	MGLB10540	MGLB10540	OG0001546	MGLB10540	MGLB10540	OG0001546
