qseqid	sseqid	pident	length	evalue	bitscore	extra0	extra1	extra2	extra3	extra4	extra5	gene_id_raw	gene_id_norm	orthogroup
qseqid	sseqid	pident	length	evalue	bitscore	extra0	extra1	extra2	gene_id_raw	gene_id_norm	orthogroup	Unmapped	Unmapped	Unmapped
qseqid	sseqid	pident	length	evalue	bitscore	gene_id_raw	gene_id_norm	orthogroup	Unmapped	Unmapped	Unmapped	Unmapped	Unmapped	Unmapped
XP_011668533.2	2_29553	89.419	482	0.0	872.0	Lvar_XP_041452463	Lvar_XP_041452463	OG0002685	Lvar_XP_041452463	Lvar_XP_041452463	OG0002685	Lvar_XP_041452463	Lvar_XP_041452463	OG0002685
XP_011668533.2	2_32462	34.589	292	1.05e-44	164.0	Lvar_XP_041469116	Lvar_XP_041469116	OG0013423	Lvar_XP_041469116	Lvar_XP_041469116	OG0013423	Lvar_XP_041469116	Lvar_XP_041469116	OG0013423
XP_011668533.2	2_17263	26.577	444	8.59e-42	156.0	Lvar_XP_041453946	Lvar_XP_041453946	OG0003892	Lvar_XP_041453946	Lvar_XP_041453946	OG0003892	Lvar_XP_041453946	Lvar_XP_041453946	OG0003892
XP_011668533.2	2_3423	25.352	426	3.29e-39	149.0	Lvar_XP_041457234	Lvar_XP_041457234	OG0003892	Lvar_XP_041457234	Lvar_XP_041457234	OG0003892	Lvar_XP_041457234	Lvar_XP_041457234	OG0003892
XP_011668533.2	2_827	27.4	427	3.21e-38	147.0	Lvar_XP_041467761	Lvar_XP_041467761	OG0011255	Lvar_XP_041467761	Lvar_XP_041467761	OG0011255	Lvar_XP_041467761	Lvar_XP_041467761	OG0011255
XP_011668533.2	2_3202	29.375	320	5.81e-38	147.0	Lvar_XP_041486013	Lvar_XP_041486013	OG0011980	Lvar_XP_041486013	Lvar_XP_041486013	OG0011980	Lvar_XP_041486013	Lvar_XP_041486013	OG0011980
XP_011668533.2	2_27598	28.659	328	1.05e-37	142.0	Lvar_XP_041485588	Lvar_XP_041485588	OG0012627	Lvar_XP_041485588	Lvar_XP_041485588	OG0012627	Lvar_XP_041485588	Lvar_XP_041485588	OG0012627
XP_011668533.2	2_5481	26.433	314	9.75e-26	109.0	Lvar_XP_041483039	Lvar_XP_041483039	OG0002936	Lvar_XP_041483039	Lvar_XP_041483039	OG0002936	Lvar_XP_041483039	Lvar_XP_041483039	OG0002936
XP_011668533.2	2_17319	26.115	314	2.76e-25	108.0	Lvar_XP_041453365	Lvar_XP_041453365	OG0002936	Lvar_XP_041453365	Lvar_XP_041453365	OG0002936	Lvar_XP_041453365	Lvar_XP_041453365	OG0002936
XP_011668533.2	2_4643	23.991	446	1.8499999999999998e-23	103.0	Lvar_XP_041457598	Lvar_XP_041457598	OG0003706	Lvar_XP_041457598	Lvar_XP_041457598	OG0003706	Lvar_XP_041457598	Lvar_XP_041457598	OG0003706
XP_011668533.2	2_4626	23.991	446	1.8499999999999998e-23	103.0	Lvar_XP_041457593	Lvar_XP_041457593	OG0003706	Lvar_XP_041457593	Lvar_XP_041457593	OG0003706	Lvar_XP_041457593	Lvar_XP_041457593	OG0003706
XP_011668533.2	2_16019	26.48	321	2.32e-23	103.0	Lvar_XP_041456099	Lvar_XP_041456099	OG0011405	Lvar_XP_041456099	Lvar_XP_041456099	OG0011405	Lvar_XP_041456099	Lvar_XP_041456099	OG0011405
XP_011668533.2	2_23508	24.179	335	4.8699999999999997e-23	101.0	Lvar_XP_041464913	Lvar_XP_041464913	OG0008271	Lvar_XP_041464913	Lvar_XP_041464913	OG0008271	Lvar_XP_041464913	Lvar_XP_041464913	OG0008271
