s1g	s1gp	s1chr	s1gi	s2g	s2gp	s2chr	s2gi	clg
PL09352	79926809	Scaffold_174	567	MGLB12524	21715960	scaffold_3	109	A1
PL08909	6417462	Scaffold_174	18	MGLB16642	12825645	scaffold_1	597	A1
PL09318	6482993	Scaffold_174	19	MGLB16325	12864950	scaffold_1	598	A1
PL08553	6703753	Scaffold_174	20	MGLB16179	28330491	scaffold_1	692	A1
PL11298	6780006	Scaffold_174	21	MGLB16867	28366395	scaffold_1	693	A1
PL08128	6883604	Scaffold_174	22	MGLB17017	28469671	scaffold_1	694	A1
PL10553	6892041	Scaffold_174	23	MGLB16819	28476182	scaffold_1	695	A1
PL10590	6905980	Scaffold_174	24	MGLB16550	28506015	scaffold_1	696	-
PL10955	6978846	Scaffold_174	25	MGLB17223	28630554	scaffold_1	697	A1
PL08882	7014426	Scaffold_174	26	MGLB16724	28682087	scaffold_1	698	A1
PL08083	7623031	Scaffold_174	27	MGLB16884	29282015	scaffold_1	699	A1
PL10434	7658459	Scaffold_174	28	MGLB16620	29326312	scaffold_1	700	A1
PL09474	7710213	Scaffold_174	29	MGLB16087	29391800	scaffold_1	701	A1
PL10511	7730634	Scaffold_174	30	MGLB16851	29423765	scaffold_1	702	A1
PL09308	7815449	Scaffold_174	31	MGLB16828	29499689	scaffold_1	703	A1
PL08612	7926489	Scaffold_174	32	MGLB16929	29581755	scaffold_1	704	A1
PL10345	8026331	Scaffold_174	33	MGLB17324	29690695	scaffold_1	705	A1
PL11208	8465138	Scaffold_174	34	MGLB16731	30269900	scaffold_1	706	A1
PL11353	8718207	Scaffold_174	35	MGLB16653	30439128	scaffold_1	707	A1
PL09477	8914109	Scaffold_174	36	MGLB16309	30652695	scaffold_1	708	A1
PL09106	8942840	Scaffold_174	37	MGLB16845	30682239	scaffold_1	709	-
PL09643	9016559	Scaffold_174	38	MGLB16484	30767077	scaffold_1	710	A1
PL11317	9031738	Scaffold_174	39	MGLB16899	30793403	scaffold_1	711	A1
PL11079	9074753	Scaffold_174	40	MGLB16927	30885795	scaffold_1	712	A1
PL08042	9097684	Scaffold_174	41	MGLB16094	30908293	scaffold_1	713	-
PL11272	9166259	Scaffold_174	42	MGLB16794	30978938	scaffold_1	714	A1
PL09848	9313838	Scaffold_174	43	MGLB16148	31211677	scaffold_1	716	-
PL11221	9334550	Scaffold_174	44	MGLB16698	31268071	scaffold_1	717	A1
PL10966	9563513	Scaffold_174	45	MGLB16871	31507953	scaffold_1	718	-
PL08281	9663185	Scaffold_174	46	MGLB16646	31635803	scaffold_1	719	A1
PL08127	9922837	Scaffold_174	47	MGLB16142	31809652	scaffold_1	720	A1
PL11205	10019391	Scaffold_174	48	MGLB16785	31868205	scaffold_1	721	A1
PL08343	10196753	Scaffold_174	49	MGLB16609	27458930	scaffold_1	683	A1
PL09740	10252207	Scaffold_174	50	MGLB16125	27266590	scaffold_1	682	A1
PL10359	10794036	Scaffold_174	51	MGLB16716	26771889	scaffold_1	681	A1
PL09319	10824070	Scaffold_174	52	MGLB16427	26709821	scaffold_1	680	A1
PL09870	10898507	Scaffold_174	53	MGLB16954	26644294	scaffold_1	679	A1
PL10152	10918090	Scaffold_174	54	MGLB16707	26620986	scaffold_1	678	-
PL10151	11040492	Scaffold_174	55	MGLB16568	26547424	scaffold_1	677	A1
PL09726	11177311	Scaffold_174	56	MGLB17315	26395967	scaffold_1	676	A1
PL09502	11218768	Scaffold_174	57	MGLB16509	26249906	scaffold_1	675	A1
PL09748	11318982	Scaffold_174	58	MGLB16704	26214825	scaffold_1	674	A1
PL09141	11846268	Scaffold_174	59	MGLB16679	49812783	scaffold_1	874	A1
PL09588	11849009	Scaffold_174	60	MGLB16817	49925859	scaffold_1	875	A1
PL10222	12263396	Scaffold_174	61	MGLB16702	58041333	scaffold_1	924	A1
PL09397	13345932	Scaffold_174	62	MGLB16357	54565963	scaffold_1	900	A1
PL09439	13523600	Scaffold_174	63	MGLB16173	54388118	scaffold_1	899	A1
PL09182	13590063	Scaffold_174	64	MGLB16318	54352777	scaffold_1	898	A1
PL09592	13604585	Scaffold_174	65	MGLB16882	54334036	scaffold_1	897	A1
PL10900	13748548	Scaffold_174	67	MGLB16824	55329811	scaffold_1	901	-
PL10774	13806885	Scaffold_174	68	MGLB16403	57080797	scaffold_1	918	A1
PL08232	13927808	Scaffold_174	69	MGLB17316	57174282	scaffold_1	919	A1
PL08376	13970439	Scaffold_174	70	MGLB16949	57228546	scaffold_1	920	A1
PL09180	14001795	Scaffold_174	71	MGLB16489	57261955	scaffold_1	921	A1
PL11367	14099384	Scaffold_174	72	MGLB17234	54222813	scaffold_1	896	A1
PL08834	14193182	Scaffold_174	73	MGLB16662	53541987	scaffold_1	894	A1
PL11055	14227101	Scaffold_174	74	MGLB17145	53578332	scaffold_1	895	A1
PL10765	14246162	Scaffold_174	75	MGLB16089	9797424	scaffold_1	559	A1
PL10748	14410012	Scaffold_174	76	MGLB16963	53053218	scaffold_1	892	A1
PL09944	14423701	Scaffold_174	77	MGLB16500	53071324	scaffold_1	893	A1
PL08902	14892411	Scaffold_174	78	MGLB16876	41268475	scaffold_1	798	-
PL09934	15098049	Scaffold_174	79	MGLB17111	44078005	scaffold_1	826	A1
PL10295	15167568	Scaffold_174	80	MGLB17066	44010582	scaffold_1	825	A1
PL08231	15188917	Scaffold_174	81	MGLB16519	43942308	scaffold_1	824	A1
PL10465	15264250	Scaffold_174	82	MGLB17288	43841584	scaffold_1	823	-
PL09069	15329001	Scaffold_174	83	MGLB17158	43806414	scaffold_1	822	A1
PL10261	15370526	Scaffold_174	84	MGLB16640	43770907	scaffold_1	821	A1
PL09191	15396047	Scaffold_174	85	MGLB17153	43760199	scaffold_1	820	A1
PL11029	15400050	Scaffold_174	86	MGLB16587	43724201	scaffold_1	819	A1
PL09609	15533523	Scaffold_174	87	MGLB16541	41383390	scaffold_1	800	A1
PL10739	15922335	Scaffold_174	88	MGLB16695	41600208	scaffold_1	801	A1
PL09360	16121043	Scaffold_174	89	MGLB17046	41955992	scaffold_1	802	A1
PL08047	16260702	Scaffold_174	90	MGLB17179	42079671	scaffold_1	803	A1
PL08729	16278294	Scaffold_174	91	MGLB16065	42125018	scaffold_1	804	-
PL08399	16376083	Scaffold_174	92	MGLB16950	9406734	scaffold_1	555	A1
PL09201	16464855	Scaffold_174	93	MGLB16683	49701297	scaffold_1	873	A1
PL08942	16795212	Scaffold_174	94	MGLB16082	13605917	scaffold_1	609	A1
PL09132	16844754	Scaffold_174	95	MGLB16359	13534514	scaffold_1	608	-
PL10153	16887720	Scaffold_174	96	MGLB17282	13422133	scaffold_1	607	A1
PL09598	16995286	Scaffold_174	97	MGLB16365	13403016	scaffold_1	606	A1
PL09105	17020489	Scaffold_174	98	MGLB16595	13390849	scaffold_1	605	A1
PL09880	17028354	Scaffold_174	99	MGLB17052	13342228	scaffold_1	604	A1
PL09873	17068172	Scaffold_174	100	MGLB16103	13201044	scaffold_1	603	A1
PL10239	17174472	Scaffold_174	101	MGLB17259	13094477	scaffold_1	602	A1
PL08157	17234481	Scaffold_174	102	MGLB17292	13043219	scaffold_1	601	A1
PL10477	17295926	Scaffold_174	103	MGLB16621	13017139	scaffold_1	600	-
PL11184	17337534	Scaffold_174	104	MGLB17091	12926856	scaffold_1	599	A1
PL09452	17361221	Scaffold_174	105	MGLB16315	28084352	scaffold_1	691	A1
PL11120	17397011	Scaffold_174	106	MGLB16856	28069557	scaffold_1	690	-
PL08154	17412041	Scaffold_174	107	MGLB16471	28053693	scaffold_1	689	A1
PL09162	17443325	Scaffold_174	108	MGLB17133	28017577	scaffold_1	688	A1
PL08425	17659957	Scaffold_174	109	MGLB16887	27760914	scaffold_1	686	A1
PL11236	17697525	Scaffold_174	110	MGLB17265	27733895	scaffold_1	685	A1
PL11223	17701291	Scaffold_174	111	MGLB16546	27715695	scaffold_1	684	A1
PL08878	17744597	Scaffold_174	112	MGLB16627	36402143	scaffold_1	752	A1
PL09284	17783834	Scaffold_174	113	MGLB16713	36480488	scaffold_1	753	A1
PL10951	17823817	Scaffold_174	114	MGLB16738	36546256	scaffold_1	754	A1
PL09850	17915119	Scaffold_174	115	MGLB16917	36695169	scaffold_1	755	A1
PL09687	18163027	Scaffold_174	116	MGLB16225	3958283	scaffold_1	509	A1
PL10677	18173630	Scaffold_174	117	MGLB16781	3974881	scaffold_1	510	A1
PL08062	18249541	Scaffold_174	118	MGLB17130	4042506	scaffold_1	511	A1
PL09840	18333098	Scaffold_174	119	MGLB16136	4168182	scaffold_1	512	A1
PL08526	18536978	Scaffold_174	120	MGLB16576	59971357	scaffold_1	942	A1
PL08261	18676196	Scaffold_174	121	MGLB17287	60118442	scaffold_1	943	-
PL10556	18741270	Scaffold_174	122	MGLB16835	60183057	scaffold_1	944	-
PL10815	18811644	Scaffold_174	123	MGLB16412	60232147	scaffold_1	945	A1
PL10867	18918775	Scaffold_174	124	MGLB17106	60296325	scaffold_1	946	A1
PL08327	18942866	Scaffold_174	125	MGLB16302	60430660	scaffold_1	947	-
PL10001	20686849	Scaffold_174	140	MGLB16956	48831994	scaffold_1	868	A1
PL08210	20805179	Scaffold_174	141	MGLB16812	49012149	scaffold_1	869	A1
PL10277	21094293	Scaffold_174	142	MGLB16853	49222935	scaffold_1	870	A1
PL09679	21195660	Scaffold_174	143	MGLB16388	49328409	scaffold_1	871	-
PL09772	21240691	Scaffold_174	144	MGLB16596	49391704	scaffold_1	872	A1
PL09751	21688112	Scaffold_174	145	MGLB17109	15379338	scaffold_1	610	A1
PL10968	22377920	Scaffold_174	146	MGLB16711	31998532	scaffold_1	722	A1
PL10641	22635353	Scaffold_174	147	MGLB16722	32260853	scaffold_1	723	A1
PL10115	22664682	Scaffold_174	148	MGLB16235	32287439	scaffold_1	724	A1
PL08396	22698933	Scaffold_174	149	MGLB16998	32326836	scaffold_1	725	A1
PL10905	22712299	Scaffold_174	150	MGLB17244	52972539	scaffold_1	890	A1
PL10299	22727125	Scaffold_174	151	MGLB16399	52944319	scaffold_1	889	-
PL09086	22754070	Scaffold_174	152	MGLB16515	52879332	scaffold_1	888	A1
PL10701	22780606	Scaffold_174	153	MGLB16548	52832520	scaffold_1	887	A1
PL10066	22839508	Scaffold_174	154	MGLB16446	52725701	scaffold_1	886	A1
PL10064	22854603	Scaffold_174	155	MGLB17191	52672305	scaffold_1	885	A1
PL08775	22896936	Scaffold_174	156	MGLB16438	52610222	scaffold_1	884	A1
PL08036	23005939	Scaffold_174	157	MGLB16815	52504648	scaffold_1	883	A1
PL08520	23286904	Scaffold_174	158	MGLB16409	52247401	scaffold_1	882	A1
PL10628	24109866	Scaffold_174	159	MGLB16617	51167994	scaffold_1	881	A1
PL11139	24135798	Scaffold_174	160	MGLB16768	51056913	scaffold_1	880	A1
PL08890	24208580	Scaffold_174	161	MGLB16300	50909692	scaffold_1	879	A1
