qseqid	sseqid	pident	length	evalue	bitscore	extra0	extra1	extra2	extra3	extra4	extra5	gene_id_raw	gene_id_norm	orthogroup
qseqid	sseqid	pident	length	evalue	bitscore	extra0	extra1	extra2	gene_id_raw	gene_id_norm	orthogroup	Unmapped	Unmapped	Unmapped
qseqid	sseqid	pident	length	evalue	bitscore	gene_id_raw	gene_id_norm	orthogroup	Unmapped	Unmapped	Unmapped	Unmapped	Unmapped	Unmapped
NP_999670.1	3_3603	41.732	889	0.0	622.0	MGLB03604	MGLB03604	OG0000054	MGLB03604	MGLB03604	OG0000054	MGLB03604	MGLB03604	OG0000054
NP_999670.1	3_107	56.635	422	7.25e-161	476.0	MGLB00108	MGLB00108	OG0000054	MGLB00108	MGLB00108	OG0000054	MGLB00108	MGLB00108	OG0000054
NP_999670.1	3_17344	56.579	380	3.22e-149	445.0	MGLB17345	MGLB17345	OG0000054	MGLB17345	MGLB17345	OG0000054	MGLB17345	MGLB17345	OG0000054
NP_999670.1	3_19937	68.443	244	1.11e-105	326.0	MGLB19938	MGLB19938	OG0000054	MGLB19938	MGLB19938	OG0000054	MGLB19938	MGLB19938	OG0000054
NP_999670.1	3_18562	28.493	909	3.36e-101	336.0	MGLB18563	MGLB18563	OG0000059	MGLB18563	MGLB18563	OG0000059	MGLB18563	MGLB18563	OG0000059
NP_999670.1	3_10546	78.528	163	5.639999999999999e-90	282.0	MGLB10547	MGLB10547	OG0000054	MGLB10547	MGLB10547	OG0000054	MGLB10547	MGLB10547	OG0000054
NP_999670.1	3_3976	46.718	259	4.55e-78	254.0	MGLB03977	MGLB03977	OG0000054	MGLB03977	MGLB03977	OG0000054	MGLB03977	MGLB03977	OG0000054
NP_999670.1	3_14723	78.495	93	2.6499999999999997e-48	167.0	MGLB14724	MGLB14724	OG0000054	MGLB14724	MGLB14724	OG0000054	MGLB14724	MGLB14724	OG0000054
NP_999670.1	3_14591	77.419	93	3.54e-42	166.0	MGLB14592	MGLB14592	OG0000325	MGLB14592	MGLB14592	OG0000325	MGLB14592	MGLB14592	OG0000325
NP_999670.1	3_812	25.3	834	4.47e-38	153.0	MGLB00813	MGLB00813	OG0006612	MGLB00813	MGLB00813	OG0006612	MGLB00813	MGLB00813	OG0006612
NP_999670.1	3_14562	28.869	336	2.3100000000000003e-21	99.4	MGLB14563	MGLB14563	OG0000800	MGLB14563	MGLB14563	OG0000800	MGLB14563	MGLB14563	OG0000800
NP_999670.1	3_19392	29.003	331	4.13e-21	99.4	MGLB19393	MGLB19393	OG0000800	MGLB19393	MGLB19393	OG0000800	MGLB19393	MGLB19393	OG0000800
NP_999670.1	3_19392	25.723	346	1.49e-12	71.6	MGLB19393	MGLB19393	OG0000800	MGLB19393	MGLB19393	OG0000800	MGLB19393	MGLB19393	OG0000800
NP_999670.1	3_17606	24.203	533	2.41e-20	97.1	MGLB17607	MGLB17607	OG0012491	MGLB17607	MGLB17607	OG0012491	MGLB17607	MGLB17607	OG0012491
NP_999670.1	3_17606	24.915	586	2.59e-20	96.7	MGLB17607	MGLB17607	OG0012491	MGLB17607	MGLB17607	OG0012491	MGLB17607	MGLB17607	OG0012491
NP_999670.1	3_18550	25.501	349	9.17e-20	94.7	MGLB18551	MGLB18551	OG0012575	MGLB18551	MGLB18551	OG0012575	MGLB18551	MGLB18551	OG0012575
NP_999670.1	3_1912	26.796	362	7.98e-19	91.7	MGLB01913	MGLB01913	OG0006866	MGLB01913	MGLB01913	OG0006866	MGLB01913	MGLB01913	OG0006866
