s1g	s1gp	s1chr	s1gi	s2g	s2gp	s2chr	s2gi	clg
MGLB12524	21715960	scaffold_3	306	PL09352	79926809	Scaffold_174	1354	A1
MGLB11827	68785651	scaffold_3	1029	PL10135	13431276	Scaffold_174	183	NA
MGLB12502	75341578	scaffold_3	1136	PL08793	36907971	Scaffold_174	610	NA
MGLB11361	81577731	scaffold_3	1241	PL09130	15930248	Scaffold_174	235	NA
MGLB12376	61030	scaffold_3	0	PL07602	58286555	Scaffold_2100	2390	E
MGLB11542	221124	scaffold_3	1	PL06374	58143200	Scaffold_2100	2388	E
MGLB11914	312063	scaffold_3	2	PL05017	58125640	Scaffold_2100	2387	E
MGLB11740	366237	scaffold_3	3	PL06354	58117646	Scaffold_2100	2386	E
MGLB11694	589777	scaffold_3	4	PL07343	57925271	Scaffold_2100	2382	NA
MGLB12101	650749	scaffold_3	5	PL07494	57917226	Scaffold_2100	2381	E
MGLB11703	714761	scaffold_3	6	PL06328	57822291	Scaffold_2100	2379	E
MGLB12057	767598	scaffold_3	7	PL05136	57808906	Scaffold_2100	2378	NA
MGLB11996	905513	scaffold_3	8	PL06648	57695634	Scaffold_2100	2375	E
MGLB12091	1157731	scaffold_3	10	PL07750	57555085	Scaffold_2100	2374	NA
MGLB11698	1253246	scaffold_3	11	PL07235	57530027	Scaffold_2100	2373	NA
MGLB12068	1283872	scaffold_3	12	PL05810	57521520	Scaffold_2100	2372	NA
MGLB12070	1401152	scaffold_3	13	PL06513	57456798	Scaffold_2100	2371	E
MGLB11318	1442670	scaffold_3	14	PL05457	57374570	Scaffold_2100	2370	NA
MGLB11902	1512735	scaffold_3	15	PL06899	57343288	Scaffold_2100	2369	B2+C2
MGLB11904	1566033	scaffold_3	16	PL05877	57249343	Scaffold_2100	2368	NA
MGLB11791	1627073	scaffold_3	17	PL05627	57190359	Scaffold_2100	2367	B2+C2
MGLB11490	1667588	scaffold_3	18	PL05885	57169992	Scaffold_2100	2366	B2+C2
MGLB11857	1733079	scaffold_3	19	PL07462	57105782	Scaffold_2100	2365	NA
MGLB11626	1826050	scaffold_3	20	PL06172	57072128	Scaffold_2100	2364	B2+C2
MGLB12045	1830695	scaffold_3	21	PL05376	57057696	Scaffold_2100	2363	B2+C2
MGLB11919	1867720	scaffold_3	22	PL04792	57001707	Scaffold_2100	2362	B2+C2
MGLB11859	1918786	scaffold_3	23	PL07418	56987722	Scaffold_2100	2361	B2+C2
MGLB11290	1927976	scaffold_3	24	PL04794	56955126	Scaffold_2100	2360	B2+C2
MGLB12361	1956826	scaffold_3	25	PL05077	56937042	Scaffold_2100	2359	NA
MGLB12358	1984802	scaffold_3	26	PL06347	56901937	Scaffold_2100	2358	B2+C2
MGLB11333	2057376	scaffold_3	27	PL07493	56808726	Scaffold_2100	2357	B2+C2
MGLB11084	2169574	scaffold_3	28	PL05300	56784118	Scaffold_2100	2356	B2+C2
MGLB12334	2210212	scaffold_3	29	PL05453	56778906	Scaffold_2100	2355	NA
MGLB11082	2582625	scaffold_3	31	PL06712	57772914	Scaffold_2100	2376	NA
MGLB11087	2609060	scaffold_3	32	PL05997	57795306	Scaffold_2100	2377	NA
MGLB12608	2733677	scaffold_3	34	PL05399	57842430	Scaffold_2100	2380	NA
MGLB11045	2855903	scaffold_3	35	PL05901	57962960	Scaffold_2100	2383	NA
MGLB12393	2998844	scaffold_3	36	PL07589	58077068	Scaffold_2100	2384	E
MGLB10978	3040229	scaffold_3	37	PL07248	58083045	Scaffold_2100	2385	E
MGLB12292	3255393	scaffold_3	39	PL05000	58195194	Scaffold_2100	2389	NA
MGLB11727	3409494	scaffold_3	40	PL06921	58336902	Scaffold_2100	2391	E
MGLB11603	3457544	scaffold_3	41	PL05741	58359249	Scaffold_2100	2392	NA
MGLB12156	3459456	scaffold_3	42	PL05007	58366564	Scaffold_2100	2393	E
MGLB12251	3526835	scaffold_3	43	PL04784	58489463	Scaffold_2100	2394	E
