s1g	s1gp	s1chr	s1gi	s2g	s2gp	s2chr	s2gi	clg
LPI09533	1307430	scaffold_1	0	LOC580553	18953247	spur5_scaffold_6	475	.
LPI08772	1430384	scaffold_1	1	LOC105439527	15979385	spur5_scaffold_6	404	.
LPI09877	1463585	scaffold_1	2	LOC584909	16585660	spur5_scaffold_6	411	.
LPI08749	1527927	scaffold_1	3	LOC115919257	16144505	spur5_scaffold_6	405	.
LPI09300	1577059	scaffold_1	4	LOC100890323	16679515	spur5_scaffold_6	412	.
LPI09756	1610215	scaffold_1	5	LOC115918319	16696858	spur5_scaffold_6	413	.
LPI08811	1658968	scaffold_1	6	LOC100890465	16207295	spur5_scaffold_6	406	.
LPI08917	1726846	scaffold_1	7	LOC100890531	16720993	spur5_scaffold_6	414	.
LPI10147	1760919	scaffold_1	8	LOC754465	16237964	spur5_scaffold_6	407	.
LPI10353	1870098	scaffold_1	9	LOC115918320	16798275	spur5_scaffold_6	416	.
LPI09242	1876415	scaffold_1	10	LOC115919448	16330099	spur5_scaffold_6	408	.
LPI08500	1896933	scaffold_1	11	LOC105436969	16903529	spur5_scaffold_6	417	.
LPI08726	1906861	scaffold_1	12	LOC578794	16907700	spur5_scaffold_6	418	B2+C2
LPI10303	1922561	scaffold_1	13	LOC578731	16917405	spur5_scaffold_6	419	B2+C2
LPI09197	1944997	scaffold_1	14	LOC100891166	16932291	spur5_scaffold_6	420	.
LPI09330	2111804	scaffold_1	15	LOC582157	16955898	spur5_scaffold_6	421	.
LPI10366	2321586	scaffold_1	16	LOC582113	16972460	spur5_scaffold_6	422	.
LPI09049	2402836	scaffold_1	17	LOC582076	16981182	spur5_scaffold_6	423	B2+C2
LPI08701	2435882	scaffold_1	18	LOC582027	16990064	spur5_scaffold_6	424	.
LPI09734	2761689	scaffold_1	21	LOC579914	14528322	spur5_scaffold_6	372	E
LPI08802	2876390	scaffold_1	22	LOC578067	14498498	spur5_scaffold_6	371	E
LPI09204	2916110	scaffold_1	23	LOC752507	14467715	spur5_scaffold_6	370	.
LPI09105	3290769	scaffold_1	24	LOC752034	14396655	spur5_scaffold_6	369	E
LPI09808	3421157	scaffold_1	25	LOC100888029	14390451	spur5_scaffold_6	368	E
LPI08870	3431182	scaffold_1	26	LOC752081	14298688	spur5_scaffold_6	367	.
LPI10124	3553099	scaffold_1	27	LOC752104	14285747	spur5_scaffold_6	366	.
LPI09611	3576252	scaffold_1	28	LOC100888902	14265732	spur5_scaffold_6	365	.
LPI08909	3594506	scaffold_1	29	LOC105444653	14254448	spur5_scaffold_6	364	.
LPI10268	3611328	scaffold_1	30	LOC100888972	14241454	spur5_scaffold_6	363	.
LPI10206	3643248	scaffold_1	31	LOC105444654	14226541	spur5_scaffold_6	362	.
