KAJ8019408	XP_030852855
KAJ8019504	XP_030830058
KAJ8019536	XP_030830431
KAJ8019568	XP_001179562
KAJ8019664	XP_782147
KAJ8019984	XP_030830268
KAJ8020048	XP_030829787
KAJ8020080	XP_030834648
KAJ8020208	XP_796327
KAJ8020304	XP_011667273
KAJ8020336	XP_030830415
KAJ8020368	XP_030830291
KAJ8020400	XP_030830776
KAJ8020432	XP_030843386
KAJ8020496	XP_030829833
KAJ8020560	XP_030829730
KAJ8020784	XP_030830577
KAJ8020816	XP_011684126
KAJ8020976	XP_791728
KAJ8021040	XP_030851874
KAJ8021072	XP_011675645
KAJ8021136	XP_030830130
KAJ8021360	XP_030843491
KAJ8021392	XP_001198253
KAJ8021520	XP_003730531
KAJ8021680	XP_011670379
KAJ8021712	XP_030842520
KAJ8022352	XP_030835113
KAJ8022512	XP_030835252
KAJ8022736	XP_030835482
KAJ8022768	XP_783988
KAJ8022800	XP_030835717
KAJ8022896	XP_030835804
KAJ8022928	XP_003725927
KAJ8023088	XP_030835122
KAJ8023280	XP_787918
KAJ8023632	XP_030854335
KAJ8023760	XP_030844773
KAJ8023824	XP_030845407
KAJ8023920	XP_030845024
KAJ8024016	XP_011674982
KAJ8024048	XP_030845341
KAJ8024368	XP_030846583
KAJ8024400	XP_030846810
KAJ8024624	XP_001197036
KAJ8024656	XP_001200447
KAJ8024688	XP_030846052
KAJ8024720	XP_030846368
KAJ8024784	XP_030846409
KAJ8024816	XP_030846769
KAJ8024912	XP_030845732
KAJ8025008	XP_030846808
KAJ8025328	XP_030845887
KAJ8025392	XP_791566
KAJ8025424	XP_030841696
KAJ8025488	XP_030841630
KAJ8025520	XP_030841443
KAJ8025552	XP_003725424
KAJ8025584	XP_789598
KAJ8025648	XP_030841791
KAJ8025776	XP_003726632
KAJ8025808	XP_030842073
KAJ8025840	XP_030841659
KAJ8025936	XP_003728906
KAJ8025968	XP_030850983
KAJ8026096	XP_030841248
KAJ8026128	XP_011662750
KAJ8026224	XP_030848445
KAJ8026320	XP_030850087
KAJ8026352	XP_030841690
KAJ8026480	XP_030831425
KAJ8026640	XP_030830957
KAJ8026672	XP_011680403
KAJ8026768	XP_793277
KAJ8026800	XP_030849976
KAJ8026832	XP_030849954
KAJ8026928	XP_030850373
KAJ8027120	XP_030828578
KAJ8027280	XP_030850583
KAJ8027312	XP_800453
KAJ8027504	XP_011680506
KAJ8027856	XP_030836197
KAJ8027984	XP_796514
KAJ8028016	XP_786686
KAJ8028080	XP_030836756
KAJ8028176	XP_030837004
KAJ8028208	XP_030836483
KAJ8028240	XP_030836993
KAJ8028272	XP_030836439
KAJ8028336	XP_030836575
KAJ8028464	XP_030836884
KAJ8028496	XP_030836168
KAJ8028592	XP_030845373
KAJ8028624	XP_011668197
KAJ8028656	XP_030836877
KAJ8028688	XP_030836150
KAJ8028784	XP_030836158
KAJ8028816	NP_999815
KAJ8028880	XP_782211
KAJ8028976	XP_030832744
KAJ8029008	XP_011679981
KAJ8029072	XP_030828311
KAJ8029392	XP_787279
KAJ8029584	XP_030832977
KAJ8029808	XP_030832696
KAJ8029872	XP_011662778
KAJ8029968	XP_011662558
KAJ8030032	XP_030832702
KAJ8030160	XP_030837854
KAJ8030192	XP_030837591
KAJ8030256	XP_030837682
KAJ8030448	XP_030837480
KAJ8030512	XP_030838339
KAJ8030768	XP_030837532
KAJ8030800	XP_003724797
KAJ8030832	XP_003729054
KAJ8030928	XP_030837759
KAJ8031056	XP_030837513
KAJ8031088	XP_011664405
KAJ8031184	XP_030837521
KAJ8031472	XP_003728687
KAJ8031696	XP_030843749
KAJ8031952	XP_030844195
KAJ8032080	XP_030844272
KAJ8032208	XP_030843812
KAJ8032240	XP_030843604
KAJ8032304	NP_999796
KAJ8032496	XP_030849870
KAJ8032528	XP_030844537
KAJ8032624	XP_030844429
KAJ8032784	XP_030838879
KAJ8032816	XP_011669333
KAJ8032880	XP_030838602
KAJ8032944	XP_030838729
