s1g	s1gp	s1chr	s1gi	s2g	s2gp	s2chr	s2gi	clg
LOC575020	28769512	spur5_scaffold_6	254	PL09352	79926809	Scaffold_174	567	A1
LOC100889410	26273	spur5_scaffold_6	0	PL05646	66203	Scaffold_2100	568	B2+C2
LOC590595	247422	spur5_scaffold_6	1	PL07614	311558	Scaffold_2100	569	B2+C2
LOC580371	316028	spur5_scaffold_6	2	PL06824	370067	Scaffold_2100	570	-
LOC580253	464296	spur5_scaffold_6	3	PL06863	482140	Scaffold_2100	571	E
LOC580128	526038	spur5_scaffold_6	4	PL07203	581361	Scaffold_2100	572	E
LOC577037	545218	spur5_scaffold_6	5	PL06599	602772	Scaffold_2100	573	E
LOC100888387	669592	spur5_scaffold_6	6	PL06494	1199488	Scaffold_2100	574	-
LOC100893273	726117	spur5_scaffold_6	7	PL07828	1231344	Scaffold_2100	575	E
LOC575557	947018	spur5_scaffold_6	8	PL05259	66449055	Scaffold_2100	1033	B2+C2
LOC577677	1659082	spur5_scaffold_6	9	PL05543	67382408	Scaffold_2100	1034	-
LOC588015	1741651	spur5_scaffold_6	10	PL06349	67432013	Scaffold_2100	1035	B2+C2
LOC577803	1751129	spur5_scaffold_6	11	PL05421	67441152	Scaffold_2100	1036	-
LOC578013	1811569	spur5_scaffold_6	12	PL04773	10460251	Scaffold_2100	653	-
LOC578087	1833528	spur5_scaffold_6	13	PL04841	10473356	Scaffold_2100	654	B2+C2
LOC578138	1842175	spur5_scaffold_6	14	PL05351	10495989	Scaffold_2100	655	B2+C2
LOC100889554	1856262	spur5_scaffold_6	15	PL07000	10514815	Scaffold_2100	656	B2+C2
LOC578344	1978338	spur5_scaffold_6	16	PL05801	10687285	Scaffold_2100	657	-
LOC100887880	1998156	spur5_scaffold_6	17	PL05488	10715385	Scaffold_2100	658	B2+C2
LOC578412	2016245	spur5_scaffold_6	18	PL05387	10757411	Scaffold_2100	659	B2+C2
LOC578471	2059923	spur5_scaffold_6	19	PL06761	46865509	Scaffold_2100	879	B2+C2
LOC578539	2106587	spur5_scaffold_6	20	PL07287	46789177	Scaffold_2100	878	B2+C2
LOC548615	2343302	spur5_scaffold_6	21	PL04774	46452677	Scaffold_2100	877	-
LOC764317	2428621	spur5_scaffold_6	22	PL07435	7941523	Scaffold_2100	646	B2+C2
LOC592479	2437328	spur5_scaffold_6	23	PL05800	7929676	Scaffold_2100	645	B2+C2
LOC592456	2445962	spur5_scaffold_6	24	PL05148	7910315	Scaffold_2100	644	B2+C2
Nfe2	2709578	spur5_scaffold_6	25	PL07453	7732690	Scaffold_2100	643	B2+C2
LOC574640	2724375	spur5_scaffold_6	26	PL06894	7679832	Scaffold_2100	642	-
LOC575032	2805733	spur5_scaffold_6	27	PL05310	7583983	Scaffold_2100	641	E
LOC577649	2884260	spur5_scaffold_6	28	PL06426	7464374	Scaffold_2100	640	E
LOC575561	2901951	spur5_scaffold_6	29	PL07113	7419789	Scaffold_2100	639	E
LOC586471	3082010	spur5_scaffold_6	30	PL06449	39734381	Scaffold_2100	850	E
LOC592592	3199892	spur5_scaffold_6	31	PL04817	39557522	Scaffold_2100	849	E
LOC586173	3264287	spur5_scaffold_6	32	PL07783	62436434	Scaffold_2100	1004	-
LOC586198	3292907	spur5_scaffold_6	33	PL04942	62404404	Scaffold_2100	1003	B2+C2
hh	3341494	spur5_scaffold_6	34	PL07056	62325941	Scaffold_2100	1002	B2+C2
LOC754820	3373321	spur5_scaffold_6	35	PL05849	62300163	Scaffold_2100	1001	B2+C2
LOC763365	3405711	spur5_scaffold_6	36	PL06819	62231536	Scaffold_2100	1000	B2+C2
LOC575822	3635403	spur5_scaffold_6	38	PL05751	32468385	Scaffold_2100	774	B2+C2
LOC100894138	3645247	spur5_scaffold_6	39	PL05089	32461026	Scaffold_2100	773	B2+C2
LOC591417	3794434	spur5_scaffold_6	40	PL07683	32124953	Scaffold_2100	772	B2+C2
LOC580635	3914742	spur5_scaffold_6	41	PL05394	32049753	Scaffold_2100	771	B2+C2
LOC594039	3927160	spur5_scaffold_6	42	PL07416	32038723	Scaffold_2100	770	B2+C2
LOC594046	3937967	spur5_scaffold_6	43	PL07219	31994379	Scaffold_2100	769	B2+C2
LOC589630	3999660	spur5_scaffold_6	44	PL06366	31939911	Scaffold_2100	768	B2+C2
LOC580131	4022766	spur5_scaffold_6	45	PL06209	31925914	Scaffold_2100	767	-
LOC580071	4032940	spur5_scaffold_6	46	PL07618	31878616	Scaffold_2100	766	-
LOC100894133	4400599	spur5_scaffold_6	47	PL07152	31316902	Scaffold_2100	765	B2+C2
LOC763067	4462767	spur5_scaffold_6	48	PL05209	31278448	Scaffold_2100	764	B2+C2
LOC578330	4481613	spur5_scaffold_6	49	PL05515	31167757	Scaffold_2100	763	B2+C2
LOC100893969	4680700	spur5_scaffold_6	50	PL06450	30934516	Scaffold_2100	762	B2+C2
LOC578693	4796638	spur5_scaffold_6	51	PL07367	30813341	Scaffold_2100	761	P
LOC578762	4816176	spur5_scaffold_6	52	PL06692	30788849	Scaffold_2100	760	B2+C2
LOC577137	4902069	spur5_scaffold_6	53	PL04819	30736475	Scaffold_2100	759	B2+C2
LOC575162	4947362	spur5_scaffold_6	54	PL06213	30657354	Scaffold_2100	758	B2+C2
LOC575376	5003634	spur5_scaffold_6	55	PL06183	30538955	Scaffold_2100	757	B2+C2
LOC589684	5228769	spur5_scaffold_6	56	PL07006	30160571	Scaffold_2100	756	B2+C2
LOC580011	5456479	spur5_scaffold_6	57	PL06108	29936940	Scaffold_2100	755	B2+C2
LOC580072	5472733	spur5_scaffold_6	58	PL06184	29884784	Scaffold_2100	754	B2+C2
LOC575126	5545984	spur5_scaffold_6	59	PL06823	59402788	Scaffold_2100	966	B2+C2
LOC580554	5613227	spur5_scaffold_6	60	PL05023	59210171	Scaffold_2100	965	B2+C2
LOC580618	5645891	spur5_scaffold_6	61	PL07211	5787345	Scaffold_2100	621	B2+C2
LOC579659	5742143	spur5_scaffold_6	62	PL04894	5911870	Scaffold_2100	622	B2+C2
LOC105440285	5833306	spur5_scaffold_6	63	PL06975	5973954	Scaffold_2100	623	B2+C2
eif4e3	5891995	spur5_scaffold_6	64	PL07668	6025286	Scaffold_2100	624	E
LOC592391	5909508	spur5_scaffold_6	65	PL07457	6049995	Scaffold_2100	625	-
LOC589012	5942459	spur5_scaffold_6	66	PL05112	6101767	Scaffold_2100	626	-
LOC585998	5971954	spur5_scaffold_6	67	PL06699	6140771	Scaffold_2100	627	E
LOC762920	6038738	spur5_scaffold_6	68	PL05894	6944992	Scaffold_2100	634	B2+C2
LOC584529	6058510	spur5_scaffold_6	69	PL06778	6902582	Scaffold_2100	633	B2+C2
LOC594485	6151906	spur5_scaffold_6	70	PL04998	6823297	Scaffold_2100	632	B2+C2
LOC594488	6172040	spur5_scaffold_6	71	PL07313	22229868	Scaffold_2100	710	B2+C2
LOC583286	6190015	spur5_scaffold_6	72	PL06128	22255885	Scaffold_2100	711	-
LOC585950	6258003	spur5_scaffold_6	73	PL06772	22331035	Scaffold_2100	712	B2+C2
LOC754129	7111025	spur5_scaffold_6	74	PL07549	24169890	Scaffold_2100	720	B2+C2
LOC579774	7161239	spur5_scaffold_6	75	PL06491	52934353	Scaffold_2100	914	B2+C2
LOC753114	7167523	spur5_scaffold_6	76	PL06121	52938677	Scaffold_2100	915	-
LOC373234	7361343	spur5_scaffold_6	77	PL05973	53101976	Scaffold_2100	916	B2+C2
LOC753202	7476594	spur5_scaffold_6	78	PL06895	53329622	Scaffold_2100	917	-
gnaq	7501410	spur5_scaffold_6	79	PL06389	53363226	Scaffold_2100	918	B2+C2
LOC583818	7608740	spur5_scaffold_6	80	PL06198	53480771	Scaffold_2100	919	B2+C2
LOC754309	7622248	spur5_scaffold_6	81	PL04890	53492713	Scaffold_2100	920	B2+C2
LOC575560	8314494	spur5_scaffold_6	82	PL06019	53991533	Scaffold_2100	921	-
LOC578214	8506894	spur5_scaffold_6	83	PL04816	54201365	Scaffold_2100	922	B2+C2
LOC105439087	8538442	spur5_scaffold_6	84	PL06633	54278826	Scaffold_2100	923	B2+C2
LOC578083	8546828	spur5_scaffold_6	85	PL06665	54297774	Scaffold_2100	924	B2+C2
LOC594652	8750812	spur5_scaffold_6	86	PL06998	54609429	Scaffold_2100	925	B2+C2
LOC373388	8793994	spur5_scaffold_6	87	PL07677	54650039	Scaffold_2100	926	B2+C2
LOC580066	8823575	spur5_scaffold_6	88	PL05143	54692124	Scaffold_2100	927	B3
LOC579944	8848420	spur5_scaffold_6	89	PL05309	54721813	Scaffold_2100	928	B2+C2
LOC579831	8908637	spur5_scaffold_6	90	PL06562	54768152	Scaffold_2100	929	B2+C2
LOC576910	8953493	spur5_scaffold_6	91	PL06376	54836109	Scaffold_2100	930	B2+C2
LOC574908	9243653	spur5_scaffold_6	92	PL04854	55236743	Scaffold_2100	931	B2+C2
LOC588679	9305414	spur5_scaffold_6	93	PL06553	55332095	Scaffold_2100	932	J1
LOC580016	9481045	spur5_scaffold_6	94	PL05069	55476724	Scaffold_2100	933	B2+C2
LOC592628	9504162	spur5_scaffold_6	95	PL06448	55523866	Scaffold_2100	934	B2+C2
LOC592590	9531918	spur5_scaffold_6	96	PL07023	55554339	Scaffold_2100	935	B2+C2
LOC756540	9551940	spur5_scaffold_6	97	PL07699	55597756	Scaffold_2100	936	-
LOC580380	9564174	spur5_scaffold_6	98	PL06832	55639636	Scaffold_2100	937	B2+C2
LOC580562	9580327	spur5_scaffold_6	99	PL05205	55701776	Scaffold_2100	938	B2+C2
LOC586095	9793769	spur5_scaffold_6	100	PL05704	56031623	Scaffold_2100	939	B2+C2
LOC587818	9830690	spur5_scaffold_6	101	PL06090	56068297	Scaffold_2100	940	B2+C2
LOC588858	9840849	spur5_scaffold_6	102	PL07374	56083360	Scaffold_2100	941	B2+C2
LOC574572	9852221	spur5_scaffold_6	103	PL05160	56095101	Scaffold_2100	942	B2+C2
LOC586939	9898124	spur5_scaffold_6	104	PL06512	56132180	Scaffold_2100	943	B2+C2
LOC756624	9910985	spur5_scaffold_6	105	PL07256	56158267	Scaffold_2100	944	B2+C2
LOC582724	10063539	spur5_scaffold_6	106	PL07037	56320973	Scaffold_2100	945	B2+C2
LOC100889919	10101153	spur5_scaffold_6	107	PL06313	56383407	Scaffold_2100	946	-
LOC576433	10130070	spur5_scaffold_6	108	PL07280	56411459	Scaffold_2100	947	B2+C2
LOC581813	10407262	spur5_scaffold_6	109	PL07718	56749466	Scaffold_2100	948	B2+C2
LOC100890498	10420602	spur5_scaffold_6	110	PL05016	56767693	Scaffold_2100	949	B2+C2
LOC576167	10443276	spur5_scaffold_6	111	PL05300	56784118	Scaffold_2100	950	B2+C2
LOC577108	10464527	spur5_scaffold_6	112	PL07493	56808726	Scaffold_2100	951	B2+C2
LOC577170	10552973	spur5_scaffold_6	113	PL06347	56901937	Scaffold_2100	952	B2+C2
LOC105446492	10589108	spur5_scaffold_6	114	PL05077	56937042	Scaffold_2100	953	-
LOC577357	10603158	spur5_scaffold_6	115	PL04794	56955126	Scaffold_2100	954	B2+C2
LOC764571	10641258	spur5_scaffold_6	116	PL07418	56987722	Scaffold_2100	955	B2+C2
LOC575808	10684559	spur5_scaffold_6	117	PL05376	57057696	Scaffold_2100	956	B2+C2
LOC577613	10697275	spur5_scaffold_6	118	PL06172	57072128	Scaffold_2100	957	B2+C2
LOC577732	10773923	spur5_scaffold_6	119	PL05885	57169992	Scaffold_2100	958	B2+C2
LOC100891631	10837307	spur5_scaffold_6	120	PL05877	57249343	Scaffold_2100	959	-
LOC579674	10906698	spur5_scaffold_6	121	PL05457	57374570	Scaffold_2100	960	-
LOC594510	10967518	spur5_scaffold_6	122	PL06513	57456798	Scaffold_2100	961	E
LOC575693	11414085	spur5_scaffold_6	123	PL06328	57822291	Scaffold_2100	962	E
LOC115918165	12211426	spur5_scaffold_6	124	PL05103	58787249	Scaffold_2100	964	E
LOC115918265	12691448	spur5_scaffold_6	125	PL07523	58659658	Scaffold_2100	963	E
LOC578258	13417513	spur5_scaffold_6	126	PL07149	5602007	Scaffold_2100	620	E
LOC579085	13454933	spur5_scaffold_6	127	PL07645	5568802	Scaffold_2100	619	E
LOC579511	13508607	spur5_scaffold_6	128	PL04970	5503083	Scaffold_2100	618	-
LOC100890827	13520365	spur5_scaffold_6	129	PL07054	5481243	Scaffold_2100	617	-
LOC589815	13550768	spur5_scaffold_6	130	PL06794	5460006	Scaffold_2100	616	E
LOC577255	13572352	spur5_scaffold_6	131	PL05720	5450499	Scaffold_2100	615	E
LOC577313	13581620	spur5_scaffold_6	132	PL06235	5442311	Scaffold_2100	614	E
LOC577383	13591738	spur5_scaffold_6	133	PL05843	5395143	Scaffold_2100	613	E
LOC577753	13663014	spur5_scaffold_6	134	PL06052	5313630	Scaffold_2100	612	-
LOC577822	13675317	spur5_scaffold_6	135	PL05362	5304271	Scaffold_2100	611	E
LOC578031	13730335	spur5_scaffold_6	136	PL07324	5220831	Scaffold_2100	610	E
LOC755431	13756577	spur5_scaffold_6	137	PL07419	5163503	Scaffold_2100	609	-
LOC594794	13809158	spur5_scaffold_6	138	PL07009	5134891	Scaffold_2100	608	E
LOC754367	13972394	spur5_scaffold_6	139	PL06917	4931728	Scaffold_2100	607	E
LOC100889046	14036296	spur5_scaffold_6	140	PL07070	4828405	Scaffold_2100	606	-
LOC577103	14114784	spur5_scaffold_6	141	PL07391	4751067	Scaffold_2100	605	E
LOC577165	14128606	spur5_scaffold_6	142	PL05059	4711401	Scaffold_2100	604	E
LOC585748	14162750	spur5_scaffold_6	143	PL05837	4687930	Scaffold_2100	603	E
LOC100888771	14183727	spur5_scaffold_6	144	PL07753	4629989	Scaffold_2100	602	E
LOC752081	14298688	spur5_scaffold_6	145	PL05623	4449532	Scaffold_2100	601	-
LOC100888029	14390451	spur5_scaffold_6	146	PL07525	4346954	Scaffold_2100	600	E
LOC752034	14396655	spur5_scaffold_6	147	PL06556	4316566	Scaffold_2100	599	E
LOC763537	14635158	spur5_scaffold_6	148	PL06677	4154018	Scaffold_2100	598	E
LOC580091	14651960	spur5_scaffold_6	149	PL04837	4145765	Scaffold_2100	597	E
LOC589723	14682388	spur5_scaffold_6	150	PL07345	4086528	Scaffold_2100	596	E
LOC580655	14872031	spur5_scaffold_6	151	PL06763	3815040	Scaffold_2100	595	B2+C2
LOC580713	14922319	spur5_scaffold_6	152	PL07751	3767790	Scaffold_2100	594	B2+C2
LOC588533	14954035	spur5_scaffold_6	153	PL06560	3745610	Scaffold_2100	593	B2+C2
LOC588618	14987730	spur5_scaffold_6	154	PL06961	3734690	Scaffold_2100	592	B2+C2
LOC588193	15054496	spur5_scaffold_6	155	PL05282	3618385	Scaffold_2100	591	B2+C2
LOC581936	15196756	spur5_scaffold_6	156	PL05161	3431708	Scaffold_2100	590	B2+C2
LOC756234	15225865	spur5_scaffold_6	157	PL07826	3392399	Scaffold_2100	589	B2+C2
LOC581921	15264726	spur5_scaffold_6	158	PL07300	3375909	Scaffold_2100	588	B2+C2
LOC105437431	15304519	spur5_scaffold_6	159	PL07773	3295456	Scaffold_2100	587	E
LOC753187	15352118	spur5_scaffold_6	160	PL06716	3251416	Scaffold_2100	586	E
LOC576891	15735586	spur5_scaffold_6	161	PL05932	2848777	Scaffold_2100	585	B2+C2
LOC576833	15763695	spur5_scaffold_6	162	PL07076	2823807	Scaffold_2100	584	B2+C2
LOC582523	15790920	spur5_scaffold_6	163	PL06703	2745064	Scaffold_2100	583	B2+C2
LOC582488	15816690	spur5_scaffold_6	164	PL06363	2715132	Scaffold_2100	582	B2+C2
LOC578731	16917405	spur5_scaffold_6	165	PL06059	2187328	Scaffold_2100	581	B2+C2
LOC582157	16955898	spur5_scaffold_6	166	PL06781	2147955	Scaffold_2100	580	-
LOC582076	16981182	spur5_scaffold_6	167	PL06077	2130570	Scaffold_2100	579	B2+C2
LOC582027	16990064	spur5_scaffold_6	168	PL06717	2115265	Scaffold_2100	578	-
LOC581581	17160625	spur5_scaffold_6	169	PL05124	1928836	Scaffold_2100	577	B2+C2
LOC764487	17205815	spur5_scaffold_6	170	PL06420	1862470	Scaffold_2100	576	-
