s1chr s2chr s1tot s2tot n fishp padj scol s1g s1gp s1gi s2g s2gp s2gi clg
Scaffold_1721 spur5_scaffold_1 440 331 3 0.999903536015611 1 NS PL02120 15071972 4278 XP_030834776 50682913 1387 NA
Scaffold_1721 spur5_scaffold_1 440 331 3 0.999903536015611 1 NS PL02709 33563724 4487 XP_030834259 5485267 1089 NA
Scaffold_1721 spur5_scaffold_1 440 331 3 0.999903536015611 1 NS PL04025 45457464 4632 XP_030833824 28199043 1246 NA
Scaffold_1721 spur5_scaffold_10 440 362 3 0.999968687185279 1 NS PL02139 5559330 4177 XP_030835260 9267855 10148 NA
Scaffold_1721 spur5_scaffold_10 440 362 3 0.999968687185279 1 NS PL02115 8532459 4208 XP_030835917 12827996 10177 NA
Scaffold_1721 spur5_scaffold_10 440 362 3 0.999968687185279 1 NS PL03592 21316465 4341 XP_030835468 15089521 10202 NA
Scaffold_1721 spur5_scaffold_12 440 431 3 0.999997516809665 1 NS PL03771 13112934 4261 XP_030838429 7925787 7974 NA
Scaffold_1721 spur5_scaffold_12 440 431 3 0.999997516809665 1 NS PL02955 29615419 4436 XP_011682324 23047196 8149 NA
Scaffold_1721 spur5_scaffold_12 440 431 3 0.999997516809665 1 NS PL03633 35650385 4515 XP_030837990 22605492 8140 NA
Scaffold_1721 spur5_scaffold_13 440 390 2 0.999998759595442 1 NS PL02274 25765810 4393 XP_003730483 14449013 5376 NA
Scaffold_1721 spur5_scaffold_13 440 390 2 0.999998759595442 1 NS PL03053 41257161 4587 XP_030839275 33799490 5579 NA
Scaffold_1721 spur5_scaffold_14 440 521 2 0.999999992666696 1 NS PL03723 11168659 4238 XP_030840552 29942200 5129 NA
Scaffold_1721 spur5_scaffold_14 440 521 2 0.999999992666696 1 NS PL03832 23149388 4368 XP_030840336 22065608 5021 NA
Scaffold_1721 spur5_scaffold_15 440 507 3 0.999999852508051 1 NS PL02321 22585750 4355 XP_030842141 33969469 6083 NA
Scaffold_1721 spur5_scaffold_15 440 507 3 0.999999852508051 1 NS PL03241 27516341 4415 XP_030841303 6189128 5722 NA
Scaffold_1721 spur5_scaffold_15 440 507 3 0.999999852508051 1 NS PL03999 30558775 4453 XP_030841611 18782784 5891 NA
Scaffold_1721 spur5_scaffold_16 440 395 2 0.999998979897476 1 NS PL02615 4516992 4167 XP_001200652 9758570 7303 NA
Scaffold_1721 spur5_scaffold_16 440 395 2 0.999998979897476 1 NS PL03912 26625443 4406 XP_030842952 24016962 7467 NA
Scaffold_1721 spur5_scaffold_18 440 277 2 0.9998992090151 1 NS PL02503 9464729 4218 XP_030844860 18084303 7705 NA
Scaffold_1721 spur5_scaffold_18 440 277 2 0.9998992090151 1 NS PL03158 18078528 4313 XP_011683119 18855274 7717 NA
Scaffold_1721 spur5_scaffold_19 440 380 3 0.999983777438031 1 NS PL03310 8213654 4205 XP_792722 6255629 8976 NA
Scaffold_1721 spur5_scaffold_19 440 380 3 0.999983777438031 1 NS PL02375 10567873 4234 XP_030846484 23018499 9182 NA
Scaffold_1721 spur5_scaffold_19 440 380 3 0.999983777438031 1 NS PL03156 23963647 4371 XP_001191962 24013773 9188 NA
Scaffold_1721 spur5_scaffold_2 440 609 1 0.999999999991571 1 NS PL03010 35694489 4517 XP_011677886 18445950 3307 NA
Scaffold_1721 spur5_scaffold_20 440 279 6 0.975422121378669 1 NS PL03948 1834174 4143 XP_030849043 3461486 1406 NA
Scaffold_1721 spur5_scaffold_20 440 279 6 0.975422121378669 1 NS PL03525 6928751 4193 XP_030849058 31718566 1570 NA
Scaffold_1721 spur5_scaffold_20 440 279 6 0.975422121378669 1 NS PL02074 14529119 4272 XP_030849513 11347310 1449 NA
Scaffold_1721 spur5_scaffold_20 440 279 6 0.975422121378669 1 NS PL02899 16907797 4297 XP_011664458 3892170 1410 NA
Scaffold_1721 spur5_scaffold_20 440 279 6 0.975422121378669 1 NS PL02085 17985380 4311 XP_030848993 648164 1395 NA
Scaffold_1721 spur5_scaffold_20 440 279 6 0.975422121378669 1 NS PL02355 22805780 4358 XP_001180074 8282166 1432 NA
Scaffold_1721 spur5_scaffold_21 440 463 4 0.999994616554222 1 NS PL02691 6875200 4191 XP_030850738 43888589 2174 L
Scaffold_1721 spur5_scaffold_21 440 463 4 0.999994616554222 1 NS PL03768 6901327 4192 XP_030850739 43903170 2175 NA
Scaffold_1721 spur5_scaffold_21 440 463 4 0.999994616554222 1 NS PL04003 20799799 4335 XP_030850972 1093582 1706 NA
Scaffold_1721 spur5_scaffold_21 440 463 4 0.999994616554222 1 NS PL03307 21200160 4340 XP_030850221 35416582 2093 NA
Scaffold_1721 spur5_scaffold_3 440 420 389 0 0 S PL02231 138327 4133 XP_030851765 33732019 4000 NA
Scaffold_1721 spur5_scaffold_3 440 420 389 0 0 S PL03054 284844 4135 XP_030852227 33617280 3999 NA
Scaffold_1721 spur5_scaffold_3 440 420 389 0 0 S PL03165 1267520 4136 XP_030852694 29369262 3934 L
Scaffold_1721 spur5_scaffold_3 440 420 389 0 0 S PL02125 1335379 4137 XP_001197780 29343588 3933 NA
Scaffold_1721 spur5_scaffold_3 440 420 389 0 0 S PL02163 1402867 4138 XP_001197734 29277619 3932 NA
Scaffold_1721 spur5_scaffold_3 440 420 389 0 0 S PL03582 1430019 4139 XP_003724320 29265702 3931 NA
Scaffold_1721 spur5_scaffold_3 440 420 389 0 0 S PL02426 1954169 4144 XP_030851560 38803756 4049 L
Scaffold_1721 spur5_scaffold_3 440 420 389 0 0 S PL03628 2403490 4145 XP_030852300 39329668 4052 L
Scaffold_1721 spur5_scaffold_3 440 420 389 0 0 S PL02467 2492846 4146 XP_030851914 39210560 4051 L
Scaffold_1721 spur5_scaffold_3 440 420 389 0 0 S PL02213 2568713 4147 XP_030852329 39187774 4050 NA
Scaffold_1721 spur5_scaffold_3 440 420 389 0 0 S PL02278 2619887 4148 XP_011680796 39412345 4053 L
Scaffold_1721 spur5_scaffold_3 440 420 389 0 0 S PL03045 2961645 4149 XP_030851807 33825522 4003 L
Scaffold_1721 spur5_scaffold_3 440 420 389 0 0 S PL02892 3043862 4150 XP_003731417 33817405 4002 NA
Scaffold_1721 spur5_scaffold_3 440 420 389 0 0 S PL03430 3077348 4151 XP_030852348 33809584 4001 NA
Scaffold_1721 spur5_scaffold_3 440 420 389 0 0 S PL03701 3207946 4152 XP_030851735 29496387 3935 NA
Scaffold_1721 spur5_scaffold_3 440 420 389 0 0 S PL02317 3332136 4153 XP_030851802 29561389 3936 L
