qseqid	sseqid	pident	length	evalue	bitscore	extra0	extra1	extra2	extra3	extra4	extra5	gene_id_raw	gene_id_norm	orthogroup
qseqid	sseqid	pident	length	evalue	bitscore	extra0	extra1	extra2	gene_id_raw	gene_id_norm	orthogroup	Unmapped	Unmapped	Unmapped
qseqid	sseqid	pident	length	evalue	bitscore	gene_id_raw	gene_id_norm	orthogroup	Unmapped	Unmapped	Unmapped	Unmapped	Unmapped	Unmapped
NP_999774.1	1_1574	92.737	179	1.66e-104	305.0	XP_054751413	XP_054751413	OG0000947	XP_054751413	XP_054751413	OG0000947	XP_054751413	XP_054751413	OG0000947
NP_999774.1	1_10133	90.683	161	5.06e-51	167.0	XP_063952056	XP_063952056	OG0000947	XP_063952056	XP_063952056	OG0000947	XP_063952056	XP_063952056	OG0000947
NP_999774.1	1_2044	64.557	79	3.29e-29	114.0	XP_054752315	XP_054752315	OG0000947	XP_054752315	XP_054752315	OG0000947	XP_054752315	XP_054752315	OG0000947
NP_999774.1	1_1038	69.231	65	1.79e-26	107.0	XP_054750510	XP_054750510	OG0013231	XP_054750510	XP_054750510	OG0013231	XP_054750510	XP_054750510	OG0013231
NP_999774.1	1_6446	58.462	65	2.07e-20	89.4	XP_054766188	XP_054766188	OG0012546	XP_054766188	XP_054766188	OG0012546	XP_054766188	XP_054766188	OG0012546
NP_999774.1	1_1041	49.425	87	1.54e-18	84.7	XP_054750514	XP_054750514	OG0003736	XP_054750514	XP_054750514	OG0003736	XP_054750514	XP_054750514	OG0003736
NP_999774.1	1_927	47.368	76	6.67e-16	77.4	XP_054750264	XP_054750264	OG0010862	XP_054750264	XP_054750264	OG0010862	XP_054750264	XP_054750264	OG0010862
NP_999774.1	1_28741	47.619	84	1.77e-15	77.0	XP_063970664	XP_063970664	OG0008235	XP_063970664	XP_063970664	OG0008235	XP_063970664	XP_063970664	OG0008235
NP_999774.1	1_2696	55.556	54	1.48e-14	73.6	XP_054754125	XP_054754125	OG0004309	XP_054754125	XP_054754125	OG0004309	XP_054754125	XP_054754125	OG0004309
NP_999774.1	1_1040	57.407	54	3.65e-14	72.4	XP_054750512	XP_054750512	OG0012348	XP_054750512	XP_054750512	OG0012348	XP_054750512	XP_054750512	OG0012348
NP_999774.1	1_13692	50.0	84	9.52e-14	72.0	XP_063955615	XP_063955615	OG0010431	XP_063955615	XP_063955615	OG0010431	XP_063955615	XP_063955615	OG0010431
NP_999774.1	1_4425	42.647	68	1.93e-12	67.8	XP_054758809	XP_054758809	OG0005305	XP_054758809	XP_054758809	OG0005305	XP_054758809	XP_054758809	OG0005305
NP_999774.1	1_4424	42.647	68	2.08e-12	68.2	XP_054758808	XP_054758808	OG0005305	XP_054758808	XP_054758808	OG0005305	XP_054758808	XP_054758808	OG0005305
NP_999774.1	1_10156	44.318	88	2.31e-12	65.5	XP_063952079	XP_063952079	OG0006757	XP_063952079	XP_063952079	OG0006757	XP_063952079	XP_063952079	OG0006757
NP_999774.1	1_21349	46.774	62	3.02e-12	65.1	XP_063963272	XP_063963272	OG0008860	XP_063963272	XP_063963272	OG0008860	XP_063963272	XP_063963272	OG0008860
NP_999774.1	1_1573	47.368	57	1.44e-11	65.5	XP_054751411	XP_054751411	OG0007540	XP_054751411	XP_054751411	OG0007540	XP_054751411	XP_054751411	OG0007540
NP_999774.1	1_6453	48.276	58	2.95e-11	64.7	XP_054766240	XP_054766240	OG0009851	XP_054766240	XP_054766240	OG0009851	XP_054766240	XP_054766240	OG0009851
NP_999774.1	1_6613	40.476	84	6.03e-11	63.5	XP_054766576	XP_054766576	OG0011066	XP_054766576	XP_054766576	OG0011066	XP_054766576	XP_054766576	OG0011066
