s1g	s1gp	s1chr	s1gi	s2g	s2gp	s2chr	s2gi	clg
XP_063953981	4974827	chr3	68	XP_041483986	44204024	chr1	769	NA
XP_054752475	76050338	chr3	1648	XP_041453560	1742540	chr1	4	NA
XP_054752433	81051268	chr3	1722	XP_041483385	29499155	chr1	444	NA
XP_063953873	81245972	chr3	1724	XP_041464505	47546981	chr1	788	NA
XP_063953945	1986767	chr3	17	XP_041453617	41938936	chr2	2595	NA
XP_063953852	79714033	chr3	1694	XP_041453796	83199317	chr2	3660	NA
XP_063952193	1388376	chr3	1	XP_041460260	60391163	chr3	5075	NA
XP_063952194	1414976	chr3	2	XP_041460941	60461555	chr3	5076	NA
XP_063952199	1463585	chr3	3	XP_041460261	60464572	chr3	5078	NA
XP_054752393	1463585	chr3	4	XP_041460263	60464572	chr3	5077	NA
XP_063952200	1558936	chr3	5	XP_041460266	60563260	chr3	5079	NA
XP_063952201	1573422	chr3	6	XP_041460267	60627024	chr3	5080	NA
XP_054752396	1585299	chr3	7	XP_041460268	60640219	chr3	5081	NA
XP_063952203	1653194	chr3	8	XP_041460271	60670650	chr3	5082	NA
XP_063953892	1667664	chr3	9	XP_041461087	60679952	chr3	5083	NA
XP_063953893	1728136	chr3	10	XP_041461089	60687970	chr3	5084	NA
XP_054750741	1774659	chr3	11	XP_041460272	60734189	chr3	5085	NA
XP_054750323	1863969	chr3	12	XP_041460274	60789788	chr3	5086	NA
XP_063952204	1882257	chr3	13	XP_041460276	60808292	chr3	5087	NA
XP_054752400	1910556	chr3	14	XP_041460277	60836925	chr3	5088	NA
XP_054752402	1922661	chr3	15	XP_041460279	60847186	chr3	5089	B2+C2
XP_063952207	1948536	chr3	16	XP_041460280	60872502	chr3	5090	NA
XP_063953946	2106141	chr3	18	XP_041460942	60906537	chr3	5091	NA
XP_054752411	2114369	chr3	19	XP_041460282	60914804	chr3	5092	NA
XP_054752416	2325669	chr3	21	XP_041460286	61070743	chr3	5093	NA
XP_063952214	2349762	chr3	22	XP_041460288	61103544	chr3	5094	NA
XP_054752409	2387426	chr3	23	XP_041460290	61122937	chr3	5095	NA
XP_054750744	2422531	chr3	24	XP_041460292	61138073	chr3	5096	B2+C2
XP_063953959	2636907	chr3	25	XP_041460946	61428205	chr3	5097	NA
XP_054750328	2767841	chr3	26	XP_041460294	61587931	chr3	5098	E
XP_054752405	2901367	chr3	27	XP_041460297	61654079	chr3	5099	NA
XP_063952222	2946654	chr3	28	XP_041460298	61687051	chr3	5100	NA
XP_063952224	3321377	chr3	29	XP_041460301	61736960	chr3	5101	E
XP_054752391	3423260	chr3	30	XP_041460765	74545697	chr3	5403	E
XP_063952226	3518247	chr3	31	XP_041460764	74464378	chr3	5402	NA
XP_063952227	3570712	chr3	32	XP_041460761	74418786	chr3	5401	NA
XP_054750738	3591925	chr3	33	XP_041460756	74372373	chr3	5400	NA
XP_054750737	3597867	chr3	34	XP_041460460	65644000	chr3	5202	NA
XP_054750734	3643299	chr3	35	XP_041460462	65701693	chr3	5203	NA
XP_054750310	3658360	chr3	36	XP_041460463	65733474	chr3	5204	NA
XP_054752390	3693633	chr3	37	XP_041460464	65792783	chr3	5205	E
XP_054752389	3732878	chr3	38	XP_041460465	65827653	chr3	5206	E
XP_063952229	3787467	chr3	39	XP_041460467	65879998	chr3	5207	E
XP_063952228	3787467	chr3	40	XP_041460468	65879998	chr3	5208	NA
XP_063952230	3801513	chr3	41	XP_041460471	65891362	chr3	5209	E
XP_054750304	3935657	chr3	42	XP_041460472	65954057	chr3	5210	NA
XP_063953968	3955425	chr3	43	XP_041460963	66036700	chr3	5211	NA
XP_054752386	4064676	chr3	44	XP_041460474	66146792	chr3	5212	NA
XP_063952232	4089535	chr3	45	XP_041460477	66168644	chr3	5214	NA
XP_063953969	4230710	chr3	46	XP_041460478	66398610	chr3	5215	NA
XP_063953977	4412897	chr3	47	XP_041460481	66478911	chr3	5216	NA
XP_054752384	4419986	chr3	48	XP_041461103	66488104	chr3	5217	E
XP_054752381	4496697	chr3	49	XP_041460964	66550376	chr3	5218	NA
XP_063952234	4586804	chr3	50	XP_041460486	66631202	chr3	5220	E
XP_054752378	4586804	chr3	51	XP_041460484	66631202	chr3	5219	NA
XP_063952236	4615080	chr3	52	XP_041460490	66669179	chr3	5221	NA
XP_054752376	4661609	chr3	53	XP_041460491	66727757	chr3	5222	E
XP_054750728	4670363	chr3	54	XP_041460492	66739615	chr3	5223	E
XP_054752375	4686856	chr3	55	XP_041460493	66754602	chr3	5224	NA
XP_054750727	4702382	chr3	56	XP_041460494	66768289	chr3	5225	NA
XP_063952238	4710703	chr3	57	XP_041460496	66779300	chr3	5227	NA
XP_063952240	4710703	chr3	58	XP_041460498	66779300	chr3	5226	NA
XP_063952250	4746909	chr3	59	XP_041460500	66827371	chr3	5228	NA
XP_054750726	4775815	chr3	60	XP_041460502	66855972	chr3	5229	E
XP_054750725	4813180	chr3	61	XP_041461104	66875197	chr3	5230	NA
XP_063952252	4820786	chr3	62	XP_041460503	66886562	chr3	5231	E
XP_054752382	4831935	chr3	63	XP_041460504	66897266	chr3	5232	E
XP_054752363	4865198	chr3	64	XP_041460505	66923150	chr3	5233	E
XP_063952253	4896082	chr3	65	XP_041460506	66956174	chr3	5234	NA
XP_063952254	4923348	chr3	66	XP_041460507	66986074	chr3	5235	NA
XP_054752360	4947730	chr3	67	XP_041460511	67007966	chr3	5236	E
XP_054750299	4991704	chr3	69	XP_041460509	67040349	chr3	5237	NA
XP_063952259	5024683	chr3	70	XP_041460513	67069757	chr3	5238	E
XP_054750722	5066123	chr3	71	XP_041460512	67075223	chr3	5239	NA
XP_063952260	5086466	chr3	72	XP_041460516	67118609	chr3	5240	E
XP_054750298	5124056	chr3	73	XP_041460517	67146083	chr3	5241	NA
XP_054750296	5165028	chr3	74	XP_041460518	67180613	chr3	5242	NA
XP_054750291	5259079	chr3	75	XP_041460968	67262847	chr3	5243	NA
XP_063952261	5271891	chr3	76	XP_041460521	67276208	chr3	5244	NA
