s1g	s1gp	s1chr	s1gi	s2g	s2gp	s2chr	s2gi	clg
Lytvar_LOC121412752	35598036	chr1	273	LOC129266029	40310196	chr3	417	-
Lytvar_LOC121411192	4806988	chr1	0	LOC129261092	53340844	chr5	2183	F
Lytvar_LOC121411314	4863778	chr1	1	LOC129261091	53391875	chr5	2184	-
Lytvar_LOC121413418	5609421	chr1	2	LOC129261082	54071780	chr5	2189	-
Lytvar_LOC121413512	5625009	chr1	3	LOC129261080	54087008	chr5	2190	F
Lytvar_LOC121413641	5655210	chr1	4	LOC129260098	54115795	chr5	2191	-
Lytvar_LOC121413733	5684086	chr1	5	LOC129261079	54137164	chr5	2192	-
Lytvar_LOC121414043	5806298	chr1	6	LOC129261076	54378919	chr5	2194	F
Lytvar_LOC121414476	6063817	chr1	7	LOC129261264	54649220	chr5	2195	-
Lytvar_LOC121414898	6268620	chr1	8	LOC129260092	55048539	chr5	2198	-
Lytvar_LOC121415151	6409648	chr1	9	LOC129261071	54890798	chr5	2197	-
Lytvar_LOC121415227	6431961	chr1	10	LOC129260094	54879943	chr5	2196	-
Lytvar_LOC121416625	6922577	chr1	11	LOC129261267	54213054	chr5	2193	-
Lytvar_LOC121413276	7102346	chr1	12	LOC129261269	54048961	chr5	2188	-
Lytvar_LOC121417118	7136179	chr1	13	LOC129261083	53971063	chr5	2187	F
Lytvar_LOC121417658	7413858	chr1	14	LOC129261086	53744507	chr5	2186	-
Lytvar_LOC121417809	7431362	chr1	15	LOC129261087	53706005	chr5	2185	-
Lytvar_LOC121418768	7915275	chr1	16	LOC129260103	53311202	chr5	2182	F
Lytvar_LOC121418829	8045719	chr1	17	LOC129261095	53200294	chr5	2181	-
Lytvar_LOC121419343	8648778	chr1	18	LOC129261277	52678748	chr5	2180	-
Lytvar_LOC121419421	8744924	chr1	19	LOC129261278	52532917	chr5	2179	F
Lytvar_LOC121420286	8956529	chr1	20	LOC129260108	52358936	chr5	2178	F
Lytvar_LOC121419342	9060598	chr1	21	LOC129261282	52256507	chr5	2177	-
Lytvar_LOC121421422	9099923	chr1	22	LOC129260109	52216882	chr5	2176	-
Lytvar_LOC121421501	9109918	chr1	23	LOC129261102	52195463	chr5	2175	F
Lytvar_LOC121421953	9170964	chr1	24	LOC129261105	52037807	chr5	2174	F
Lytvar_LOC121422147	9197759	chr1	25	LOC129261106	52016194	chr5	2173	F
Lytvar_LOC121422240	9208028	chr1	26	LOC129261110	51986922	chr5	2171	-
Lytvar_LOC121422050	9217867	chr1	27	LOC129261107	51994857	chr5	2172	-
Lytvar_LOC121422639	9257862	chr1	28	LOC129261111	51951564	chr5	2170	-
Lytvar_LOC121405982	9295386	chr1	29	LOC129261288	51917989	chr5	2169	-
Lytvar_LOC121405992	9322325	chr1	30	LOC129260110	51915280	chr5	2168	-
Lytvar_LOC121421145	9355112	chr1	31	LOC129261289	51885673	chr5	2167	-
Lytvar_LOC121422787	9365373	chr1	32	LOC129261114	51871734	chr5	2166	-
Lytvar_LOC121423369	9520927	chr1	33	LOC129261116	51721113	chr5	2165	-
Lytvar_LOC121423560	9572203	chr1	34	LOC129261117	51676972	chr5	2164	-
Lytvar_LOC121423879	9632179	chr1	35	LOC129261120	51523019	chr5	2163	-
Lytvar_LOC121424023	9673680	chr1	36	LOC129261121	51492593	chr5	2162	-
Lytvar_LOC121424312	9744419	chr1	37	LOC129261154	49090447	chr5	2140	F
Lytvar_LOC121424861	9981552	chr1	38	LOC129260136	49300507	chr5	2141	-
Lytvar_LOC121424928	9989710	chr1	39	LOC129261152	49306265	chr5	2142	-
