qseqid	sseqid	pident	length	evalue	bitscore	extra0	extra1	extra2	extra3	extra4	extra5	gene_id_raw	gene_id_norm	orthogroup
qseqid	sseqid	pident	length	evalue	bitscore	extra0	extra1	extra2	gene_id_raw	gene_id_norm	orthogroup	Unmapped	Unmapped	Unmapped
qseqid	sseqid	pident	length	evalue	bitscore	gene_id_raw	gene_id_norm	orthogroup	Unmapped	Unmapped	Unmapped	Unmapped	Unmapped	Unmapped
XP_791983.2	1_8365	82.038	373	0.0	514.0	XP_054772957	XP_054772957	OG0008749	XP_054772957	XP_054772957	OG0008749	XP_054772957	XP_054772957	OG0008749
XP_791983.2	1_8142	94.444	108	5.73e-66	208.0	XP_054771949	XP_054771949	OG0008749	XP_054771949	XP_054771949	OG0008749	XP_054771949	XP_054771949	OG0008749
XP_791983.2	1_5332	56.566	99	1.5e-30	124.0	XP_054762552	XP_054762552	OG0011421	XP_054762552	XP_054762552	OG0011421	XP_054762552	XP_054762552	OG0011421
XP_791983.2	1_8240	59.74	77	1.96e-28	116.0	XP_054772543	XP_054772543	OG0010380	XP_054772543	XP_054772543	OG0010380	XP_054772543	XP_054772543	OG0010380
XP_791983.2	1_7803	56.0	75	1.7600000000000003e-27	113.0	XP_054770646	XP_054770646	OG0009821	XP_054770646	XP_054770646	OG0009821	XP_054770646	XP_054770646	OG0009821
XP_791983.2	1_7838	53.086	81	1.5e-26	108.0	XP_054770726	XP_054770726	OG0009825	XP_054770726	XP_054770726	OG0009825	XP_054770726	XP_054770726	OG0009825
XP_791983.2	1_5175	52.055	73	1.0899999999999999e-23	100.0	XP_054761938	XP_054761938	OG0002966	XP_054761938	XP_054761938	OG0002966	XP_054761938	XP_054761938	OG0002966
XP_791983.2	1_21710	44.706	85	1.82e-17	86.3	XP_063963633	XP_063963633	OG0012802	XP_063963633	XP_063963633	OG0012802	XP_063963633	XP_063963633	OG0012802
XP_791983.2	1_4823	37.349	83	1.35e-12	71.2	XP_054759996	XP_054759996	OG0000654	XP_054759996	XP_054759996	OG0000654	XP_054759996	XP_054759996	OG0000654
XP_791983.2	1_17966	37.349	83	1.46e-12	70.9	XP_063959889	XP_063959889	OG0000654	XP_063959889	XP_063959889	OG0000654	XP_063959889	XP_063959889	OG0000654
XP_041483755.1	1_8365	96.496	371	0.0	737.0	XP_054772957	XP_054772957	OG0008749	XP_054772957	XP_054772957	OG0008749	XP_054772957	XP_054772957	OG0008749
XP_041483755.1	1_8142	99.074	108	1.68e-70	219.0	XP_054771949	XP_054771949	OG0008749	XP_054771949	XP_054771949	OG0008749	XP_054771949	XP_054771949	OG0008749
XP_041483755.1	1_5332	64.198	81	1.39e-29	121.0	XP_054762552	XP_054762552	OG0011421	XP_054762552	XP_054762552	OG0011421	XP_054762552	XP_054762552	OG0011421
XP_041483755.1	1_8240	61.333	75	2.27e-28	116.0	XP_054772543	XP_054772543	OG0010380	XP_054772543	XP_054772543	OG0010380	XP_054772543	XP_054772543	OG0010380
XP_041483755.1	1_7803	56.0	75	2.43e-27	112.0	XP_054770646	XP_054770646	OG0009821	XP_054770646	XP_054770646	OG0009821	XP_054770646	XP_054770646	OG0009821
XP_041483755.1	1_7838	52.381	84	1.94e-26	108.0	XP_054770726	XP_054770726	OG0009825	XP_054770726	XP_054770726	OG0009825	XP_054770726	XP_054770726	OG0009825
XP_041483755.1	1_5175	52.055	73	1.2699999999999999e-23	100.0	XP_054761938	XP_054761938	OG0002966	XP_054761938	XP_054761938	OG0002966	XP_054761938	XP_054761938	OG0002966
