s1chr	s2chr	s1tot	s2tot	n	fishp	padj	scol	s1g	s1gp	s1gi	s2g	s2gp	s2gi	clg
Hchr1	scaffold_1	67	488	1	0.999015257179136	1	NS	gene-HOLleu_03984	83600473	58	LPI10377	10370192	47	.
Hchr1	scaffold_16	67	61	56	1.51350686246157e-111	2.51242139168621e-109	S	gene-HOLleu_00018	327784	0	LPI19467	19832432	4018	R
Hchr1	scaffold_16	67	61	56	1.51350686246157e-111	2.51242139168621e-109	S	gene-HOLleu_00019	363110	1	LPI19560	10532767	4000	R
Hchr1	scaffold_16	67	61	56	1.51350686246157e-111	2.51242139168621e-109	S	gene-HOLleu_00052	918010	2	LPI19443	25164162	4027	R
Hchr1	scaffold_16	67	61	56	1.51350686246157e-111	2.51242139168621e-109	S	gene-HOLleu_00088	1939128	3	LPI19399	24204401	4026	R
Hchr1	scaffold_16	67	61	56	1.51350686246157e-111	2.51242139168621e-109	S	gene-HOLleu_00112	2466433	4	LPI19970	7034373	3988	.
Hchr1	scaffold_16	67	61	56	1.51350686246157e-111	2.51242139168621e-109	S	gene-HOLleu_00143	3361075	6	LPI19846	10142861	3998	R
Hchr1	scaffold_16	67	61	56	1.51350686246157e-111	2.51242139168621e-109	S	gene-HOLleu_00145	3419438	7	LPI19646	13674341	4008	R
Hchr1	scaffold_16	67	61	56	1.51350686246157e-111	2.51242139168621e-109	S	gene-HOLleu_00148	3459203	8	LPI19558	19915325	4019	R
Hchr1	scaffold_16	67	61	56	1.51350686246157e-111	2.51242139168621e-109	S	gene-HOLleu_00276	5391514	9	LPI19772	9447832	3997	R
Hchr1	scaffold_16	67	61	56	1.51350686246157e-111	2.51242139168621e-109	S	gene-HOLleu_00278	5469723	10	LPI19599	12778001	4006	R
Hchr1	scaffold_16	67	61	56	1.51350686246157e-111	2.51242139168621e-109	S	gene-HOLleu_00283	5635514	11	LPI19976	23880181	4025	.
Hchr1	scaffold_16	67	61	56	1.51350686246157e-111	2.51242139168621e-109	S	gene-HOLleu_00284	5659342	12	LPI19811	20513708	4020	R
Hchr1	scaffold_16	67	61	56	1.51350686246157e-111	2.51242139168621e-109	S	gene-HOLleu_00287	5711542	13	LPI19316	20547442	4021	R
Hchr1	scaffold_16	67	61	56	1.51350686246157e-111	2.51242139168621e-109	S	gene-HOLleu_00316	6541405	14	LPI19658	16160775	4015	.
Hchr1	scaffold_16	67	61	56	1.51350686246157e-111	2.51242139168621e-109	S	gene-HOLleu_00318	6566979	15	LPI19988	3942841	3984	R
Hchr1	scaffold_16	67	61	56	1.51350686246157e-111	2.51242139168621e-109	S	gene-HOLleu_00319	6627615	16	LPI19550	616428	3970	R
Hchr1	scaffold_16	67	61	56	1.51350686246157e-111	2.51242139168621e-109	S	gene-HOLleu_00369	7937421	17	LPI19828	8973843	3996	.
Hchr1	scaffold_16	67	61	56	1.51350686246157e-111	2.51242139168621e-109	S	gene-HOLleu_00845	16388746	19	LPI19691	25319993	4029	R
