s1chr	s2chr	s1tot	s2tot	n	fishp	padj	scol	s1g	s1gp	s1gi	s2g	s2gp	s2gi	clg
chr1	spur5_scaffold_1	685	353	2	0.999999986769521	1	NS	XP_054759450	29321712	4782	XP_030834483	23515484	1290	NA
chr1	spur5_scaffold_1	685	353	2	0.999999986769521	1	NS	XP_063959655	43033237	5008	XP_030833875	30327245	1338	NA
chr1	spur5_scaffold_10	685	394	1	0.999999999949918	1	NS	XP_063958200	37953150	4922	XP_030835862	28745053	11096	NA
chr1	spur5_scaffold_11	685	543	3	0.99999999999514	1	NS	XP_063968485	6030885	4385	XP_030837003	29944233	10355	NA
chr1	spur5_scaffold_11	685	543	3	0.99999999999514	1	NS	XP_063971628	7025392	4399	XP_791621	28229539	10327	F
chr1	spur5_scaffold_11	685	543	3	0.99999999999514	1	NS	XP_054751398	8746820	4436	XP_790844	11692286	10085	NA
chr1	spur5_scaffold_13	685	437	1	0.999999999996048	1	NS	XP_063957979	37048308	4907	XP_011681732	769795	5552	NA
chr1	spur5_scaffold_15	685	551	2	0.999999999999824	1	NS	XP_063951158	8185847	4419	XP_003728727	36504977	6514	NA
chr1	spur5_scaffold_15	685	551	2	0.999999999999824	1	NS	XP_063957782	36484366	4893	XP_030841738	24332690	6321	NA
chr1	spur5_scaffold_16	685	438	1	0.999999999996274	1	NS	XP_054749830	6700632	4391	XP_030843278	14922898	7820	NA
chr1	spur5_scaffold_17	685	100	3	0.939283985143444	1	NS	XP_063956984	34042123	4855	XP_030844181	24023612	10655	NA
chr1	spur5_scaffold_17	685	100	3	0.939283985143444	1	NS	XP_063961731	34064438	4856	XP_001183644	11023667	10570	NA
chr1	spur5_scaffold_17	685	100	3	0.939283985143444	1	NS	XP_054760229	35524698	4877	XP_003728164	26074882	10666	NA
chr1	spur5_scaffold_18	685	310	3	0.999998452221591	1	NS	XP_063959301	1508831	4321	XP_030844680	19736119	8238	NA
chr1	spur5_scaffold_18	685	310	3	0.999998452221591	1	NS	XP_063960839	1832434	4331	XP_030844954	5408676	8084	NA
chr1	spur5_scaffold_18	685	310	3	0.999998452221591	1	NS	XP_063961910	44234742	5021	XP_791794	18528378	8220	NA
chr1	spur5_scaffold_19	685	396	1	0.999999999955507	1	NS	XP_063955885	28752377	4771	XP_791037	17351755	9699	NA
chr1	spur5_scaffold_2	685	668	1	1	1	NS	XP_063961028	9481333	4443	XP_030847086	31534917	3696	NA
chr1	spur5_scaffold_20	685	312	5	0.999950854282982	1	NS	XP_054757505	1829937	4330	XP_030849686	28486783	1662	NA
chr1	spur5_scaffold_20	685	312	5	0.999950854282982	1	NS	XP_054756999	5543854	4377	XP_003730276	21334706	1616	NA
chr1	spur5_scaffold_20	685	312	5	0.999950854282982	1	NS	XP_063955028	17324998	4601	XP_030849862	46629258	1767	NA
chr1	spur5_scaffold_20	685	312	5	0.999950854282982	1	NS	XP_054754079	26431893	4729	XP_030849358	46400262	1766	NA
chr1	spur5_scaffold_20	685	312	5	0.999950854282982	1	NS	XP_063958188	37922585	4921	XP_030848895	22091196	1626	NA
chr1	spur5_scaffold_21	685	503	3	0.999999999956473	1	NS	XP_063959982	24080202	4695	XP_030850260	40550510	2277	NA
chr1	spur5_scaffold_21	685	503	3	0.999999999956473	1	NS	XP_054748097	41080271	4973	XP_030850728	42675264	2300	NA
chr1	spur5_scaffold_21	685	503	3	0.999999999956473	1	NS	XP_063959517	42710258	5001	XP_030850638	39526334	2268	NA
chr1	spur5_scaffold_5	685	874	1	1	1	NS	XP_063954957	24954448	4705	XP_030854488	15452579	2598	NA
chr1	spur5_scaffold_6	685	1121	2	1	1	NS	XP_063955115	17530987	4605	XP_011668937	43030399	819	NA
chr1	spur5_scaffold_6	685	1121	2	1	1	NS	XP_063954417	22888781	4669	XP_030828697	53297891	971	NA
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_054749703	63333	4299	XP_030829681	6030324	4404	J1
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_054751209	99677	4300	XP_011667325	6051121	4405	J1
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_063956921	237637	4301	XP_030829843	6056197	4406	NA
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_063960921	356408	4302	XP_030829913	6159308	4407	NA
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_063957225	495322	4304	XP_030830489	6240966	4408	NA
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_054749776	584973	4305	XP_030829566	6346779	4411	NA
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_054748409	729897	4307	XP_788839	13854675	4537	NA
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_054751586	807101	4308	XP_030830743	8758915	4442	NA
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_063957939	898016	4309	XP_003724010	8822897	4443	NA
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_054749804	962289	4310	XP_030830255	8923297	4444	NA
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_063958265	1071527	4311	XP_030829859	8983888	4445	NA
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_054749825	1138445	4312	XP_783676	9095962	4446	J1
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_054754412	1158396	4313	XP_787210	9134427	4447	J1
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_063958793	1176258	4314	XP_030830246	9137415	4448	J1
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_063958612	1191162	4315	XP_011669063	9176158	4449	J1
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_063960947	1226043	4316	XP_030830582	9196021	4450	NA
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_054749855	1285737	4317	XP_784201	9225940	4451	NA
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_063959070	1361599	4318	XP_030830825	9457085	4456	NA
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_063960963	1369513	4319	XP_030829861	9442598	4455	NA
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_063959135	1452377	4320	XP_792401	9377121	4454	J1
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_054749898	1531031	4322	NP_001123287	9304354	4453	J1
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_063959709	1538744	4323	XP_030830804	9278058	4452	NA
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_054760054	1653639	4324	XP_011673670	5977709	4403	NA
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_054749957	1666230	4325	XP_011673662	5971878	4402	NA
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_054761867	1710222	4326	XP_030829820	5821545	4401	NA
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_063960348	1762911	4328	XP_030829940	5768119	4400	NA
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_063960490	1789722	4329	XP_030830097	5753883	4399	B3
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_054749999	1946300	4332	XP_030830579	5621868	4398	B3
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_054750006	2003241	4333	XP_030830689	5549428	4397	NA
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_063961218	2010846	4334	XP_030830687	5484204	4396	B3
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_063959069	2101906	4335	XP_782030	5474319	4395	B3
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_054763479	2554516	4336	XP_001194088	5192542	4394	NA
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_063961639	2588310	4337	XP_030830864	5169068	4393	NA
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_054750090	2735783	4338	XP_030830595	5027595	4392	NA
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_054750143	3074102	4339	XP_791945	4756345	4391	NA
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_063960687	3151137	4340	XP_030830574	4683540	4390	NA
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_063961497	3211786	4341	XP_030830476	4640562	4389	NA
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_054766649	3302606	4342	XP_030829806	4549328	4388	NA
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_063962918	3499825	4343	NP_001091918	4367961	4387	NA
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_054750167	3507196	4344	XP_030830529	4347304	4386	NA
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_054750180	3558376	4345	XP_030830151	4318485	4385	NA
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_054750188	3715371	4346	XP_781574	4151860	4384	NA
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_063963216	3788714	4347	XP_781458	4115817	4383	NA
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_054750197	3810466	4348	XP_030830622	4108645	4382	NA
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_054750229	4040505	4349	XP_030830445	3844302	4381	B3
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_063963707	4129876	4350	XP_030830897	3794696	4380	NA
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_063963642	4135010	4351	XP_011678346	3784657	4379	NA
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_063963951	4216661	4352	XP_030830154	3696955	4378	NA
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_063964171	4233077	4353	XP_001186137	3655795	4377	NA
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_054750307	4244537	4354	XP_011678348	3638731	4376	NA
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_054750335	4273578	4355	XP_030830050	3594212	4375	NA
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_054750341	4348927	4356	XP_030830427	3341614	4374	NA
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_054750349	4388403	4357	XP_030830135	3286502	4373	NA
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_054750371	4486770	4358	XP_030829872	10774135	4480	NA
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_063967272	4509297	4359	XP_030829543	10787450	4481	NA
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_063964881	4516180	4360	XP_030829576	10798503	4482	J1
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_063965173	4720545	4361	XP_030829598	10957023	4484	NA
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_063965379	4763641	4362	XP_003726614	10975341	4485	NA
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_054750429	4783416	4363	XP_030829989	10997096	4486	NA
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_054750550	4795776	4364	XP_011678417	11045207	4487	J1
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_063965672	4824060	4365	XP_030830868	11050850	4488	NA
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_054750456	4830577	4366	XP_003726613	11066249	4489	NA
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_054750482	4999813	4367	XP_011678002	11130326	4490	NA
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_054748801	5066739	4368	XP_790921	11189758	4491	J1
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_054750578	5087912	4369	XP_030830183	11198020	4492	NA
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_063966576	5258216	4370	XP_030829725	11373648	4493	NA
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_054750503	5312131	4371	XP_030829730	11434051	4495	J1
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_054748213	5321107	4372	XP_780795	11461624	4496	J1
chr1	spur5_scaffold_7	685	670	648	0	0	S	XP_054750521	5367968	4373	XP_789866	11499316	4497	NA
