s1g	s1gp	s1chr	s1gi	s2g	s2gp	s2chr	s2gi	clg
BL01688	8427412	BFL_1	229	LOC580777	7636335	NW_022145612.1	116	A
BL01665	8731609	BFL_1	239	LOC585585	59464549	NW_022145612.1	813	A
BL01439	11717857	BFL_1	346	LOC105436761	39585881	NW_022145612.1	536	A
BL01387	12430836	BFL_1	373	LOC115919446	16390748	NW_022145612.1	255	A
BL01108	16252486	BFL_1	527	LOC115918165	12211427	NW_022145612.1	195	A
BL01103	16329986	BFL_1	530	LOC575020	28769513	NW_022145612.1	422	A
BL00932	19199810	BFL_1	616	LOC753607	7671572	NW_022145612.1	117	A
BL00738	22931384	BFL_1	667	LOC763087	62087087	NW_022145612.1	849	A
BL25530	3435500	BFL_1	53	LOC590273	29955824	NW_022145594.1	955	A
BL25521	3576364	BFL_1	55	LOC577009	33020287	NW_022145594.1	967	A
BL01965	4478716	BFL_1	83	LOC587260	964742	NW_022145594.1	853	A
BL01962	4558764	BFL_1	85	LOC591797	20766687	NW_022145594.1	923	A
BL01961	4574701	BFL_1	86	LOC115918428	34147875	NW_022145594.1	973	A
BL01954	4648250	BFL_1	89	LOC115918096	11001987	NW_022145594.1	896	A
BL01953	4661711	BFL_1	90	LOC105443556	34703608	NW_022145594.1	978	A
BL01952	4675680	BFL_1	91	LOC586418	19198167	NW_022145594.1	921	A
BL01946	4810165	BFL_1	94	LOC752732	39157822	NW_022145594.1	983	A
BL01945	4821920	BFL_1	95	LOC583019	45525123	NW_022145594.1	1020	A
BL01944	4839306	BFL_1	96	LOC115918118	22838457	NW_022145594.1	930	A
BL01943	4849785	BFL_1	97	LOC587364	23613756	NW_022145594.1	932	A
BL01942	4852948	BFL_1	98	LOC763457	41809373	NW_022145594.1	996	A
BL01940	4867560	BFL_1	99	LOC584228	46489334	NW_022145594.1	1024	A
BL01930	5155186	BFL_1	106	LOC593496	9959308	NW_022145594.1	892	A
BL01928	5177780	BFL_1	108	LOC404637	52627224	NW_022145594.1	1040	A
BL01927	5195827	BFL_1	109	LOC587715	28779592	NW_022145594.1	950	A
BL01925	5261953	BFL_1	110	LOC100891032	33571531	NW_022145594.1	970	A
BL01924	5283809	BFL_1	111	Oct	29916171	NW_022145594.1	954	A
BL01911	5579555	BFL_1	119	LOC575187	26831344	NW_022145594.1	942	A
BL01910	5589860	BFL_1	120	LOC115921166	46422076	NW_022145594.1	1023	A
BL01909	5602693	BFL_1	121	LOC579592	10844016	NW_022145594.1	894	A
BL01737	7847053	BFL_1	208	LOC100889459	34766933	NW_022145594.1	979	A
BL01736	7855452	BFL_1	209	LOC588120	1737196	NW_022145594.1	858	A
BL01734	7868085	BFL_1	210	LOC580773	8459460	NW_022145594.1	881	A
BL01698	8212404	BFL_1	225	LOC100890311	34634285	NW_022145594.1	976	A
BL01697	8298487	BFL_1	226	LOC592278	34654696	NW_022145594.1	977	A
BL01685	8443920	BFL_1	232	BACE	48125150	NW_022145594.1	1029	A
BL01636	9175050	BFL_1	249	LOC581848	31588675	NW_022145594.1	957	A
BL01634	9203399	BFL_1	250	LOC580647	8491593	NW_022145594.1	883	A
BL01584	9770335	BFL_1	276	LOC762758	33036064	NW_022145594.1	968	A
BL01467	11407153	BFL_1	331	usf1	17491245	NW_022145594.1	911	A
BL01464	11446717	BFL_1	332	LOC100890711	20165580	NW_022145594.1	922	A
BL01457	11545157	BFL_1	335	LOC574962	9115904	NW_022145594.1	886	A
