s1g	s1gp	s1chr	s1gi	s2g	s2gp	s2chr	s2gi	clg
gene-HOLleu_03984	83600473	Hchr1	58	LPI10377	10370192	scaffold_1	47	.
gene-HOLleu_01062	21321248	Hchr1	21	LPI05817	44395335	scaffold_2	893	R
gene-HOLleu_02520	51886538	Hchr1	40	LPI04601	4790547	scaffold_2	533	R
gene-HOLleu_02685	56437130	Hchr1	43	LPI04914	66847700	scaffold_2	1099	R
gene-HOLleu_04073	86010935	Hchr1	59	LPI05422	51403108	scaffold_2	975	R
gene-HOLleu_03983	83587369	Hchr1	57	LPI19016	13780803	scaffold_4	1684	.
gene-HOLleu_00118	2596189	Hchr1	5	LPI21193	27791014	scaffold_5	2202	R
gene-HOLleu_02663	55806358	Hchr1	42	LPI21711	33718628	scaffold_5	2233	.
gene-HOLleu_00653	13408201	Hchr1	18	LPI13720	32269759	scaffold_7	2602	.
gene-HOLleu_04190	89608037	Hchr1	61	LPI17177	13921928	scaffold_9	2932	R
gene-HOLleu_00018	327784	Hchr1	0	LPI19467	19832432	scaffold_16	4018	R
gene-HOLleu_00019	363110	Hchr1	1	LPI19560	10532767	scaffold_16	4000	R
gene-HOLleu_00052	918010	Hchr1	2	LPI19443	25164162	scaffold_16	4027	R
gene-HOLleu_00088	1939128	Hchr1	3	LPI19399	24204401	scaffold_16	4026	R
gene-HOLleu_00112	2466433	Hchr1	4	LPI19970	7034373	scaffold_16	3988	.
gene-HOLleu_00143	3361075	Hchr1	6	LPI19846	10142861	scaffold_16	3998	R
gene-HOLleu_00145	3419438	Hchr1	7	LPI19646	13674341	scaffold_16	4008	R
gene-HOLleu_00148	3459203	Hchr1	8	LPI19558	19915325	scaffold_16	4019	R
gene-HOLleu_00276	5391514	Hchr1	9	LPI19772	9447832	scaffold_16	3997	R
gene-HOLleu_00278	5469723	Hchr1	10	LPI19599	12778001	scaffold_16	4006	R
gene-HOLleu_00283	5635514	Hchr1	11	LPI19976	23880181	scaffold_16	4025	.
gene-HOLleu_00284	5659342	Hchr1	12	LPI19811	20513708	scaffold_16	4020	R
gene-HOLleu_00287	5711542	Hchr1	13	LPI19316	20547442	scaffold_16	4021	R
gene-HOLleu_00316	6541405	Hchr1	14	LPI19658	16160775	scaffold_16	4015	.
gene-HOLleu_00318	6566979	Hchr1	15	LPI19988	3942841	scaffold_16	3984	R
gene-HOLleu_00319	6627615	Hchr1	16	LPI19550	616428	scaffold_16	3970	R
gene-HOLleu_00369	7937421	Hchr1	17	LPI19828	8973843	scaffold_16	3996	.
gene-HOLleu_00845	16388746	Hchr1	19	LPI19691	25319993	scaffold_16	4029	R
gene-HOLleu_00918	18095871	Hchr1	20	LPI19282	12070617	scaffold_16	4002	.
gene-HOLleu_01063	21335043	Hchr1	22	LPI19650	13860674	scaffold_16	4009	.
gene-HOLleu_01329	25336652	Hchr1	23	LPI19723	25250011	scaffold_16	4028	.
gene-HOLleu_01384	26878163	Hchr1	24	LPI19563	8490005	scaffold_16	3995	R
gene-HOLleu_01385	26908821	Hchr1	25	LPI19466	975934	scaffold_16	3974	R
gene-HOLleu_01387	26926696	Hchr1	26	LPI19875	23841052	scaffold_16	4022	R
gene-HOLleu_01400	27363234	Hchr1	27	LPI19781	12093077	scaffold_16	4003	R
gene-HOLleu_01437	28205230	Hchr1	28	LPI19740	7506367	scaffold_16	3989	R
gene-HOLleu_01734	33333765	Hchr1	29	LPI19929	7608520	scaffold_16	3992	.
gene-HOLleu_02011	38926416	Hchr1	30	LPI19812	7633714	scaffold_16	3993	R
gene-HOLleu_02013	38998121	Hchr1	31	LPI19384	7680442	scaffold_16	3994	R
gene-HOLleu_02017	39083321	Hchr1	32	LPI19698	3633777	scaffold_16	3983	R
gene-HOLleu_02165	42184059	Hchr1	33	LPI19665	909237	scaffold_16	3972	R
gene-HOLleu_02242	43864049	Hchr1	34	LPI19327	23870147	scaffold_16	4024	R
gene-HOLleu_02253	44178572	Hchr1	35	LPI19569	12358827	scaffold_16	4005	R
gene-HOLleu_02473	50512258	Hchr1	37	LPI19495	1118608	scaffold_16	3977	.
gene-HOLleu_02477	50596048	Hchr1	38	LPI19710	640139	scaffold_16	3971	R
gene-HOLleu_02516	51754662	Hchr1	39	LPI19721	15294220	scaffold_16	4014	R
gene-HOLleu_02577	53293113	Hchr1	41	LPI19981	1139003	scaffold_16	3978	R
gene-HOLleu_02688	56590320	Hchr1	44	LPI19664	14572464	scaffold_16	4012	R
gene-HOLleu_02690	56612706	Hchr1	45	LPI19315	14561082	scaffold_16	4011	R
gene-HOLleu_02691	56625061	Hchr1	46	LPI20022	14537361	scaffold_16	4010	R
gene-HOLleu_02695	56727282	Hchr1	47	LPI19295	3973635	scaffold_16	3985	R
gene-HOLleu_02730	57702758	Hchr1	48	LPI19565	934041	scaffold_16	3973	R
gene-HOLleu_02852	60841452	Hchr1	49	LPI19478	17644854	scaffold_16	4017	R
gene-HOLleu_02914	62334597	Hchr1	50	LPI19798	4460455	scaffold_16	3986	R
gene-HOLleu_03561	73057785	Hchr1	51	LPI19802	7587359	scaffold_16	3991	.
gene-HOLleu_03564	73114950	Hchr1	52	LPI19270	1170894	scaffold_16	3979	R
gene-HOLleu_03565	73149864	Hchr1	53	LPI19966	10352730	scaffold_16	3999	.
gene-HOLleu_03566	73231226	Hchr1	54	LPI19695	12846991	scaffold_16	4007	.
gene-HOLleu_03577	73555983	Hchr1	55	LPI19538	12020829	scaffold_16	4001	.
gene-HOLleu_03816	80197944	Hchr1	56	LPI19745	1017631	scaffold_16	3976	R
gene-HOLleu_04156	88549208	Hchr1	60	LPI19950	986049	scaffold_16	3975	R
gene-HOLleu_04473	96732354	Hchr1	62	LPI19610	2177148	scaffold_16	3981	.
gene-HOLleu_04476	96805637	Hchr1	63	LPI19234	2131999	scaffold_16	3980	R
gene-HOLleu_04525	97969947	Hchr1	64	LPI19882	2211836	scaffold_16	3982	R
gene-HOLleu_04552	98898280	Hchr1	65	LPI19544	15264353	scaffold_16	4013	R
gene-HOLleu_04578	99699922	Hchr1	66	LPI19971	12246391	scaffold_16	4004	R
gene-HOLleu_02286	45094309	Hchr1	36	LPI04350	22072852	scaffold_18	4272	.
gene-HOLleu_04814	7090821	Hchr2	67	LPI10419	12234115	scaffold_1	58	E
gene-HOLleu_04820	7354542	Hchr2	68	LPI09338	72391797	scaffold_1	439	.
