s1g	s1gp	s1chr	s1gi	s2g	s2gp	s2chr	s2gi	clg
LOC105438559	7836609	spur5_scaffold_6	146	gene-HOLleu_02408	48646367	Hchr1	123	.
LOC580004	8838796	spur5_scaffold_6	161	gene-HOLleu_00023	439036	Hchr1	3	.
LOC577746	21079542	spur5_scaffold_6	354	gene-HOLleu_03984	83600473	Hchr1	212	.
LOC577340	22444181	spur5_scaffold_6	387	gene-HOLleu_03482	70946285	Hchr1	188	.
LOC115919169	28040322	spur5_scaffold_6	449	gene-HOLleu_02917	62381797	Hchr1	174	.
LOC115918276	28120749	spur5_scaffold_6	450	gene-HOLleu_04317	92844689	Hchr1	235	.
LOC577940	45143018	spur5_scaffold_6	683	gene-HOLleu_04279	92046175	Hchr1	232	.
LOC105444659	49612026	spur5_scaffold_6	735	gene-HOLleu_02493	51285095	Hchr1	130	.
LOC593968	439407	spur5_scaffold_6	8	gene-HOLleu_05510	31079172	Hchr2	441	E
LOC580253	464296	spur5_scaffold_6	9	gene-HOLleu_06665	67835816	Hchr2	735	E
LOC105440462	503254	spur5_scaffold_6	10	gene-HOLleu_06082	49840322	Hchr2	603	.
LOC580188	522388	spur5_scaffold_6	11	gene-HOLleu_06598	65147693	Hchr2	705	.
LOC580128	526038	spur5_scaffold_6	12	gene-HOLleu_06769	71760601	Hchr2	766	E
LOC577037	545218	spur5_scaffold_6	13	gene-HOLleu_06767	71718418	Hchr2	765	E
LOC580068	561773	spur5_scaffold_6	14	gene-HOLleu_04867	9618380	Hchr2	282	.
LOC100888512	575260	spur5_scaffold_6	15	gene-HOLleu_04869	9673436	Hchr2	283	.
LOC100888387	669592	spur5_scaffold_6	16	gene-HOLleu_06453	60808167	Hchr2	678	.
LOC100893273	726117	spur5_scaffold_6	17	gene-HOLleu_05733	37631738	Hchr2	502	E
LOC764101	742142	spur5_scaffold_6	18	gene-HOLleu_05544	32201171	Hchr2	459	.
LOC100893430	749690	spur5_scaffold_6	19	gene-HOLleu_06569	64011681	Hchr2	697	E
LOC579510	793278	spur5_scaffold_6	20	gene-HOLleu_06321	56335063	Hchr2	647	E
LOC577677	1659082	spur5_scaffold_6	28	gene-HOLleu_05366	26265753	Hchr2	401	.
LOC577743	1708508	spur5_scaffold_6	29	gene-HOLleu_06269	55097083	Hchr2	636	E
LOC575032	2805733	spur5_scaffold_6	50	gene-HOLleu_05459	29362580	Hchr2	426	E
LOC100889062	2821310	spur5_scaffold_6	51	gene-HOLleu_05458	29260200	Hchr2	425	.
LOC577649	2884260	spur5_scaffold_6	52	gene-HOLleu_05457	29233901	Hchr2	424	E
LOC575561	2901951	spur5_scaffold_6	53	gene-HOLleu_05857	41635901	Hchr2	531	E
LOC100887851	2981233	spur5_scaffold_6	54	gene-HOLleu_05858	41711840	Hchr2	532	E
LOC586471	3082010	spur5_scaffold_6	56	gene-HOLleu_06981	77433528	Hchr2	821	E
LOC591730	3119448	spur5_scaffold_6	57	gene-HOLleu_06983	77453653	Hchr2	822	E
LOC592555	3183532	spur5_scaffold_6	58	gene-HOLleu_06616	65952773	Hchr2	715	E
LOC592592	3199892	spur5_scaffold_6	59	gene-HOLleu_05112	18096767	Hchr2	351	E
LOC373404	3235951	spur5_scaffold_6	60	gene-HOLleu_05110	18078936	Hchr2	350	.
eif4e3	5891995	spur5_scaffold_6	109	gene-HOLleu_05760	38566921	Hchr2	511	E
LOC592391	5909508	spur5_scaffold_6	110	gene-HOLleu_06032	47523327	Hchr2	583	E
LOC589012	5942459	spur5_scaffold_6	111	gene-HOLleu_04998	14031576	Hchr2	314	.
LOC585998	5971954	spur5_scaffold_6	112	gene-HOLleu_06809	72894298	Hchr2	775	E
LOC594510	10967518	spur5_scaffold_6	203	gene-HOLleu_05430	28032567	Hchr2	411	E
LOC581185	11321088	spur5_scaffold_6	204	gene-HOLleu_06044	48079494	Hchr2	589	E
LOC753921	11405223	spur5_scaffold_6	205	gene-HOLleu_06157	52546094	Hchr2	616	E
LOC575693	11414085	spur5_scaffold_6	206	gene-HOLleu_05553	32340581	Hchr2	463	E
LOC100893976	11442656	spur5_scaffold_6	207	gene-HOLleu_05749	38143564	Hchr2	507	E
LOC575960	11461574	spur5_scaffold_6	208	gene-HOLleu_05750	38162536	Hchr2	508	E
GATAc	11500265	spur5_scaffold_6	209	gene-HOLleu_06034	47645329	Hchr2	584	.
LOC576089	11617306	spur5_scaffold_6	210	gene-HOLleu_06903	75654905	Hchr2	802	E
LOC587059	11621735	spur5_scaffold_6	211	gene-HOLleu_06895	75530922	Hchr2	801	E
LOC592405	11636180	spur5_scaffold_6	212	gene-HOLleu_06894	75509984	Hchr2	800	E
LOC592424	11641424	spur5_scaffold_6	213	gene-HOLleu_06750	71166622	Hchr2	759	E
LOC585193	11665170	spur5_scaffold_6	214	gene-HOLleu_06218	54014701	Hchr2	623	E
