s1g	s1gp	s1chr	s1gi	s2g	s2gp	s2chr	s2gi	clg
gene-HOLleu_00023	439036	Hchr1	2	LPI09642	21610788	scaffold_1	257	.
gene-HOLleu_03482	70946285	Hchr1	190	LPI08939	8495108	scaffold_1	89	.
gene-HOLleu_03984	83600473	Hchr1	213	LPI10377	10370192	scaffold_1	111	.
gene-HOLleu_00371	7966430	Hchr1	42	LPI06018	2284202	scaffold_2	1063	R
gene-HOLleu_00789	15682838	Hchr1	57	LPI06637	15407733	scaffold_2	1301	.
gene-HOLleu_00878	17103040	Hchr1	63	LPI06561	49236254	scaffold_2	1824	.
gene-HOLleu_01028	20879316	Hchr1	65	LPI05579	43310466	scaffold_2	1724	.
gene-HOLleu_01029	20886243	Hchr1	66	LPI04569	43313244	scaffold_2	1725	.
gene-HOLleu_01062	21321248	Hchr1	68	LPI05817	44395335	scaffold_2	1736	R
gene-HOLleu_01560	29729357	Hchr1	95	LPI05516	26135111	scaffold_2	1512	.
gene-HOLleu_01602	30690283	Hchr1	97	LPI05283	8422003	scaffold_2	1162	.
gene-HOLleu_02504	51426145	Hchr1	138	LPI05485	18865521	scaffold_2	1390	.
gene-HOLleu_02520	51886538	Hchr1	141	LPI04601	4790547	scaffold_2	1113	R
gene-HOLleu_02685	56437130	Hchr1	163	LPI04914	66847700	scaffold_2	2099	R
gene-HOLleu_02843	60404310	Hchr1	171	LPI06157	3363519	scaffold_2	1086	.
gene-HOLleu_03075	64729204	Hchr1	181	LPI04923	63744732	scaffold_2	2044	.
gene-HOLleu_04073	86010935	Hchr1	225	LPI05422	51403108	scaffold_2	1871	R
gene-HOLleu_04534	98493409	Hchr1	252	LPI06062	64077178	scaffold_2	2052	.
gene-HOLleu_02997	63594265	Hchr1	179	LPI16548	36886174	scaffold_3	2636	.
gene-HOLleu_03601	74414780	Hchr1	199	LPI16663	38460120	scaffold_3	2644	.
gene-HOLleu_04346	93592816	Hchr1	240	LPI15661	24325875	scaffold_3	2468	.
gene-HOLleu_02099	40798002	Hchr1	115	LPI19163	23240871	scaffold_4	3182	.
gene-HOLleu_02493	51285095	Hchr1	137	LPI18052	1963985	scaffold_4	2833	.
gene-HOLleu_04347	93605457	Hchr1	241	LPI18009	25428203	scaffold_4	3233	.
gene-HOLleu_04509	97595927	Hchr1	250	LPI17804	40750417	scaffold_4	3466	.
gene-HOLleu_00118	2596189	Hchr1	14	LPI21193	27791014	scaffold_5	3962	R
gene-HOLleu_00615	12527974	Hchr1	56	LPI21756	38539821	scaffold_5	4101	R
gene-HOLleu_00798	15776556	Hchr1	58	LPI21367	27064900	scaffold_5	3948	.
gene-HOLleu_01518	29163375	Hchr1	94	LPI22012	43274597	scaffold_5	4172	R
gene-HOLleu_02027	39307653	Hchr1	112	LPI21641	41618502	scaffold_5	4150	.
gene-HOLleu_02663	55806358	Hchr1	158	LPI21711	33718628	scaffold_5	4029	.
gene-HOLleu_02981	63353547	Hchr1	178	LPI22232	8535437	scaffold_5	3727	.
gene-HOLleu_03343	69226422	Hchr1	188	LPI21396	8185847	scaffold_5	3720	.
gene-HOLleu_04066	85859147	Hchr1	221	LPI21906	39205728	scaffold_5	4112	.
gene-HOLleu_00154	3581762	Hchr1	21	LPI03248	41790417	scaffold_6	4422	.
gene-HOLleu_00459	9675255	Hchr1	48	LPI03711	28040389	scaffold_6	4370	.
gene-HOLleu_00527	11039106	Hchr1	50	LPI02934	35489759	scaffold_6	4408	.
gene-HOLleu_00539	11323341	Hchr1	52	LPI02808	34670351	scaffold_6	4401	.
gene-HOLleu_01325	25298057	Hchr1	74	LPI02754	34677153	scaffold_6	4402	.
gene-HOLleu_02161	42110609	Hchr1	116	LPI02577	18442439	scaffold_6	4321	.
gene-HOLleu_03298	68220440	Hchr1	186	LPI02869	36796527	scaffold_6	4411	.
gene-HOLleu_03245	67355847	Hchr1	185	LPI13886	14441535	scaffold_7	4591	R
gene-HOLleu_03826	80340907	Hchr1	210	LPI02133	28552398	scaffold_8	5256	.
gene-HOLleu_01057	21236695	Hchr1	67	LPI16739	6407660	scaffold_9	5457	.
