qseqid	sseqid	pident	length	evalue	bitscore	extra0	extra1	extra2	extra3	extra4	extra5	gene_id_raw	gene_id_norm	orthogroup
qseqid	sseqid	pident	length	evalue	bitscore	extra0	extra1	extra2	gene_id_raw	gene_id_norm	orthogroup	Unmapped	Unmapped	Unmapped
qseqid	sseqid	pident	length	evalue	bitscore	gene_id_raw	gene_id_norm	orthogroup	Unmapped	Unmapped	Unmapped	Unmapped	Unmapped	Unmapped
NP_001116986.2	1_7241	78.821	458	0.0	748.0	XP_054768785	XP_054768785	OG0007238	XP_054768785	XP_054768785	OG0007238	XP_054768785	XP_054768785	OG0007238
NP_001116986.2	1_23317	48.762	404	1.39e-119	384.0	XP_063965240	XP_063965240	OG0001989	XP_063965240	XP_063965240	OG0001989	XP_063965240	XP_063965240	OG0001989
NP_001116986.2	1_23317	37.903	124	1.32e-22	104.0	XP_063965240	XP_063965240	OG0001989	XP_063965240	XP_063965240	OG0001989	XP_063965240	XP_063965240	OG0001989
NP_001116986.2	1_23302	29.229	869	2.65e-82	281.0	XP_063965225	XP_063965225	OG0007371	XP_063965225	XP_063965225	OG0007371	XP_063965225	XP_063965225	OG0007371
NP_001116986.2	1_7178	40.31	387	2.33e-78	265.0	XP_054768656	XP_054768656	OG0000005	XP_054768656	XP_054768656	OG0000005	XP_054768656	XP_054768656	OG0000005
NP_001116986.2	1_7178	33.742	163	3.38e-25	111.0	XP_054768656	XP_054768656	OG0000005	XP_054768656	XP_054768656	OG0000005	XP_054768656	XP_054768656	OG0000005
NP_001116986.2	1_7240	38.901	455	4.39e-73	252.0	XP_054768784	XP_054768784	OG0011658	XP_054768784	XP_054768784	OG0011658	XP_054768784	XP_054768784	OG0011658
NP_001116986.2	1_7240	39.13	161	5.260000000000001e-31	130.0	XP_054768784	XP_054768784	OG0011658	XP_054768784	XP_054768784	OG0011658	XP_054768784	XP_054768784	OG0011658
NP_001116986.2	1_23620	36.104	385	1.9000000000000001e-66	232.0	XP_063965543	XP_063965543	OG0009603	XP_063965543	XP_063965543	OG0009603	XP_063965543	XP_063965543	OG0009603
NP_001116986.2	1_23620	28.877	187	2.79e-21	99.4	XP_063965543	XP_063965543	OG0009603	XP_063965543	XP_063965543	OG0009603	XP_063965543	XP_063965543	OG0009603
NP_001116986.2	1_7265	35.294	391	1.7e-64	227.0	XP_054768846	XP_054768846	OG0000005	XP_054768846	XP_054768846	OG0000005	XP_054768846	XP_054768846	OG0000005
NP_001116986.2	1_7265	27.66	235	9.700000000000002e-21	97.8	XP_054768846	XP_054768846	OG0000005	XP_054768846	XP_054768846	OG0000005	XP_054768846	XP_054768846	OG0000005
NP_001116986.2	1_7136	35.62	379	4.98e-60	208.0	XP_054768551	XP_054768551	OG0000005	XP_054768551	XP_054768551	OG0000005	XP_054768551	XP_054768551	OG0000005
NP_001116986.2	1_23880	38.211	246	4.5599999999999996e-45	162.0	XP_063965803	XP_063965803	Unmapped	XP_063965803	XP_063965803	Unmapped	XP_063965803	XP_063965803	Unmapped
NP_001116986.2	1_23881	44.853	136	1.26e-24	107.0	XP_063965804	XP_063965804	OG0000005	XP_063965804	XP_063965804	OG0000005	XP_063965804	XP_063965804	OG0000005
NP_001116986.2	1_23881	31.902	163	2.9099999999999996e-23	102.0	XP_063965804	XP_063965804	OG0000005	XP_063965804	XP_063965804	OG0000005	XP_063965804	XP_063965804	OG0000005
NP_001116986.2	1_23300	31.544	149	5.57e-15	75.1	XP_063965223	XP_063965223	Unmapped	XP_063965223	XP_063965223	Unmapped	XP_063965223	XP_063965223	Unmapped
