s1chr	s2chr	s1tot	s2tot	n	fishp	padj	scol	s1g	s1gp	s1gi	s2g	s2gp	s2gi	clg
scaffold_1	Hchr1	473	60	1	0.997805431555934	1	NS	MGLB16065	42125018	804	gene-HOLleu_03983	83587369	57	-
scaffold_1	Hchr12	473	67	2	0.99110678261615	1	NS	MGLB16656	3870535	507	gene-HOLleu_24862	8309473	2560	-
scaffold_1	Hchr12	473	67	2	0.99110678261615	1	NS	MGLB16051	58999654	933	gene-HOLleu_26019	42375859	2604	-
scaffold_1	Hchr13	473	178	2	0.999999671999199	1	NS	MGLB16573	10613431	567	gene-HOLleu_27240	26261352	2698	-
scaffold_1	Hchr13	473	178	2	0.999999671999199	1	NS	MGLB16700	44182997	827	gene-HOLleu_26959	17169522	2659	-
scaffold_1	Hchr14	473	277	2	0.999999999968964	1	NS	MGLB16288	400382	478	gene-HOLleu_29318	42568483	3051	C1
scaffold_1	Hchr14	473	277	2	0.999999999968964	1	NS	MGLB16388	49328409	871	gene-HOLleu_28283	7858160	2854	-
scaffold_1	Hchr15	473	250	2	0.999999999612715	1	NS	MGLB16876	41268475	798	gene-HOLleu_30162	15485159	3157	-
scaffold_1	Hchr15	473	250	2	0.999999999612715	1	NS	MGLB16549	47436114	860	gene-HOLleu_30556	30103272	3230	-
scaffold_1	Hchr19	473	100	2	0.99954355051246	1	NS	MGLB17000	20497870	622	gene-HOLleu_36127	15432234	3856	-
scaffold_1	Hchr19	473	100	2	0.99954355051246	1	NS	MGLB17172	46557718	848	gene-HOLleu_35859	7209928	3834	-
scaffold_1	Hchr2	473	250	1	0.999999999986115	1	NS	MGLB17283	55350603	903	gene-HOLleu_05026	14992238	92	-
scaffold_1	Hchr23	473	127	2	0.99996199264289	1	NS	MGLB16396	46878550	852	gene-HOLleu_41301	12087329	4430	-
scaffold_1	Hchr23	473	127	2	0.99996199264289	1	NS	MGLB16284	58334330	927	gene-HOLleu_41042	2158223	4392	-
scaffold_1	Hchr3	473	465	455	0	0	S	MGLB16045	66233	476	gene-HOLleu_08080	34670812	502	A1
scaffold_1	Hchr3	473	465	455	0	0	S	MGLB16240	276419	477	gene-HOLleu_07392	12595126	394	A1
scaffold_1	Hchr3	473	465	455	0	0	S	MGLB17237	470299	479	gene-HOLleu_07547	17943688	417	A1
scaffold_1	Hchr3	473	465	455	0	0	S	MGLB16203	607640	480	gene-HOLleu_08718	57067890	668	-
scaffold_1	Hchr3	473	465	455	0	0	S	MGLB16380	765920	481	gene-HOLleu_08717	56992038	667	-
scaffold_1	Hchr3	473	465	455	0	0	S	MGLB16197	939955	482	gene-HOLleu_08399	45408971	587	-
scaffold_1	Hchr3	473	465	455	0	0	S	MGLB16292	1187282	483	gene-HOLleu_08089	35119980	506	A1
scaffold_1	Hchr3	473	465	455	0	0	S	MGLB16206	1549928	484	gene-HOLleu_07862	27700842	449	A1
scaffold_1	Hchr3	473	465	455	0	0	S	MGLB16313	1610852	485	gene-HOLleu_08351	43624884	575	A1
scaffold_1	Hchr3	473	465	455	0	0	S	MGLB16935	1780692	486	gene-HOLleu_08946	64014785	721	A1
scaffold_1	Hchr3	473	465	455	0	0	S	MGLB17081	1993975	487	gene-HOLleu_07068	1525531	332	-
scaffold_1	Hchr3	473	465	455	0	0	S	MGLB16262	2051929	488	gene-HOLleu_07867	27840964	451	-
scaffold_1	Hchr3	473	465	455	0	0	S	MGLB16527	2243780	489	gene-HOLleu_07865	27772326	450	A1
scaffold_1	Hchr3	473	465	455	0	0	S	MGLB16076	2370226	490	gene-HOLleu_07308	9677334	380	A1
