qseqid	sseqid	pident	length	evalue	bitscore	extra0	extra1	extra2	extra3	extra4	extra5	gene_id_raw	gene_id_norm	orthogroup
qseqid	sseqid	pident	length	evalue	bitscore	extra0	extra1	extra2	gene_id_raw	gene_id_norm	orthogroup	Unmapped	Unmapped	Unmapped
qseqid	sseqid	pident	length	evalue	bitscore	gene_id_raw	gene_id_norm	orthogroup	Unmapped	Unmapped	Unmapped	Unmapped	Unmapped	Unmapped
XP_030835800.1	4_16235	60.616	584	0.0	716.0	PL22079	PL22079	OG0011980	PL22079	PL22079	OG0011980	PL22079	PL22079	OG0011980
XP_030835800.1	4_23316	33.224	304	1.91e-42	159.0	PL31732	PL31732	OG0003892	PL31732	PL31732	OG0003892	PL31732	PL31732	OG0003892
XP_030835800.1	4_23296	32.55	298	1.82e-41	156.0	PL31706	PL31706	OG0003892	PL31706	PL31706	OG0003892	PL31706	PL31706	OG0003892
XP_030835800.1	4_7421	29.778	225	1.42e-31	127.0	PL09783	PL09783	OG0011255	PL09783	PL09783	OG0011255	PL09783	PL09783	OG0011255
XP_030835800.1	4_26008	24.169	331	1.37e-25	110.0	PL35350	PL35350	OG0009232	PL35350	PL35350	OG0009232	PL35350	PL35350	OG0009232
XP_030835800.1	4_27506	23.565	331	1.98e-21	96.7	PL37397	PL37397	OG0007771	PL37397	PL37397	OG0007771	PL37397	PL37397	OG0007771
XP_030835800.1	4_20163	25.751	233	2.1e-21	97.8	PL27364	PL27364	OG0008965	PL27364	PL27364	OG0008965	PL27364	PL27364	OG0008965
XP_030835800.1	4_18254	25.691	362	5.4e-21	95.9	PL24847	PL24847	OG0002543	PL24847	PL24847	OG0002543	PL24847	PL24847	OG0002543
XP_030835800.1	4_10644	24.749	299	1.09e-20	95.1	PL14017	PL14017	OG0011405	PL14017	PL14017	OG0011405	PL14017	PL14017	OG0011405
XP_030835800.1	4_8934	23.138	376	1.16e-20	95.1	PL11747	PL11747	OG0003706	PL11747	PL11747	OG0003706	PL11747	PL11747	OG0003706
XP_030835800.1	4_17863	23.642	313	5.34e-20	93.2	PL24301	PL24301	OG0009828	PL24301	PL24301	OG0009828	PL24301	PL24301	OG0009828
XP_030835800.1	4_27505	29.18	305	5.64e-20	92.4	PL37396	PL37396	OG0008901	PL37396	PL37396	OG0008901	PL37396	PL37396	OG0008901
XP_030835800.1	4_9401	29.773	309	1.4e-19	91.3	PL12354	PL12354	OG0001187	PL12354	PL12354	OG0001187	PL12354	PL12354	OG0001187
XP_030835800.1	4_8991	25.0	296	1.63e-19	89.0	PL11823	PL11823	OG0002936	PL11823	PL11823	OG0002936	PL11823	PL11823	OG0002936
XP_030835800.1	4_20439	25.0	288	1.89e-19	89.4	PL27743	PL27743	OG0001599	PL27743	PL27743	OG0001599	PL27743	PL27743	OG0001599
XP_030835800.1	4_7448	26.37	292	3.24e-19	91.3	PL09814	PL09814	OG0011250	PL09814	PL09814	OG0011250	PL09814	PL09814	OG0011250
XP_030835800.1	4_12568	24.49	343	4.06e-19	89.7	PL16652	PL16652	OG0007698	PL16652	PL16652	OG0007698	PL16652	PL16652	OG0007698
XP_030835800.1	4_10668	26.966	356	6.3e-19	88.6	PL14050	PL14050	OG0012828	PL14050	PL14050	OG0012828	PL14050	PL14050	OG0012828
XP_030835800.1	4_23924	28.618	304	7.5e-19	88.2	PL32557	PL32557	OG0000817	PL32557	PL32557	OG0000817	PL32557	PL32557	OG0000817
XP_030835800.1	4_29067	25.316	316	8.09e-19	89.4	PL39592	PL39592	OG0012482	PL39592	PL39592	OG0012482	PL39592	PL39592	OG0012482
