s1g	s1gp	s1chr	s1gi	s2g	s2gp	s2chr	s2gi	clg
XP_063953932	1316053	chr3	0	XP_030829180	49006990	spur5_scaffold_6	900	NA
XP_063952193	1384555	chr3	1	XP_030828966	18815390	spur5_scaffold_6	396	NA
XP_063952195	1460974	chr3	2	XP_030828685	15979385	spur5_scaffold_6	338	NA
XP_054752394	1463585	chr3	3	XP_030828483	16062366	spur5_scaffold_6	339	NA
XP_063952200	1558936	chr3	4	XP_003728175	16645330	spur5_scaffold_6	344	NA
XP_054752396	1585299	chr3	5	XP_003728176	16679515	spur5_scaffold_6	345	NA
XP_063952203	1653194	chr3	6	XP_030829162	16696858	spur5_scaffold_6	346	NA
XP_063953892	1667664	chr3	7	XP_030829142	16207295	spur5_scaffold_6	340	NA
XP_063953893	1733519	chr3	8	XP_003728179	16720993	spur5_scaffold_6	347	NA
XP_054750741	1774659	chr3	9	XP_030829194	16729134	spur5_scaffold_6	348	NA
XP_054750323	1872012	chr3	10	XP_030829199	16798275	spur5_scaffold_6	349	NA
XP_063952204	1878551	chr3	11	XP_030828182	16856919	spur5_scaffold_6	350	NA
XP_054752400	1908301	chr3	12	XP_030829066	16907700	spur5_scaffold_6	351	NA
XP_054752402	1936190	chr3	13	XP_030829064	16917405	spur5_scaffold_6	352	B2+C2
XP_063953946	2104580	chr3	14	XP_030829218	16952054	spur5_scaffold_6	353	NA
XP_063952214	2341938	chr3	15	XP_787177	16972460	spur5_scaffold_6	354	NA
XP_054750744	2426484	chr3	16	XP_787142	16981182	spur5_scaffold_6	355	B2+C2
XP_054750328	2767841	chr3	19	XP_030828700	14528322	spur5_scaffold_6	313	NA
XP_054752405	2907991	chr3	20	XP_030829483	14498498	spur5_scaffold_6	312	NA
XP_063952224	3322332	chr3	21	XP_001175610	14396655	spur5_scaffold_6	311	E
XP_054752391	3423260	chr3	22	XP_003727403	14390451	spur5_scaffold_6	310	E
XP_063952226	3546091	chr3	23	XP_030828169	14298688	spur5_scaffold_6	309	NA
