qseqid	sseqid	pident	length	evalue	bitscore	extra0	extra1	extra2	extra3	extra4	extra5	gene_id_raw	gene_id_norm	orthogroup
qseqid	sseqid	pident	length	evalue	bitscore	extra0	extra1	extra2	gene_id_raw	gene_id_norm	orthogroup	Unmapped	Unmapped	Unmapped
qseqid	sseqid	pident	length	evalue	bitscore	gene_id_raw	gene_id_norm	orthogroup	Unmapped	Unmapped	Unmapped	Unmapped	Unmapped	Unmapped
NP_999774.1	4_3815	88.047	343	4.9200000000000004e-148	420.0	PL05236	PL05236	OG0000947	PL05236	PL05236	OG0000947	PL05236	PL05236	OG0000947
NP_999774.1	4_5454	55.372	121	2.64e-34	127.0	PL07277	PL07277	OG0000947	PL07277	PL07277	OG0000947	PL07277	PL07277	OG0000947
NP_999774.1	4_21439	61.446	83	5.2199999999999996e-30	111.0	PL29153	PL29153	OG0000947	PL29153	PL29153	OG0000947	PL29153	PL29153	OG0000947
NP_999774.1	4_4795	67.692	65	3.3700000000000003e-22	89.4	PL06460	PL06460	OG0000947	PL06460	PL06460	OG0000947	PL06460	PL06460	OG0000947
NP_999774.1	4_29640	58.462	65	1.52e-20	89.0	PL40370	PL40370	OG0012546	PL40370	PL40370	OG0012546	PL40370	PL40370	OG0012546
NP_999774.1	4_3462	53.247	77	1.27e-18	84.3	PL04812	PL04812	OG0003736	PL04812	PL04812	OG0003736	PL04812	PL04812	OG0003736
NP_999774.1	4_3801	60.0	60	7.31e-18	82.8	PL05219	PL05219	OG0008182	PL05219	PL05219	OG0008182	PL05219	PL05219	OG0008182
NP_999774.1	4_5631	47.368	76	2.52e-16	78.2	PL07493	PL07493	OG0010862	PL07493	PL07493	OG0010862	PL07493	PL07493	OG0010862
NP_999774.1	4_8871	47.619	84	7.29e-16	77.8	PL11655	PL11655	OG0008235	PL11655	PL11655	OG0008235	PL11655	PL11655	OG0008235
NP_999774.1	4_9308	55.556	54	2.79e-15	72.0	PL12228	PL12228	OG0004309	PL12228	PL12228	OG0004309	PL12228	PL12228	OG0004309
NP_999774.1	4_10000	36.196	163	5.47e-15	75.1	PL13118	PL13118	OG0010431	PL13118	PL13118	OG0010431	PL13118	PL13118	OG0010431
NP_999774.1	4_7374	48.438	64	1.1e-12	68.2	PL09726	PL09726	OG0005305	PL09726	PL09726	OG0005305	PL09726	PL09726	OG0005305
NP_999774.1	4_4221	39.08	87	3.42e-12	67.0	PL05733	PL05733	OG0007540	PL05733	PL05733	OG0007540	PL05733	PL05733	OG0007540
NP_999774.1	4_27012	48.387	62	5.49e-12	65.9	PL36726	PL36726	OG0012810	PL36726	PL36726	OG0012810	PL36726	PL36726	OG0012810
NP_999774.1	4_5610	48.276	58	7.33e-12	65.9	PL07462	PL07462	OG0011768	PL07462	PL07462	OG0011768	PL07462	PL07462	OG0011768
NP_999774.1	4_26704	35.78	109	1.88e-11	60.8	PL36330	PL36330	OG0003051	PL36330	PL36330	OG0003051	PL36330	PL36330	OG0003051
NP_999774.1	4_4316	50.877	57	1.99e-11	64.3	PL05851	PL05851	OG0011470	PL05851	PL05851	OG0011470	PL05851	PL05851	OG0011470
NP_999774.1	4_27090	50.82	61	3.16e-11	60.8	PL36836	PL36836	OG0006904	PL36836	PL36836	OG0006904	PL36836	PL36836	OG0006904
NP_999774.1	4_27275	51.852	54	3.99e-11	63.5	PL37077	PL37077	OG0009851	PL37077	PL37077	OG0009851	PL37077	PL37077	OG0009851
NP_999774.1	4_27147	39.13	92	6.49e-11	62.8	PL36910	PL36910	OG0007733	PL36910	PL36910	OG0007733	PL36910	PL36910	OG0007733
