qseqid	sseqid	pident	length	evalue	bitscore	extra0	extra1	extra2	extra3	extra4	extra5	gene_id_raw	gene_id_norm	orthogroup
qseqid	sseqid	pident	length	evalue	bitscore	extra0	extra1	extra2	gene_id_raw	gene_id_norm	orthogroup	Unmapped	Unmapped	Unmapped
qseqid	sseqid	pident	length	evalue	bitscore	gene_id_raw	gene_id_norm	orthogroup	Unmapped	Unmapped	Unmapped	Unmapped	Unmapped	Unmapped
XP_791983.2	3_9772	81.263	491	0.0	677.0	MGLB09773	MGLB09773	OG0008749	MGLB09773	MGLB09773	OG0008749	MGLB09773	MGLB09773	OG0008749
XP_791983.2	3_342	56.566	99	5.1900000000000005e-31	125.0	MGLB00343	MGLB00343	OG0011421	MGLB00343	MGLB00343	OG0011421	MGLB00343	MGLB00343	OG0011421
XP_791983.2	3_14443	56.0	75	1.32e-27	113.0	MGLB14444	MGLB14444	OG0009821	MGLB14444	MGLB14444	OG0009821	MGLB14444	MGLB14444	OG0009821
XP_791983.2	3_14708	53.086	81	7.34e-27	108.0	MGLB14709	MGLB14709	OG0009825	MGLB14709	MGLB14709	OG0009825	MGLB14709	MGLB14709	OG0009825
XP_791983.2	3_17882	48.81	84	5.0799999999999994e-23	102.0	MGLB17883	MGLB17883	OG0002966	MGLB17883	MGLB17883	OG0002966	MGLB17883	MGLB17883	OG0002966
XP_791983.2	3_4265	45.882	85	2.47e-20	94.7	MGLB04266	MGLB04266	OG0012802	MGLB04266	MGLB04266	OG0012802	MGLB04266	MGLB04266	OG0012802
XP_791983.2	3_10527	37.931	87	3.34e-18	87.8	MGLB10528	MGLB10528	Unmapped	MGLB10528	MGLB10528	Unmapped	MGLB10528	MGLB10528	Unmapped
XP_791983.2	3_3448	37.349	83	1.6e-12	70.1	MGLB03449	MGLB03449	OG0000654	MGLB03449	MGLB03449	OG0000654	MGLB03449	MGLB03449	OG0000654
XP_041483755.1	3_9772	85.102	490	0.0	691.0	MGLB09773	MGLB09773	OG0008749	MGLB09773	MGLB09773	OG0008749	MGLB09773	MGLB09773	OG0008749
XP_041483755.1	3_342	64.198	81	6.25e-30	122.0	MGLB00343	MGLB00343	OG0011421	MGLB00343	MGLB00343	OG0011421	MGLB00343	MGLB00343	OG0011421
XP_041483755.1	3_14443	56.0	75	1.85e-27	112.0	MGLB14444	MGLB14444	OG0009821	MGLB14444	MGLB14444	OG0009821	MGLB14444	MGLB14444	OG0009821
XP_041483755.1	3_14708	52.381	84	9.89e-27	108.0	MGLB14709	MGLB14709	OG0009825	MGLB14709	MGLB14709	OG0009825	MGLB14709	MGLB14709	OG0009825
XP_041483755.1	3_17882	50.0	76	7.409999999999999e-23	102.0	MGLB17883	MGLB17883	OG0002966	MGLB17883	MGLB17883	OG0002966	MGLB17883	MGLB17883	OG0002966
XP_041483755.1	3_4265	45.882	85	1.8e-20	95.1	MGLB04266	MGLB04266	OG0012802	MGLB04266	MGLB04266	OG0012802	MGLB04266	MGLB04266	OG0012802
XP_041483755.1	3_10527	37.113	97	2e-18	88.6	MGLB10528	MGLB10528	Unmapped	MGLB10528	MGLB10528	Unmapped	MGLB10528	MGLB10528	Unmapped
XP_041483755.1	3_3448	37.209	86	1.05e-12	70.9	MGLB03449	MGLB03449	OG0000654	MGLB03449	MGLB03449	OG0000654	MGLB03449	MGLB03449	OG0000654
XP_054772957.2	3_9772	77.867	375	2.52e-161	461.0	MGLB09773	MGLB09773	OG0008749	MGLB09773	MGLB09773	OG0008749	MGLB09773	MGLB09773	OG0008749
