qseqid	sseqid	pident	length	evalue	bitscore	extra0	extra1	extra2	extra3	extra4	extra5	gene_id_raw	gene_id_norm	orthogroup
qseqid	sseqid	pident	length	evalue	bitscore	extra0	extra1	extra2	gene_id_raw	gene_id_norm	orthogroup	Unmapped	Unmapped	Unmapped
qseqid	sseqid	pident	length	evalue	bitscore	gene_id_raw	gene_id_norm	orthogroup	Unmapped	Unmapped	Unmapped	Unmapped	Unmapped	Unmapped
XP_030830137.1	1_1098	75.046	1639	0.0	2557.0	XP_054750626	XP_054750626	OG0001663	XP_054750626	XP_054750626	OG0001663	XP_054750626	XP_054750626	OG0001663
XP_030830137.1	1_27075	74.742	1552	0.0	2407.0	XP_063968998	XP_063968998	OG0001663	XP_063968998	XP_063968998	OG0001663	XP_063968998	XP_063968998	OG0001663
XP_030830137.1	1_26899	58.053	1633	0.0	2018.0	XP_063968822	XP_063968822	OG0001663	XP_063968822	XP_063968822	OG0001663	XP_063968822	XP_063968822	OG0001663
XP_030830137.1	1_10853	30.638	1583	0.0	638.0	XP_063952776	XP_063952776	OG0001862	XP_063952776	XP_063952776	OG0001862	XP_063952776	XP_063952776	OG0001862
XP_030830137.1	1_10852	30.638	1583	0.0	638.0	XP_063952775	XP_063952775	OG0001862	XP_063952775	XP_063952775	OG0001862	XP_063952775	XP_063952775	OG0001862
XP_030830137.1	1_1833	30.638	1583	0.0	638.0	XP_054751873	XP_054751873	OG0001862	XP_054751873	XP_054751873	OG0001862	XP_054751873	XP_054751873	OG0001862
XP_030830137.1	1_1832	30.638	1583	0.0	638.0	XP_054751872	XP_054751872	OG0001862	XP_054751872	XP_054751872	OG0001862	XP_054751872	XP_054751872	OG0001862
XP_030830137.1	1_26936	25.321	1556	5.12e-125	430.0	XP_063968859	XP_063968859	OG0009037	XP_063968859	XP_063968859	OG0009037	XP_063968859	XP_063968859	OG0009037
XP_030830137.1	1_26936	24.706	340	3.89e-16	85.5	XP_063968859	XP_063968859	OG0009037	XP_063968859	XP_063968859	OG0009037	XP_063968859	XP_063968859	OG0009037
XP_030830137.1	1_9596	24.857	1223	3.2399999999999994e-104	365.0	XP_063951519	XP_063951519	OG0005275	XP_063951519	XP_063951519	OG0005275	XP_063951519	XP_063951519	OG0005275
XP_030830137.1	1_14573	27.795	975	2.46e-100	358.0	XP_063956496	XP_063956496	OG0001660	XP_063956496	XP_063956496	OG0001660	XP_063956496	XP_063956496	OG0001660
XP_030830137.1	1_14573	38.393	112	6.09e-22	104.0	XP_063956496	XP_063956496	OG0001660	XP_063956496	XP_063956496	OG0001660	XP_063956496	XP_063956496	OG0001660
XP_030830137.1	1_13158	31.011	445	6e-58	220.0	XP_063955081	XP_063955081	OG0006836	XP_063955081	XP_063955081	OG0006836	XP_063955081	XP_063955081	OG0006836
XP_030830137.1	1_12636	29.713	488	1.89e-57	209.0	XP_063954559	XP_063954559	Unmapped	XP_063954559	XP_063954559	Unmapped	XP_063954559	XP_063954559	Unmapped
XP_030830137.1	1_10514	21.445	858	2.4e-24	112.0	XP_063952437	XP_063952437	OG0007456	XP_063952437	XP_063952437	OG0007456	XP_063952437	XP_063952437	OG0007456
XP_030830137.1	1_10514	43.956	91	4.8e-15	82.0	XP_063952437	XP_063952437	OG0007456	XP_063952437	XP_063952437	OG0007456	XP_063952437	XP_063952437	OG0007456
XP_030830137.1	1_10514	23.483	511	7.81e-13	74.7	XP_063952437	XP_063952437	OG0007456	XP_063952437	XP_063952437	OG0007456	XP_063952437	XP_063952437	OG0007456
