qseqid	sseqid	pident	length	evalue	bitscore	extra0	extra1	extra2	extra3	extra4	extra5	gene_id_raw	gene_id_norm	orthogroup
qseqid	sseqid	pident	length	evalue	bitscore	extra0	extra1	extra2	gene_id_raw	gene_id_norm	orthogroup	Unmapped	Unmapped	Unmapped
qseqid	sseqid	pident	length	evalue	bitscore	gene_id_raw	gene_id_norm	orthogroup	Unmapped	Unmapped	Unmapped	Unmapped	Unmapped	Unmapped
XP_011668891.1	1_10655	78.605	430	0.0	719.0	XP_063952578	XP_063952578	OG0009493	XP_063952578	XP_063952578	OG0009493	XP_063952578	XP_063952578	OG0009493
XP_011668891.1	1_10657	78.605	430	0.0	719.0	XP_063952580	XP_063952580	OG0009493	XP_063952580	XP_063952580	OG0009493	XP_063952580	XP_063952580	OG0009493
XP_011668891.1	1_10656	78.605	430	0.0	719.0	XP_063952579	XP_063952579	OG0009493	XP_063952579	XP_063952579	OG0009493	XP_063952579	XP_063952579	OG0009493
XP_011668891.1	1_1593	52.204	431	7.56e-162	463.0	XP_054751447	XP_054751447	OG0003243	XP_054751447	XP_054751447	OG0003243	XP_054751447	XP_054751447	OG0003243
XP_011668891.1	1_7524	28.132	455	4.68e-50	177.0	XP_054769781	XP_054769781	OG0001342	XP_054769781	XP_054769781	OG0001342	XP_054769781	XP_054769781	OG0001342
XP_011668891.1	1_24456	27.632	456	1.48e-46	168.0	XP_063966379	XP_063966379	OG0001342	XP_063966379	XP_063966379	OG0001342	XP_063966379	XP_063966379	OG0001342
XP_011668891.1	1_24455	27.632	456	1.48e-46	168.0	XP_063966378	XP_063966378	OG0001342	XP_063966378	XP_063966378	OG0001342	XP_063966378	XP_063966378	OG0001342
XP_011668891.1	1_3404	26.096	456	1.72e-40	151.0	XP_054755850	XP_054755850	OG0015029	XP_054755850	XP_054755850	OG0015029	XP_054755850	XP_054755850	OG0015029
XP_011668891.1	1_21733	37.22	223	5.72e-38	145.0	XP_063963656	XP_063963656	OG0002840	XP_063963656	XP_063963656	OG0002840	XP_063963656	XP_063963656	OG0002840
XP_011668891.1	1_24572	33.784	222	3.4500000000000004e-37	142.0	XP_063966495	XP_063966495	OG0000604	XP_063966495	XP_063966495	OG0000604	XP_063966495	XP_063966495	OG0000604
XP_011668891.1	1_24571	33.784	222	3.4500000000000004e-37	142.0	XP_063966494	XP_063966494	OG0000604	XP_063966494	XP_063966494	OG0000604	XP_063966494	XP_063966494	OG0000604
XP_011668891.1	1_7644	33.784	222	3.4500000000000004e-37	142.0	XP_054770144	XP_054770144	OG0000604	XP_054770144	XP_054770144	OG0000604	XP_054770144	XP_054770144	OG0000604
XP_011668891.1	1_27404	34.513	226	2.2e-36	140.0	XP_063969327	XP_063969327	OG0011978	XP_063969327	XP_063969327	OG0011978	XP_063969327	XP_063969327	OG0011978
XP_011668891.1	1_24988	27.506	429	1.12e-35	138.0	XP_063966911	XP_063966911	OG0010567	XP_063966911	XP_063966911	OG0010567	XP_063966911	XP_063966911	OG0010567
XP_011668891.1	1_24161	34.199	231	4.1500000000000004e-35	135.0	XP_063966084	XP_063966084	Unmapped	XP_063966084	XP_063966084	Unmapped	XP_063966084	XP_063966084	Unmapped
XP_011668891.1	1_24261	35.065	231	5.38e-35	136.0	XP_063966184	XP_063966184	OG0005847	XP_063966184	XP_063966184	OG0005847	XP_063966184	XP_063966184	OG0005847
XP_011668891.1	1_24260	35.065	231	5.38e-35	136.0	XP_063966183	XP_063966183	OG0005847	XP_063966183	XP_063966183	OG0005847	XP_063966183	XP_063966183	OG0005847
