s1g	s1gp	s1chr	s1gi	s2g	s2gp	s2chr	s2gi	clg
HOLleu_00023	439036	Hchr1	3	MGLB11706	15933115	scaffold_3	161	.
HOLleu_00539	11323341	Hchr1	56	MGLB11447	80388596	scaffold_3	931	.
HOLleu_01289	25151889	Hchr1	77	MGLB11834	80394169	scaffold_3	932	.
HOLleu_01722	33090979	Hchr1	105	MGLB11113	80538349	scaffold_3	936	.
HOLleu_03300	68232573	Hchr1	199	MGLB11969	53767152	scaffold_3	596	.
HOLleu_03482	70946285	Hchr1	203	MGLB11870	42704746	scaffold_3	475	.
HOLleu_03985	83622209	Hchr1	232	MGLB12422	58820941	scaffold_3	652	R
HOLleu_00898	17627362	Hchr1	67	MGLB17272	54193708	scaffold_1	1654	.
HOLleu_01392	27042695	Hchr1	87	MGLB16525	52348028	scaffold_1	1632	.
HOLleu_01650	31869925	Hchr1	101	MGLB16652	53994506	scaffold_1	1653	.
HOLleu_02067	40208282	Hchr1	121	MGLB16730	22715425	scaffold_1	1242	.
HOLleu_03983	83587369	Hchr1	231	MGLB16065	42125018	scaffold_1	1507	.
HOLleu_04347	93605457	Hchr1	264	MGLB16924	1421983	scaffold_1	984	.
HOLleu_04509	97595927	Hchr1	273	MGLB16789	28956835	scaffold_1	1319	.
HOLleu_00118	2596189	Hchr1	15	MGLB19158	36105616	scaffold_2	2121	R
HOLleu_00615	12527974	Hchr1	59	MGLB19722	8954541	scaffold_2	1829	R
HOLleu_00732	14382281	Hchr1	61	MGLB18967	8029639	scaffold_2	1818	.
HOLleu_01252	24708230	Hchr1	74	MGLB19325	45899581	scaffold_2	2224	.
HOLleu_02034	39524033	Hchr1	119	MGLB19256	11407608	scaffold_2	1852	.
HOLleu_02110	40850982	Hchr1	125	MGLB19461	8280560	scaffold_2	1820	.
HOLleu_02515	51710132	Hchr1	148	MGLB19852	38456868	scaffold_2	2144	.
HOLleu_02663	55806358	Hchr1	170	MGLB19973	49632635	scaffold_2	2259	.
HOLleu_03078	64861687	Hchr1	195	MGLB19622	20136003	scaffold_2	1955	R
HOLleu_02282	44877376	Hchr1	137	MGLB04807	3005911	scaffold_4	2303	.
HOLleu_02726	57647889	Hchr1	180	MGLB04954	199928	scaffold_4	2272	.
HOLleu_03047	64261021	Hchr1	193	MGLB06029	10242280	scaffold_5	2831	.
HOLleu_03704	77409300	Hchr1	223	MGLB05970	26257525	scaffold_5	2988	.
HOLleu_00371	7966430	Hchr1	43	MGLB07742	28453523	scaffold_6	3552	R
HOLleu_00496	10205470	Hchr1	51	MGLB07179	14884917	scaffold_6	3370	.
HOLleu_02520	51886538	Hchr1	151	MGLB07711	25851559	scaffold_6	3513	R
HOLleu_02843	60404310	Hchr1	183	MGLB07542	26685008	scaffold_6	3525	.
HOLleu_04245	91090422	Hchr1	256	MGLB08014	37181142	scaffold_6	3640	.
HOLleu_04346	93592816	Hchr1	263	MGLB07052	24392867	scaffold_6	3499	.
HOLleu_00789	15682838	Hchr1	62	MGLB09155	2285324	scaffold_7	3740	.
HOLleu_01094	21905183	Hchr1	73	MGLB08425	40761449	scaffold_7	4269	.
HOLleu_02685	56437130	Hchr1	173	MGLB08964	19608781	scaffold_7	3984	R
HOLleu_03075	64729204	Hchr1	194	MGLB08531	18529975	scaffold_7	3965	.
HOLleu_00033	606988	Hchr1	4	MGLB01087	17257987	scaffold_8	4493	.
HOLleu_00169	3806375	Hchr1	23	MGLB00915	39235808	scaffold_8	4741	.
HOLleu_03094	65114196	Hchr1	196	MGLB00757	4733429	scaffold_8	4342	.
HOLleu_03245	67355847	Hchr1	197	MGLB01184	26116440	scaffold_8	4602	R
HOLleu_04590	100089676	Hchr1	282	MGLB00694	8329347	scaffold_8	4381	.
HOLleu_00656	13445015	Hchr1	60	MGLB02081	30220421	scaffold_14	5058	.
