qseqid	sseqid	pident	length	evalue	bitscore	extra0	extra1	extra2	extra3	extra4	extra5	gene_id_raw	gene_id_norm	orthogroup
qseqid	sseqid	pident	length	evalue	bitscore	extra0	extra1	extra2	gene_id_raw	gene_id_norm	orthogroup	Unmapped	Unmapped	Unmapped
qseqid	sseqid	pident	length	evalue	bitscore	gene_id_raw	gene_id_norm	orthogroup	Unmapped	Unmapped	Unmapped	Unmapped	Unmapped	Unmapped
NP_001073010.1	5_37	100.0	440	0.0	900.0	Spurp_NP_001073010	Spurp_NP_001073010	OG0011261	Spurp_NP_001073010	Spurp_NP_001073010	OG0011261	Spurp_NP_001073010	Spurp_NP_001073010	OG0011261
NP_001073010.1	5_368	70.37	108	1.22e-52	181.0	Spurp_NP_999797	Spurp_NP_999797	OG0012192	Spurp_NP_999797	Spurp_NP_999797	OG0012192	Spurp_NP_999797	Spurp_NP_999797	OG0012192
NP_001073010.1	5_1938	63.636	110	5.07e-49	171.0	Spurp_XP_003727565	Spurp_XP_003727565	OG0010915	Spurp_XP_003727565	Spurp_XP_003727565	OG0010915	Spurp_XP_003727565	Spurp_XP_003727565	OG0010915
NP_001073010.1	5_1990	66.304	92	4.68e-39	148.0	Spurp_XP_003727782	Spurp_XP_003727782	OG0005134	Spurp_XP_003727782	Spurp_XP_003727782	OG0005134	Spurp_XP_003727782	Spurp_XP_003727782	OG0005134
NP_001073010.1	5_1248	60.204	98	7.4e-37	140.0	Spurp_XP_003724544	Spurp_XP_003724544	OG0010751	Spurp_XP_003724544	Spurp_XP_003724544	OG0010751	Spurp_XP_003724544	Spurp_XP_003724544	OG0010751
NP_001073010.1	5_1989	50.34	147	1.16e-36	140.0	Spurp_XP_003727781	Spurp_XP_003727781	OG0010277	Spurp_XP_003727781	Spurp_XP_003727781	OG0010277	Spurp_XP_003727781	Spurp_XP_003727781	OG0010277
NP_001073010.1	5_5356	55.0	100	5.96e-35	133.0	Spurp_XP_011676224	Spurp_XP_011676224	OG0001157	Spurp_XP_011676224	Spurp_XP_011676224	OG0001157	Spurp_XP_011676224	Spurp_XP_011676224	OG0001157
NP_001073010.1	5_10546	52.778	108	5.38e-34	132.0	Spurp_XP_030831561	Spurp_XP_030831561	OG0006651	Spurp_XP_030831561	Spurp_XP_030831561	OG0006651	Spurp_XP_030831561	Spurp_XP_030831561	OG0006651
NP_001073010.1	5_133	51.327	113	4.08e-31	125.0	Spurp_NP_001123284	Spurp_NP_001123284	OG0012145	Spurp_NP_001123284	Spurp_NP_001123284	OG0012145	Spurp_NP_001123284	Spurp_NP_001123284	OG0012145
NP_001073010.1	5_21433	40.881	159	5.74e-28	116.0	Spurp_XP_030842448	Spurp_XP_030842448	OG0010618	Spurp_XP_030842448	Spurp_XP_030842448	OG0010618	Spurp_XP_030842448	Spurp_XP_030842448	OG0010618
NP_001073010.1	5_40	50.0	94	8.02e-26	110.0	Spurp_NP_001073013	Spurp_NP_001073013	OG0008119	Spurp_NP_001073013	Spurp_NP_001073013	OG0008119	Spurp_NP_001073013	Spurp_NP_001073013	OG0008119
NP_001073010.1	5_899	51.648	91	2.16e-25	108.0	Spurp_XP_001200755	Spurp_XP_001200755	OG0012197	Spurp_XP_001200755	Spurp_XP_001200755	OG0012197	Spurp_XP_001200755	Spurp_XP_001200755	OG0012197
NP_001073010.1	5_37554	47.17	106	5.3599999999999995e-25	108.0	Spurp_XP_793339	Spurp_XP_793339	OG0010800	Spurp_XP_793339	Spurp_XP_793339	OG0010800	Spurp_XP_793339	Spurp_XP_793339	OG0010800
