s1chr	s2chr	s1tot	s2tot	n	fishp	padj	scol	s1g	s1gp	s1gi	s2g	s2gp	s2gi	clg
spur5_scaffold_1	Scaffold_174	129	828	127	1.22732750570432e-122	8.34582703878939e-121	S	LOC105441149	1366962	763	PL10290	54035298	512	NA
spur5_scaffold_1	Scaffold_174	129	828	127	1.22732750570432e-122	8.34582703878939e-121	S	LOC591795	1697037	764	PL10142	54140237	513	A
spur5_scaffold_1	Scaffold_174	129	828	127	1.22732750570432e-122	8.34582703878939e-121	S	LOC578158	1726405	765	PL08826	54175657	514	D
spur5_scaffold_1	Scaffold_174	129	828	127	1.22732750570432e-122	8.34582703878939e-121	S	LOC588120	1737195	766	PL08474	54213910	515	A
spur5_scaffold_1	Scaffold_174	129	828	127	1.22732750570432e-122	8.34582703878939e-121	S	LOC589823	1751185	767	PL09654	54240395	516	NA
spur5_scaffold_1	Scaffold_174	129	828	127	1.22732750570432e-122	8.34582703878939e-121	S	LOC100891894	1865032	768	PL09068	54298603	517	NA
spur5_scaffold_1	Scaffold_174	129	828	127	1.22732750570432e-122	8.34582703878939e-121	S	LOC105446252	1875061	769	PL10682	54324294	518	NA
spur5_scaffold_1	Scaffold_174	129	828	127	1.22732750570432e-122	8.34582703878939e-121	S	LOC764793	2143962	770	PL09494	54591604	519	NA
spur5_scaffold_1	Scaffold_174	129	828	127	1.22732750570432e-122	8.34582703878939e-121	S	LOC100888534	2164943	771	PL08365	54607429	520	NA
spur5_scaffold_1	Scaffold_174	129	828	127	1.22732750570432e-122	8.34582703878939e-121	S	LOC755739	2490963	772	PL10010	54778929	523	A
spur5_scaffold_1	Scaffold_174	129	828	127	1.22732750570432e-122	8.34582703878939e-121	S	LOC100888800	2589454	773	PL08740	54719038	522	NA
spur5_scaffold_1	Scaffold_174	129	828	127	1.22732750570432e-122	8.34582703878939e-121	S	LOC100888664	2624494	774	PL08755	54675259	521	NA
spur5_scaffold_1	Scaffold_174	129	828	127	1.22732750570432e-122	8.34582703878939e-121	S	LOC582195	2799214	775	PL09885	55409554	530	NA
spur5_scaffold_1	Scaffold_174	129	828	127	1.22732750570432e-122	8.34582703878939e-121	S	LOC105438467	3394119	776	PL09418	42157853	369	I
spur5_scaffold_1	Scaffold_174	129	828	127	1.22732750570432e-122	8.34582703878939e-121	S	LOC591116	3420957	777	PL10039	42127337	368	A
spur5_scaffold_1	Scaffold_174	129	828	127	1.22732750570432e-122	8.34582703878939e-121	S	LOC594598	3435834	778	PL11256	42097303	367	NA
spur5_scaffold_1	Scaffold_174	129	828	127	1.22732750570432e-122	8.34582703878939e-121	S	LOC100889626	3746682	779	PL10894	54987763	524	P
spur5_scaffold_1	Scaffold_174	129	828	127	1.22732750570432e-122	8.34582703878939e-121	S	LOC585040	3946275	780	PL11285	55180331	525	A
spur5_scaffold_1	Scaffold_174	129	828	127	1.22732750570432e-122	8.34582703878939e-121	S	LOC100890243	4033745	781	PL08923	55267474	526	NA
spur5_scaffold_1	Scaffold_174	129	828	127	1.22732750570432e-122	8.34582703878939e-121	S	LOC589364	4039665	782	PL10081	55275349	527	L
spur5_scaffold_1	Scaffold_174	129	828	127	1.22732750570432e-122	8.34582703878939e-121	S	LOC577495	4086468	783	PL09175	55309346	528	L
spur5_scaffold_1	Scaffold_174	129	828	127	1.22732750570432e-122	8.34582703878939e-121	S	LOC100890599	4099970	784	PL10910	55345231	529	NA
spur5_scaffold_1	Scaffold_174	129	828	127	1.22732750570432e-122	8.34582703878939e-121	S	LOC754353	4366584	785	PL08925	41651078	366	C2
spur5_scaffold_1	Scaffold_174	129	828	127	1.22732750570432e-122	8.34582703878939e-121	S	LOC581667	6649087	786	PL09746	32957088	319	NA
spur5_scaffold_1	Scaffold_174	129	828	127	1.22732750570432e-122	8.34582703878939e-121	S	LOC580821	8450142	787	PL10226	32545442	318	B1
spur5_scaffold_1	Scaffold_174	129	828	127	1.22732750570432e-122	8.34582703878939e-121	S	LOC580703	8473622	788	PL09074	32500555	317	C2
spur5_scaffold_1	Scaffold_174	129	828	127	1.22732750570432e-122	8.34582703878939e-121	S	LOC580647	8491592	789	PL11119	32495191	316	A
spur5_scaffold_1	Scaffold_174	129	828	127	1.22732750570432e-122	8.34582703878939e-121	S	LOC587814	8591326	790	PL10632	32351136	315	A
spur5_scaffold_1	Scaffold_174	129	828	127	1.22732750570432e-122	8.34582703878939e-121	S	LOC574962	9115903	791	PL09055	31605292	311	A
spur5_scaffold_1	Scaffold_174	129	828	127	1.22732750570432e-122	8.34582703878939e-121	S	LOC574891	9141786	792	PL09564	31566767	310	A
spur5_scaffold_1	Scaffold_174	129	828	127	1.22732750570432e-122	8.34582703878939e-121	S	LOC590852	9217766	793	PL09323	31633874	312	NA
spur5_scaffold_1	Scaffold_174	129	828	127	1.22732750570432e-122	8.34582703878939e-121	S	LOC115920893	9327033	794	PL08641	31519831	309	NA
spur5_scaffold_1	Scaffold_174	129	828	127	1.22732750570432e-122	8.34582703878939e-121	S	LOC589961	9472821	795	PL09480	31512437	308	A
spur5_scaffold_1	Scaffold_174	129	828	127	1.22732750570432e-122	8.34582703878939e-121	S	LOC592464	9617176	796	PL10508	31776530	313	F
spur5_scaffold_1	Scaffold_174	129	828	127	1.22732750570432e-122	8.34582703878939e-121	S	LOC577981	9667718	797	PL10470	31803800	314	NA
spur5_scaffold_1	Scaffold_174	129	828	127	1.22732750570432e-122	8.34582703878939e-121	S	LOC100888602	9719077	798	PL10314	31195649	307	J1
spur5_scaffold_1	Scaffold_174	129	828	127	1.22732750570432e-122	8.34582703878939e-121	S	LOC587653	9884929	800	PL09904	31084496	305	G
