s1chr	s2chr	s1tot	s2tot	n	fishp	padj	scol	s1g	s1gp	s1gi	s2g	s2gp	s2gi	clg
spur5_scaffold_1	chr1	365	1263	1	1	1	NS	XP_030834198	46048600	1487	XP_041462328	38823148	475	NA
spur5_scaffold_1	chr10	365	563	3	0.999994806591208	1	NS	XP_030834462	21314018	1308	XP_041473864	19778393	7467	NA
spur5_scaffold_1	chr10	365	563	3	0.999994806591208	1	NS	XP_030834849	35889025	1418	XP_041473190	32806627	7769	NA
spur5_scaffold_1	chr10	365	563	3	0.999994806591208	1	NS	XP_030834203	46330382	1490	XP_041474506	27474339	7642	NA
spur5_scaffold_1	chr11	365	464	1	0.999999427124218	1	NS	XP_011669474	33655001	1402	XP_041475986	1111227	7865	NA
spur5_scaffold_1	chr12	365	569	1	0.999999976065747	1	NS	XP_030834672	43419692	1460	XP_041477327	29348232	8826	NA
spur5_scaffold_1	chr13	365	403	1	0.99999632918921	1	NS	XP_030834295	50493442	1515	XP_041479244	16384864	9186	NA
spur5_scaffold_1	chr14	365	454	4	0.999512984572752	1	NS	XP_030833354	2659365	1177	XP_041480507	20621342	9756	NA
spur5_scaffold_1	chr14	365	454	4	0.999512984572752	1	NS	XP_030833570	2746418	1178	XP_041479537	21255845	9760	NA
spur5_scaffold_1	chr14	365	454	4	0.999512984572752	1	NS	XP_030834470	21829586	1309	XP_041480543	482948	9448	NA
spur5_scaffold_1	chr14	365	454	4	0.999512984572752	1	NS	XP_030834788	51643106	1517	XP_041480575	27858644	9872	NA
spur5_scaffold_1	chr15	365	469	2	0.999992108107231	1	NS	XP_030834348	6261308	1206	XP_041481853	11647893	10116	NA
spur5_scaffold_1	chr15	365	469	2	0.999992108107231	1	NS	XP_030834396	13971902	1266	XP_041481418	27211207	10311	NA
spur5_scaffold_1	chr16	365	481	2	0.999994385418554	1	NS	XP_030834804	532937	1158	XP_041483378	2665854	10473	NA
spur5_scaffold_1	chr16	365	481	2	0.999994385418554	1	NS	XP_030834382	11922525	1254	XP_041483369	2111543	10465	NA
spur5_scaffold_1	chr19	365	306	5	0.957907070822452	1	NS	XP_030834355	7533889	1213	XP_041453148	105496	11772	NA
spur5_scaffold_1	chr19	365	306	5	0.957907070822452	1	NS	XP_011662490	19064451	1299	XP_041453008	13691849	11987	NA
spur5_scaffold_1	chr19	365	306	5	0.957907070822452	1	NS	XP_030834498	24481158	1331	XP_041453154	883022	11779	NA
spur5_scaffold_1	chr19	365	306	5	0.957907070822452	1	NS	XP_030834555	32394270	1386	XP_041453138	4652891	11826	NA
spur5_scaffold_1	chr19	365	306	5	0.957907070822452	1	NS	XP_030834598	35708140	1417	XP_041452603	8448999	11905	NA
spur5_scaffold_1	chr2	365	1300	4	0.99999999999984	1	NS	XP_003730207	3006013	1180	XP_041457113	82839581	2654	NA
spur5_scaffold_1	chr2	365	1300	4	0.99999999999984	1	NS	XP_011681664	9658011	1231	XP_041456100	64203297	2190	NA
spur5_scaffold_1	chr2	365	1300	4	0.99999999999984	1	NS	XP_030834513	26295061	1337	XP_041453633	44958043	1872	NA
spur5_scaffold_1	chr2	365	1300	4	0.99999999999984	1	NS	XP_030834129	42975206	1459	XP_041455390	44408025	1870	NA
spur5_scaffold_1	chr3	365	1154	1	0.999999999999999	1	NS	XP_030834290	49982912	1513	XP_041460994	74623553	3938	NA
spur5_scaffold_1	chr4	365	551	5	0.999793135794993	1	NS	XP_030833439	6529041	1207	XP_041461144	699572	3942	NA
