qseqid	sseqid	pident	length	evalue	bitscore	extra0	extra1	extra2	extra3	extra4	extra5	gene_id_raw	gene_id_norm	orthogroup
qseqid	sseqid	pident	length	evalue	bitscore	extra0	extra1	extra2	gene_id_raw	gene_id_norm	orthogroup	Unmapped	Unmapped	Unmapped
qseqid	sseqid	pident	length	evalue	bitscore	gene_id_raw	gene_id_norm	orthogroup	Unmapped	Unmapped	Unmapped	Unmapped	Unmapped	Unmapped
NP_001116986.2	5_103	99.752	805	0.0	1607.0	Spurp_NP_001116986	Spurp_NP_001116986	OG0007238	Spurp_NP_001116986	Spurp_NP_001116986	OG0007238	Spurp_NP_001116986	Spurp_NP_001116986	OG0007238
NP_001116986.2	5_5321	99.626	803	0.0	1601.0	Spurp_XP_011675956	Spurp_XP_011675956	OG0007238	Spurp_XP_011675956	Spurp_XP_011675956	OG0007238	Spurp_XP_011675956	Spurp_XP_011675956	OG0007238
NP_001116986.2	5_22007	98.882	805	0.0	1593.0	Spurp_XP_030843022	Spurp_XP_030843022	OG0007238	Spurp_XP_030843022	Spurp_XP_030843022	OG0007238	Spurp_XP_030843022	Spurp_XP_030843022	OG0007238
NP_001116986.2	5_22008	98.509	805	0.0	1582.0	Spurp_XP_030843023	Spurp_XP_030843023	OG0007238	Spurp_XP_030843023	Spurp_XP_030843023	OG0007238	Spurp_XP_030843023	Spurp_XP_030843023	OG0007238
NP_001116986.2	5_21968	45.859	495	7.930000000000001e-122	394.0	Spurp_XP_030842983	Spurp_XP_030842983	OG0001989	Spurp_XP_030842983	Spurp_XP_030842983	OG0001989	Spurp_XP_030842983	Spurp_XP_030842983	OG0001989
NP_001116986.2	5_21968	40.94	149	1.09e-30	130.0	Spurp_XP_030842983	Spurp_XP_030842983	OG0001989	Spurp_XP_030842983	Spurp_XP_030842983	OG0001989	Spurp_XP_030842983	Spurp_XP_030842983	OG0001989
NP_001116986.2	5_21969	45.859	495	8.880000000000001e-122	394.0	Spurp_XP_030842984	Spurp_XP_030842984	OG0001989	Spurp_XP_030842984	Spurp_XP_030842984	OG0001989	Spurp_XP_030842984	Spurp_XP_030842984	OG0001989
NP_001116986.2	5_22004	46.061	495	1.49e-121	394.0	Spurp_XP_030843019	Spurp_XP_030843019	OG0001989	Spurp_XP_030843019	Spurp_XP_030843019	OG0001989	Spurp_XP_030843019	Spurp_XP_030843019	OG0001989
NP_001116986.2	5_22004	40.94	149	1.01e-30	130.0	Spurp_XP_030843019	Spurp_XP_030843019	OG0001989	Spurp_XP_030843019	Spurp_XP_030843019	OG0001989	Spurp_XP_030843019	Spurp_XP_030843019	OG0001989
NP_001116986.2	5_22003	46.061	495	1.6e-121	394.0	Spurp_XP_030843018	Spurp_XP_030843018	OG0001989	Spurp_XP_030843018	Spurp_XP_030843018	OG0001989	Spurp_XP_030843018	Spurp_XP_030843018	OG0001989
NP_001116986.2	5_22003	40.94	149	1.01e-30	130.0	Spurp_XP_030843018	Spurp_XP_030843018	OG0001989	Spurp_XP_030843018	Spurp_XP_030843018	OG0001989	Spurp_XP_030843018	Spurp_XP_030843018	OG0001989
NP_001116986.2	5_21967	45.859	495	1.63e-121	394.0	Spurp_XP_030842982	Spurp_XP_030842982	OG0001989	Spurp_XP_030842982	Spurp_XP_030842982	OG0001989	Spurp_XP_030842982	Spurp_XP_030842982	OG0001989
NP_001116986.2	5_21967	40.94	149	9.570000000000001e-31	131.0	Spurp_XP_030842982	Spurp_XP_030842982	OG0001989	Spurp_XP_030842982	Spurp_XP_030842982	OG0001989	Spurp_XP_030842982	Spurp_XP_030842982	OG0001989
