qseqid	sseqid	pident	length	evalue	bitscore	extra0	extra1	extra2	extra3	extra4	extra5	gene_id_raw	gene_id_norm	orthogroup
qseqid	sseqid	pident	length	evalue	bitscore	extra0	extra1	extra2	gene_id_raw	gene_id_norm	orthogroup	Unmapped	Unmapped	Unmapped
qseqid	sseqid	pident	length	evalue	bitscore	gene_id_raw	gene_id_norm	orthogroup	Unmapped	Unmapped	Unmapped	Unmapped	Unmapped	Unmapped
XP_072176746.1	5_37579	80.941	2424	0.0	4203.0	Spurp_XP_793564	Spurp_XP_793564	OG0011363	Spurp_XP_793564	Spurp_XP_793564	OG0011363	Spurp_XP_793564	Spurp_XP_793564	OG0011363
XP_072176746.1	5_15244	31.662	1137	8.000000000000001e-144	503.0	Spurp_XP_030836259	Spurp_XP_030836259	OG0009864	Spurp_XP_030836259	Spurp_XP_030836259	OG0009864	Spurp_XP_030836259	Spurp_XP_030836259	OG0009864
XP_072176746.1	5_193	31.574	1137	3.02e-143	501.0	Spurp_NP_001239013	Spurp_NP_001239013	OG0009864	Spurp_NP_001239013	Spurp_NP_001239013	OG0009864	Spurp_NP_001239013	Spurp_NP_001239013	OG0009864
XP_072176746.1	5_19182	26.636	1100	9.88e-84	308.0	Spurp_XP_030840197	Spurp_XP_030840197	OG0000867	Spurp_XP_030840197	Spurp_XP_030840197	OG0000867	Spurp_XP_030840197	Spurp_XP_030840197	OG0000867
XP_072176746.1	5_19182	28.302	530	6.15e-31	135.0	Spurp_XP_030840197	Spurp_XP_030840197	OG0000867	Spurp_XP_030840197	Spurp_XP_030840197	OG0000867	Spurp_XP_030840197	Spurp_XP_030840197	OG0000867
XP_072176746.1	5_4304	29.375	320	6.230000000000001e-26	114.0	Spurp_XP_011669531	Spurp_XP_011669531	OG0010866	Spurp_XP_011669531	Spurp_XP_011669531	OG0010866	Spurp_XP_011669531	Spurp_XP_011669531	OG0010866
XP_072176746.1	5_9481	29.524	315	6.9799999999999995e-25	111.0	Spurp_XP_030830496	Spurp_XP_030830496	Unmapped	Spurp_XP_030830496	Spurp_XP_030830496	Unmapped	Spurp_XP_030830496	Spurp_XP_030830496	Unmapped
XP_072176746.1	5_17347	28.372	215	1.06e-18	90.5	Spurp_XP_030838362	Spurp_XP_030838362	OG0001943	Spurp_XP_030838362	Spurp_XP_030838362	OG0001943	Spurp_XP_030838362	Spurp_XP_030838362	OG0001943
XP_072176746.1	5_17346	28.372	215	1.06e-18	90.5	Spurp_XP_030838361	Spurp_XP_030838361	OG0001943	Spurp_XP_030838361	Spurp_XP_030838361	OG0001943	Spurp_XP_030838361	Spurp_XP_030838361	OG0001943
XP_072176746.1	5_33258	26.645	304	1.83e-18	90.1	Spurp_XP_030854273	Spurp_XP_030854273	OG0001868	Spurp_XP_030854273	Spurp_XP_030854273	OG0001868	Spurp_XP_030854273	Spurp_XP_030854273	OG0001868
XP_072176746.1	5_33257	26.645	304	1.83e-18	90.1	Spurp_XP_030854272	Spurp_XP_030854272	OG0001868	Spurp_XP_030854272	Spurp_XP_030854272	OG0001868	Spurp_XP_030854272	Spurp_XP_030854272	OG0001868
XP_072176746.1	5_6323	26.645	304	1.86e-18	93.2	Spurp_XP_011681651	Spurp_XP_011681651	Unmapped	Spurp_XP_011681651	Spurp_XP_011681651	Unmapped	Spurp_XP_011681651	Spurp_XP_011681651	Unmapped
XP_072176746.1	5_30309	27.049	366	4.94e-17	86.3	Spurp_XP_030851324	Spurp_XP_030851324	OG0006481	Spurp_XP_030851324	Spurp_XP_030851324	OG0006481	Spurp_XP_030851324	Spurp_XP_030851324	OG0006481
