qseqid	sseqid	pident	length	evalue	bitscore	extra0	extra1	extra2	extra3	extra4	extra5	gene_id_raw	gene_id_norm	orthogroup
qseqid	sseqid	pident	length	evalue	bitscore	extra0	extra1	extra2	gene_id_raw	gene_id_norm	orthogroup	Unmapped	Unmapped	Unmapped
qseqid	sseqid	pident	length	evalue	bitscore	gene_id_raw	gene_id_norm	orthogroup	Unmapped	Unmapped	Unmapped	Unmapped	Unmapped	Unmapped
NP_999775.2	4_28185	56.627	249	4.17e-84	258	PL38349	PL38349	OG0002221	PL38349	PL38349	OG0002221	PL38349	PL38349	OG0002221
NP_999775.2	4_28256	73.184	179	1.37e-82	255	PL38447	PL38447	OG0002221	PL38447	PL38447	OG0002221	PL38447	PL38447	OG0002221
sp|Q26264.1|SM41_HEMPU	4_28185	60.166	241	1.49e-87	265	PL38349	PL38349	OG0002221	PL38349	PL38349	OG0002221	PL38349	PL38349	OG0002221
sp|Q26264.1|SM41_HEMPU	4_28256	75.287	174	1.09e-84	259	PL38447	PL38447	OG0002221	PL38447	PL38447	OG0002221	PL38447	PL38447	OG0002221
UCJ01502.1	4_28256	98.113	212	7.729999999999999e-147	411	PL38447	PL38447	OG0002221	PL38447	PL38447	OG0002221	PL38447	PL38447	OG0002221
UCJ01502.1	4_28185	61.304	230	2.6100000000000003e-86	256	PL38349	PL38349	OG0002221	PL38349	PL38349	OG0002221	PL38349	PL38349	OG0002221
XP_041452707.1	4_28185	60.829	217	2.66e-79	241	PL38349	PL38349	OG0002221	PL38349	PL38349	OG0002221	PL38349	PL38349	OG0002221
XP_041452707.1	4_28256	63.934	183	5.86e-69	216	PL38447	PL38447	OG0002221	PL38447	PL38447	OG0002221	PL38447	PL38447	OG0002221
sp|Q05904.1|SM34_LYTPI	4_28185	55.556	234	3.91e-74	229	PL38349	PL38349	OG0002221	PL38349	PL38349	OG0002221	PL38349	PL38349	OG0002221
sp|Q05904.1|SM34_LYTPI	4_28256	59.563	183	2.01e-63	202	PL38447	PL38447	OG0002221	PL38447	PL38447	OG0002221	PL38447	PL38447	OG0002221
XP_071496520.1	4_28185	56.846	241	1.61e-75	230	PL38349	PL38349	OG0002221	PL38349	PL38349	OG0002221	PL38349	PL38349	OG0002221
XP_071496520.1	4_28256	61.29	186	1.0900000000000001e-64	204	PL38447	PL38447	OG0002221	PL38447	PL38447	OG0002221	PL38447	PL38447	OG0002221
