s1chr	s2chr	s1tot	s2tot	n	fishp	padj	scol	s1g	s1gp	s1gi	s2g	s2gp	s2gi	clg
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL03165	1267520	1760	MGLB20507	9087066	3494	L
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL03417	1372900	1761	MGLB20512	9017313	3493	L
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL03560	1770966	1762	MGLB20594	30659501	3620	L
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL02426	1954169	1763	MGLB20409	30503645	3619	L
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL02222	2031050	1764	MGLB20498	30442085	3618	L
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL02557	2088483	1765	MGLB20866	30146377	3617	L
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL03049	2343667	1766	MGLB20818	30011786	3616	L
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL03628	2403490	1767	MGLB20615	29742572	3613	L
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL02467	2492846	1768	MGLB20721	29879283	3614	L
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL02213	2568713	1769	MGLB20377	29966463	3615	-
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL02443	2587186	1770	MGLB20765	29699818	3612	L
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL02278	2619887	1771	MGLB20459	35952476	3637	L
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL03045	2961645	1772	MGLB20847	3751585	3462	L
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL02317	3332136	1773	MGLB20648	13163568	3519	L
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL03518	3510590	1774	MGLB20250	7554624	3484	L
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL03004	3558723	1775	MGLB20353	7466956	3483	L
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL02019	3658095	1776	MGLB20448	7420038	3482	L
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL02079	3679628	1777	MGLB20374	7412092	3481	L
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL02539	3705882	1778	MGLB20769	7380386	3480	-
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL02206	3832194	1779	MGLB20173	24119961	3577	L
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL02797	3850713	1780	MGLB20768	24138217	3578	L
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL03584	4400549	1781	MGLB20896	24499203	3579	L
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL03710	4863973	1782	MGLB20281	24889038	3580	L
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL03545	4876460	1783	MGLB20444	24910816	3581	L
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL02352	4910431	1784	MGLB20787	24964983	3582	L
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL02320	4927604	1785	MGLB20279	24985316	3583	-
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL02704	5524853	1786	MGLB20660	25286149	3584	-
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL02651	5562480	1787	MGLB20287	25348711	3585	-
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL03371	5576895	1788	MGLB20407	25368297	3586	-
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL02247	6296344	1789	MGLB20335	33330920	3630	L
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL03976	6382709	1790	MGLB20738	33439348	3631	-
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL02691	6875200	1791	MGLB20937	34068841	3632	L
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL03480	7016311	1792	MGLB20420	7334666	3479	L
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL03992	7916200	1793	MGLB20519	34356389	3633	L
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL03196	7968242	1794	MGLB20969	34447458	3634	L
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL03413	8880837	1795	MGLB20980	27733734	3595	L
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL02399	8915412	1796	MGLB20693	27693610	3594	L
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL03695	8929571	1797	MGLB20205	27683082	3593	L
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL02218	8935873	1798	MGLB20947	27664718	3592	L
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL02277	8948806	1799	MGLB20733	27657405	3591	L
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL02217	8958498	1800	MGLB20640	27639442	3590	L
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL02388	9513467	1801	MGLB20858	12291068	3515	L
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL02258	9545228	1802	MGLB20504	12215604	3514	L
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL02845	9641310	1803	MGLB20465	12091737	3513	-
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL02624	10127663	1804	MGLB20743	7606173	3485	L
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL03236	10280273	1805	MGLB20467	13387456	3520	L
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL02370	10369553	1806	MGLB20902	9190004	3496	-
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL03517	10413793	1807	MGLB20582	9211338	3497	L
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL03272	10434088	1808	MGLB21006	9241934	3498	L
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL03107	10586989	1809	MGLB20649	9418710	3499	L
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL03914	11069014	1810	MGLB20588	13607348	3522	L
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL02397	11090311	1811	MGLB20957	13581922	3521	-
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL02960	11194855	1812	MGLB20837	3995849	3464	L
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL03504	11255795	1813	MGLB20730	3919898	3463	L
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL03664	11477553	1814	MGLB20968	27282528	3589	L
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL03815	11713923	1815	MGLB20956	11961162	3512	L
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL03443	11732492	1816	MGLB20212	11945628	3511	L
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL03421	11748972	1817	MGLB20323	11915366	3510	L
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL02885	11763356	1818	MGLB20542	23728302	3575	L
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL03660	11783042	1819	MGLB20634	23757802	3576	L
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL02660	12107367	1820	MGLB20874	35371845	3636	L
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL02708	12134120	1821	MGLB20848	35335097	3635	L
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL02088	12162901	1822	MGLB20307	29020651	3604	L
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL03877	12180869	1823	MGLB20394	28974196	3603	-
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL03708	12196473	1824	MGLB20893	28968607	3602	-
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL02982	12205322	1825	MGLB20342	28893304	3601	L
Scaffold_1721	scaffold_13	183	187	183	3.31023982713635e-322	1.68822231183954e-320	S	PL03029	13254348	1826	MGLB20552	27893535	3596	L
