s1chr	s2chr	s1tot	s2tot	n	fishp	padj	scol	s1g	s1gp	s1gi	s2g	s2gp	s2gi	clg
scaffold_1	Chr01	1008	1423	1	1	1	NS	MGLB16872	45793568	2217	evm.model.Chr01.1659	59795851	1088	NA
scaffold_1	Chr02	1008	1012	998	0	0	S	MGLB16045	66233	1423	evm.model.Chr02.1711	58064800	2519	A1
scaffold_1	Chr02	1008	1012	998	0	0	S	MGLB16240	276419	1424	evm.model.Chr02.1707	57875778	2518	A1
scaffold_1	Chr02	1008	1012	998	0	0	S	MGLB16288	400382	1425	evm.model.Chr02.1706	57746775	2517	C1
scaffold_1	Chr02	1008	1012	998	0	0	S	MGLB17237	470299	1426	evm.model.Chr02.1705	57607595	2516	A1
scaffold_1	Chr02	1008	1012	998	0	0	S	MGLB16203	607640	1427	evm.model.Chr02.1701	57469127	2515	NA
scaffold_1	Chr02	1008	1012	998	0	0	S	MGLB16380	765920	1428	evm.model.Chr02.1697	57386988	2514	NA
scaffold_1	Chr02	1008	1012	998	0	0	S	MGLB17028	814115	1429	evm.model.Chr02.1696	57355638	2513	NA
scaffold_1	Chr02	1008	1012	998	0	0	S	MGLB16629	845075	1430	evm.model.Chr02.1695	57272402	2512	NA
scaffold_1	Chr02	1008	1012	998	0	0	S	MGLB16197	939955	1431	evm.model.Chr02.1693	57156493	2511	NA
scaffold_1	Chr02	1008	1012	998	0	0	S	MGLB16610	1108844	1432	evm.model.Chr02.1692	57055598	2510	NA
scaffold_1	Chr02	1008	1012	998	0	0	S	MGLB17268	1133851	1433	evm.model.Chr02.1691	57000871	2509	NA
scaffold_1	Chr02	1008	1012	998	0	0	S	MGLB16292	1187282	1434	evm.model.Chr02.1690	56971300	2508	A1
scaffold_1	Chr02	1008	1012	998	0	0	S	MGLB17033	1240508	1435	evm.model.Chr02.1688.1.674e0700	56855889	2507	NA
scaffold_1	Chr02	1008	1012	998	0	0	S	MGLB17275	1404466	1436	evm.model.Chr02.1686	56766129	2506	NA
scaffold_1	Chr02	1008	1012	998	0	0	S	MGLB16924	1421983	1437	evm.model.Chr02.1684	56738978	2505	NA
scaffold_1	Chr02	1008	1012	998	0	0	S	MGLB17312	1462418	1438	evm.model.Chr02.1682	56709387	2504	A1
scaffold_1	Chr02	1008	1012	998	0	0	S	MGLB17314	1508523	1439	evm.model.Chr02.1679	56662195	2503	NA
scaffold_1	Chr02	1008	1012	998	0	0	S	MGLB16206	1549928	1440	evm.model.Chr02.1678	56642238	2502	A1
scaffold_1	Chr02	1008	1012	998	0	0	S	MGLB16868	1565688	1441	evm.model.Chr02.1677	56595591	2501	NA
scaffold_1	Chr02	1008	1012	998	0	0	S	MGLB16313	1610852	1442	evm.model.Chr02.1676	56541015	2500	A1
scaffold_1	Chr02	1008	1012	998	0	0	S	MGLB17027	1667452	1443	evm.model.Chr02.1675	56501300	2499	NA
scaffold_1	Chr02	1008	1012	998	0	0	S	MGLB17175	1724138	1444	evm.model.Chr02.1672	56457749	2498	NA
scaffold_1	Chr02	1008	1012	998	0	0	S	MGLB16935	1780692	1445	evm.model.Chr02.1671	56289470	2497	A1
scaffold_1	Chr02	1008	1012	998	0	0	S	MGLB16262	2051929	1446	evm.model.Chr02.1667	56106294	2496	NA
scaffold_1	Chr02	1008	1012	998	0	0	S	MGLB16527	2243780	1447	evm.model.Chr02.1664	55961430	2495	A1
scaffold_1	Chr02	1008	1012	998	0	0	S	MGLB16076	2370226	1448	evm.model.Chr02.1661	55831877	2494	A1
scaffold_1	Chr02	1008	1012	998	0	0	S	MGLB16461	2593204	1449	evm.model.Chr02.1649	55617321	2493	A1
scaffold_1	Chr02	1008	1012	998	0	0	S	MGLB16904	2608034	1450	evm.model.Chr02.1648	55600720	2492	A1
scaffold_1	Chr02	1008	1012	998	0	0	S	MGLB17135	2643782	1451	evm.model.Chr02.1646	55573397	2491	NA
scaffold_1	Chr02	1008	1012	998	0	0	S	MGLB16417	2665171	1452	evm.model.Chr02.1645	55538835	2490	A1
scaffold_1	Chr02	1008	1012	998	0	0	S	MGLB16746	2694700	1453	evm.model.Chr02.1644	55521322	2489	A1
scaffold_1	Chr02	1008	1012	998	0	0	S	MGLB16654	2710698	1454	evm.model.Chr02.1643	55499416	2488	A1
scaffold_1	Chr02	1008	1012	998	0	0	S	MGLB16495	2726805	1455	evm.model.Chr02.1642	55371986	2487	A1
scaffold_1	Chr02	1008	1012	998	0	0	S	MGLB16413	2846640	1456	evm.model.Chr02.1641	55358076	2486	NA
scaffold_1	Chr02	1008	1012	998	0	0	S	MGLB16464	2976059	1457	evm.model.Chr02.1636	55242514	2485	A1
scaffold_1	Chr02	1008	1012	998	0	0	S	MGLB16143	3012993	1458	evm.model.Chr02.1634	55170698	2484	A1
scaffold_1	Chr02	1008	1012	998	0	0	S	MGLB17187	3069108	1459	evm.model.Chr02.1633	55151091	2483	NA
scaffold_1	Chr02	1008	1012	998	0	0	S	MGLB17030	3090238	1460	evm.model.Chr02.1632	55112801	2482	NA
scaffold_1	Chr02	1008	1012	998	0	0	S	MGLB16467	3189673	1461	evm.model.Chr02.1629	55044851	2481	A1
scaffold_1	Chr02	1008	1012	998	0	0	S	MGLB16475	3217056	1462	evm.model.Chr02.1627	55023190	2480	A1
scaffold_1	Chr02	1008	1012	998	0	0	S	MGLB17053	3244332	1463	evm.model.Chr02.1626	55013788	2479	NA
scaffold_1	Chr02	1008	1012	998	0	0	S	MGLB16526	3253209	1464	evm.model.Chr02.1625	54960582	2478	NA
scaffold_1	Chr02	1008	1012	998	0	0	S	MGLB16826	3271819	1465	evm.model.Chr02.1624	54916854	2477	NA
scaffold_1	Chr02	1008	1012	998	0	0	S	MGLB16160	3316981	1466	evm.model.Chr02.1623	54852507	2476	NA
scaffold_1	Chr02	1008	1012	998	0	0	S	MGLB16944	3358960	1467	evm.model.Chr02.1622	54820440	2475	A1
scaffold_1	Chr02	1008	1012	998	0	0	S	MGLB16496	3391165	1468	evm.model.Chr02.1621	54797253	2474	A1
scaffold_1	Chr02	1008	1012	998	0	0	S	MGLB16242	3424730	1469	evm.model.Chr02.1620	54791502	2473	NA
scaffold_1	Chr02	1008	1012	998	0	0	S	MGLB16673	3441555	1470	evm.model.Chr02.1618	54782069	2472	NA
scaffold_1	Chr02	1008	1012	998	0	0	S	MGLB16909	3462330	1471	evm.model.Chr02.1607	54687319	2471	NA
scaffold_1	Chr02	1008	1012	998	0	0	S	MGLB16995	3488253	1472	evm.model.Chr02.1606	54640818	2470	A1
scaffold_1	Chr02	1008	1012	998	0	0	S	MGLB17201	3531048	1473	evm.model.Chr02.1604	54615910	2469	NA
scaffold_1	Chr02	1008	1012	998	0	0	S	MGLB16712	3563128	1474	evm.model.Chr02.1603	54552246	2468	A1
scaffold_1	Chr02	1008	1012	998	0	0	S	MGLB17221	3680177	1475	evm.model.Chr02.1520	52127218	2424	NA
scaffold_1	Chr02	1008	1012	998	0	0	S	MGLB16659	3714423	1476	evm.model.Chr02.1600	54482852	2467	A1
