s1chr	s2chr	s1tot	s2tot	n	fishp	padj	scol	s1g	s1gp	s1gi	s2g	s2gp	s2gi	clg
Hchr1	scaffold_1	253	1027	3	0.999999999024854	1	NS	gene-HOLleu_00023	439036	2	LPI09642	21610788	257	.
Hchr1	scaffold_1	253	1027	3	0.999999999024854	1	NS	gene-HOLleu_03482	70946285	190	LPI08939	8495108	89	.
Hchr1	scaffold_1	253	1027	3	0.999999999024854	1	NS	gene-HOLleu_03984	83600473	213	LPI10377	10370192	111	.
Hchr1	scaffold_10	253	485	1	0.999997795101635	1	NS	gene-HOLleu_02837	60311155	170	LPI11456	19140438	6063	.
Hchr1	scaffold_11	253	287	1	0.999585406820579	1	NS	gene-HOLleu_02517	51830258	140	LPI14267	1443849	6268	.
Hchr1	scaffold_12	253	408	4	0.994691538573926	1	NS	gene-HOLleu_00310	6277902	38	LPI00781	24259801	6832	.
Hchr1	scaffold_12	253	408	4	0.994691538573926	1	NS	gene-HOLleu_01253	24711355	72	LPI00217	21004405	6770	.
Hchr1	scaffold_12	253	408	4	0.994691538573926	1	NS	gene-HOLleu_03659	76108049	204	LPI00186	22879636	6805	.
Hchr1	scaffold_12	253	408	4	0.994691538573926	1	NS	gene-HOLleu_04622	101112928	260	LPI00371	16603422	6716	.
Hchr1	scaffold_13	253	354	2	0.999242400924527	1	NS	gene-HOLleu_02408	48646367	130	LPI20175	6363936	7005	.
Hchr1	scaffold_13	253	354	2	0.999242400924527	1	NS	gene-HOLleu_03222	66887758	184	LPI20515	21861361	7188	.
Hchr1	scaffold_14	253	362	4	0.98702814423753	1	NS	gene-HOLleu_00817	15888626	59	LPI12401	9514326	7396	.
Hchr1	scaffold_14	253	362	4	0.98702814423753	1	NS	gene-HOLleu_01409	27680520	90	LPI12851	11552475	7433	.
Hchr1	scaffold_14	253	362	4	0.98702814423753	1	NS	gene-HOLleu_01596	30636628	96	LPI12791	723304	7302	.
Hchr1	scaffold_14	253	362	4	0.98702814423753	1	NS	gene-HOLleu_03987	83676637	214	LPI12849	17236681	7511	.
Hchr1	scaffold_15	253	326	8	0.629303778163815	1	NS	gene-HOLleu_00236	4663266	27	LPI07290	12890734	7823	.
Hchr1	scaffold_15	253	326	8	0.629303778163815	1	NS	gene-HOLleu_00571	11752336	53	LPI07430	22502529	7926	.
Hchr1	scaffold_15	253	326	8	0.629303778163815	1	NS	gene-HOLleu_00870	16842908	62	LPI06766	11571632	7805	.
Hchr1	scaffold_15	253	326	8	0.629303778163815	1	NS	gene-HOLleu_01074	21578217	69	LPI06846	856135	7671	.
Hchr1	scaffold_15	253	326	8	0.629303778163815	1	NS	gene-HOLleu_01162	23364325	71	LPI07208	524555	7667	.
Hchr1	scaffold_15	253	326	8	0.629303778163815	1	NS	gene-HOLleu_01460	28605882	93	LPI07534	20229543	7909	.
Hchr1	scaffold_15	253	326	8	0.629303778163815	1	NS	gene-HOLleu_02169	42252449	120	LPI06869	18067688	7883	.
Hchr1	scaffold_15	253	326	8	0.629303778163815	1	NS	gene-HOLleu_04298	92308280	234	LPI06819	852805	7668	.
Hchr1	scaffold_16	253	211	181	2.1651922044411e-286	7.85964770212119e-284	S	gene-HOLleu_00018	327784	0	LPI19467	19832432	8150	R
Hchr1	scaffold_16	253	211	181	2.1651922044411e-286	7.85964770212119e-284	S	gene-HOLleu_00019	363110	1	LPI19560	10532767	8065	R
Hchr1	scaffold_16	253	211	181	2.1651922044411e-286	7.85964770212119e-284	S	gene-HOLleu_00050	859765	3	LPI19807	25113326	8191	R
Hchr1	scaffold_16	253	211	181	2.1651922044411e-286	7.85964770212119e-284	S	gene-HOLleu_00051	893853	4	LPI19373	25153810	8192	R
Hchr1	scaffold_16	253	211	181	2.1651922044411e-286	7.85964770212119e-284	S	gene-HOLleu_00052	918010	5	LPI19443	25164162	8193	R
Hchr1	scaffold_16	253	211	181	2.1651922044411e-286	7.85964770212119e-284	S	gene-HOLleu_00053	1027230	6	LPI19429	25233057	8194	.
Hchr1	scaffold_16	253	211	181	2.1651922044411e-286	7.85964770212119e-284	S	gene-HOLleu_00075	1455355	7	LPI19412	18857789	8144	R
Hchr1	scaffold_16	253	211	181	2.1651922044411e-286	7.85964770212119e-284	S	gene-HOLleu_00081	1706088	8	LPI19404	14665834	8103	R
Hchr1	scaffold_16	253	211	181	2.1651922044411e-286	7.85964770212119e-284	S	gene-HOLleu_00082	1791488	9	LPI19496	14582272	8102	R
Hchr1	scaffold_16	253	211	181	2.1651922044411e-286	7.85964770212119e-284	S	gene-HOLleu_00088	1939128	11	LPI19399	24204401	8187	R
Hchr1	scaffold_16	253	211	181	2.1651922044411e-286	7.85964770212119e-284	S	gene-HOLleu_00112	2466433	12	LPI19970	7034373	8032	.
Hchr1	scaffold_16	253	211	181	2.1651922044411e-286	7.85964770212119e-284	S	gene-HOLleu_00113	2498118	13	LPI19432	26854511	8199	.
Hchr1	scaffold_16	253	211	181	2.1651922044411e-286	7.85964770212119e-284	S	gene-HOLleu_00122	2778404	15	LPI19948	3699000	8015	.
