qseqid	sseqid	pident	length	evalue	bitscore	extra0	extra1	extra2	extra3	extra4	extra5	gene_id_raw	gene_id_norm	orthogroup
qseqid	sseqid	pident	length	evalue	bitscore	extra0	extra1	extra2	gene_id_raw	gene_id_norm	orthogroup	Unmapped	Unmapped	Unmapped
qseqid	sseqid	pident	length	evalue	bitscore	gene_id_raw	gene_id_norm	orthogroup	Unmapped	Unmapped	Unmapped	Unmapped	Unmapped	Unmapped
XP_030845154.1	3_17804	97.424	427	0.0	860.0	MGLB17805	MGLB17805	OG0002980	MGLB17805	MGLB17805	OG0002980	MGLB17805	MGLB17805	OG0002980
XP_030845154.1	3_10360	47.203	286	3.09e-72	237.0	MGLB10361	MGLB10361	OG0002166	MGLB10361	MGLB10361	OG0002166	MGLB10361	MGLB10361	OG0002166
XP_030845154.1	3_11609	71.654	127	5.46e-57	194.0	MGLB11610	MGLB11610	OG0001008	MGLB11610	MGLB11610	OG0001008	MGLB11610	MGLB11610	OG0001008
XP_030845154.1	3_16068	68.702	131	2.0100000000000002e-56	191.0	MGLB16069	MGLB16069	OG0001008	MGLB16069	MGLB16069	OG0001008	MGLB16069	MGLB16069	OG0001008
XP_030845154.1	3_10721	73.171	123	4.13e-56	196.0	MGLB10722	MGLB10722	OG0000968	MGLB10722	MGLB10722	OG0000968	MGLB10722	MGLB10722	OG0000968
XP_030845154.1	3_9037	70.0	130	9.960000000000001e-56	190.0	MGLB09038	MGLB09038	OG0001008	MGLB09038	MGLB09038	OG0001008	MGLB09038	MGLB09038	OG0001008
XP_030845154.1	3_17559	33.761	234	4.98e-26	106.0	MGLB17560	MGLB17560	OG0001260	MGLB17560	MGLB17560	OG0001260	MGLB17560	MGLB17560	OG0001260
XP_030845154.1	3_3425	47.934	121	2.08e-25	107.0	MGLB03426	MGLB03426	OG0005407	MGLB03426	MGLB03426	OG0005407	MGLB03426	MGLB03426	OG0005407
XP_030845154.1	3_3425	60.0	65	3.35e-17	83.2	MGLB03426	MGLB03426	OG0005407	MGLB03426	MGLB03426	OG0005407	MGLB03426	MGLB03426	OG0005407
XP_030845154.1	3_17560	58.974	78	4.16e-25	106.0	MGLB17561	MGLB17561	OG0001260	MGLB17561	MGLB17561	OG0001260	MGLB17561	MGLB17561	OG0001260
XP_030845154.1	3_10759	63.768	69	6.43e-25	104.0	MGLB10760	MGLB10760	OG0012909	MGLB10760	MGLB10760	OG0012909	MGLB10760	MGLB10760	OG0012909
XP_030845154.1	3_14436	56.842	95	9.56e-25	104.0	MGLB14437	MGLB14437	OG0012866	MGLB14437	MGLB14437	OG0012866	MGLB14437	MGLB14437	OG0012866
XP_030845154.1	3_5937	57.895	76	4.9699999999999995e-24	103.0	MGLB05938	MGLB05938	OG0010470	MGLB05938	MGLB05938	OG0010470	MGLB05938	MGLB05938	OG0010470
XP_030845154.1	3_13394	61.644	73	3.46e-23	99.4	MGLB13395	MGLB13395	OG0010729	MGLB13395	MGLB13395	OG0010729	MGLB13395	MGLB13395	OG0010729
XP_030845154.1	3_3039	61.194	67	5.5e-22	95.5	MGLB03040	MGLB03040	OG0008826	MGLB03040	MGLB03040	OG0008826	MGLB03040	MGLB03040	OG0008826
XP_030845154.1	3_16229	56.098	82	3.5500000000000005e-21	95.1	MGLB16230	MGLB16230	OG0012470	MGLB16230	MGLB16230	OG0012470	MGLB16230	MGLB16230	OG0012470
XP_030845154.1	3_15054	61.905	63	9.02e-20	91.3	MGLB15055	MGLB15055	OG0010388	MGLB15055	MGLB15055	OG0010388	MGLB15055	MGLB15055	OG0010388
