s1g	s1gp	s1chr	s1gi	s2g	s2gp	s2chr	s2gi	clg
PL08765	13850434	Scaffold_174	175	XP_011679646	30122783	spur5_scaffold_6	545	NA
PL08793	36907971	Scaffold_174	520	XP_030856116	39852572	spur5_scaffold_6	661	NA
PL09011	55045124	Scaffold_174	783	XP_030855840	32974047	spur5_scaffold_6	577	NA
PL08017	56405098	Scaffold_174	813	XP_030827903	19449646	spur5_scaffold_6	360	NA
PL10875	77095497	Scaffold_174	1127	XP_030828321	39409325	spur5_scaffold_6	654	NA
PL09352	79926809	Scaffold_174	1170	XP_780532	28769512	spur5_scaffold_6	517	A1|A1
PL08958	264330	Scaffold_174	0	XP_011662487	19044219	spur5_scaffold_1	1191	NA
PL10401	316174	Scaffold_174	1	XP_011662485	18996840	spur5_scaffold_1	1190	NA
PL10354	401463	Scaffold_174	2	XP_795283	18931251	spur5_scaffold_1	1189	NA
PL09682	438972	Scaffold_174	3	XP_030833624	17997863	spur5_scaffold_1	1186	A2
PL10773	582457	Scaffold_174	4	XP_030833622	17893456	spur5_scaffold_1	1185	NA
PL09400	645483	Scaffold_174	5	XP_030833621	17659467	spur5_scaffold_1	1183	NA
PL09412	721301	Scaffold_174	6	XP_030834425	17631524	spur5_scaffold_1	1182	NA
PL08941	741734	Scaffold_174	7	XP_030833620	17614950	spur5_scaffold_1	1181	A2|A2
PL08363	752201	Scaffold_174	8	XP_790710	17603412	spur5_scaffold_1	1180	A2|A2
PL09898	755437	Scaffold_174	9	XP_030833617	17558024	spur5_scaffold_1	1178	NA
PL09828	805350	Scaffold_174	10	XP_030834424	17527487	spur5_scaffold_1	1177	NA
PL11108	805712	Scaffold_174	11	XP_001199252	17514110	spur5_scaffold_1	1176	A2
PL10454	827067	Scaffold_174	12	XP_011675774	17491244	spur5_scaffold_1	1175	A2|A2
PL08656	847678	Scaffold_174	13	XP_030833613	17484000	spur5_scaffold_1	1174	NA
PL11130	855213	Scaffold_174	14	XP_030833386	1413926	spur5_scaffold_1	1051	NA
PL10031	917303	Scaffold_174	15	XP_787466	17477593	spur5_scaffold_1	1173	NA
PL10351	1136837	Scaffold_174	16	XP_030833603	17086607	spur5_scaffold_1	1171	A2|A2
