s1chr	s2chr	s1tot	s2tot	n	fishp	padj	scol	s1g	s1gp	s1gi	s2g	s2gp	s2gi	clg
spur5_scaffold_1	Hchr1	221	236	3	0.926957043221287	1	NS	LOC591923	1119615	939	gene-HOLleu_00527	11039106	46	.
spur5_scaffold_1	Hchr1	221	236	3	0.926957043221287	1	NS	LOC115918025	13971902	1005	gene-HOLleu_03300	68232573	182	.
spur5_scaffold_1	Hchr1	221	236	3	0.926957043221287	1	NS	LOC115921082	35905915	1090	gene-HOLleu_03405	69906159	185	.
spur5_scaffold_1	Hchr10	221	212	180	1.58190797224357e-299	6.15362201202749e-297	S	LOC755068	200724	934	gene-HOLleu_22497	49090653	4766	A2
spur5_scaffold_1	Hchr10	221	212	180	1.58190797224357e-299	6.15362201202749e-297	S	LOC115918404	368031	935	gene-HOLleu_21732	25712386	4658	A2
spur5_scaffold_1	Hchr10	221	212	180	1.58190797224357e-299	6.15362201202749e-297	S	LOC575317	927800	937	gene-HOLleu_21863	30602810	4689	.
spur5_scaffold_1	Hchr10	221	212	180	1.58190797224357e-299	6.15362201202749e-297	S	LOC585712	1041881	938	gene-HOLleu_22753	56374929	4799	.
spur5_scaffold_1	Hchr10	221	212	180	1.58190797224357e-299	6.15362201202749e-297	S	LOC593577	1355987	940	gene-HOLleu_21101	7039178	4598	A2
spur5_scaffold_1	Hchr10	221	212	180	1.58190797224357e-299	6.15362201202749e-297	S	LOC578158	1726405	941	gene-HOLleu_21437	17443196	4627	A2
spur5_scaffold_1	Hchr10	221	212	180	1.58190797224357e-299	6.15362201202749e-297	S	LOC588120	1737195	942	gene-HOLleu_21892	31496149	4693	A2
spur5_scaffold_1	Hchr10	221	212	180	1.58190797224357e-299	6.15362201202749e-297	S	LOC589823	1751185	943	gene-HOLleu_22075	37046910	4716	.
spur5_scaffold_1	Hchr10	221	212	180	1.58190797224357e-299	6.15362201202749e-297	S	LOC755739	2490963	945	gene-HOLleu_21737	26048115	4659	.
spur5_scaffold_1	Hchr10	221	212	180	1.58190797224357e-299	6.15362201202749e-297	S	LOC582195	2799214	947	gene-HOLleu_21313	13834351	4610	A2
spur5_scaffold_1	Hchr10	221	212	180	1.58190797224357e-299	6.15362201202749e-297	S	LOC105438467	3394119	948	gene-HOLleu_21893	31535004	4694	A2
spur5_scaffold_1	Hchr10	221	212	180	1.58190797224357e-299	6.15362201202749e-297	S	LOC583735	3460866	949	gene-HOLleu_22406	46355524	4745	A2
spur5_scaffold_1	Hchr10	221	212	180	1.58190797224357e-299	6.15362201202749e-297	S	LOC585040	3946275	950	gene-HOLleu_21094	6678396	4594	A2
spur5_scaffold_1	Hchr10	221	212	180	1.58190797224357e-299	6.15362201202749e-297	S	LOC577495	4086468	953	gene-HOLleu_21031	5340718	4586	A2
spur5_scaffold_1	Hchr10	221	212	180	1.58190797224357e-299	6.15362201202749e-297	S	LOC100890599	4099970	954	gene-HOLleu_21026	5322160	4585	A2
spur5_scaffold_1	Hchr10	221	212	180	1.58190797224357e-299	6.15362201202749e-297	S	LOC754353	4366584	956	gene-HOLleu_21493	19030453	4631	A2
spur5_scaffold_1	Hchr10	221	212	180	1.58190797224357e-299	6.15362201202749e-297	S	LOC594614	4670872	958	gene-HOLleu_21630	22394637	4648	A2
spur5_scaffold_1	Hchr10	221	212	180	1.58190797224357e-299	6.15362201202749e-297	S	LOC100890539	4728519	959	gene-HOLleu_22512	49621268	4772	.
spur5_scaffold_1	Hchr10	221	212	180	1.58190797224357e-299	6.15362201202749e-297	S	LOC100890476	4776873	960	gene-HOLleu_21916	32554353	4700	.
spur5_scaffold_1	Hchr10	221	212	180	1.58190797224357e-299	6.15362201202749e-297	S	LOC585963	5035911	961	gene-HOLleu_22425	46972801	4753	.
spur5_scaffold_1	Hchr10	221	212	180	1.58190797224357e-299	6.15362201202749e-297	S	LOC574563	5202728	962	gene-HOLleu_22426	47156696	4754	.
spur5_scaffold_1	Hchr10	221	212	180	1.58190797224357e-299	6.15362201202749e-297	S	LOC591794	5579239	963	gene-HOLleu_22077	37187874	4718	A2
spur5_scaffold_1	Hchr10	221	212	180	1.58190797224357e-299	6.15362201202749e-297	S	LOC591744	5624211	964	gene-HOLleu_22443	47826530	4758	A2
spur5_scaffold_1	Hchr10	221	212	180	1.58190797224357e-299	6.15362201202749e-297	S	LOC590912	6731401	966	gene-HOLleu_22422	46927460	4752	A2
spur5_scaffold_1	Hchr10	221	212	180	1.58190797224357e-299	6.15362201202749e-297	S	LOC115920876	6795580	967	gene-HOLleu_22750	56350019	4798	A2
spur5_scaffold_1	Hchr10	221	212	180	1.58190797224357e-299	6.15362201202749e-297	S	LOC115918043	7588012	969	gene-HOLleu_21017	4973157	4584	.
spur5_scaffold_1	Hchr10	221	212	180	1.58190797224357e-299	6.15362201202749e-297	S	LOC115918440	7594117	970	gene-HOLleu_21643	22730772	4649	.
spur5_scaffold_1	Hchr10	221	212	180	1.58190797224357e-299	6.15362201202749e-297	S	LOC580821	8450142	971	gene-HOLleu_22531	50514862	4776	A2
spur5_scaffold_1	Hchr10	221	212	180	1.58190797224357e-299	6.15362201202749e-297	S	LOC580773	8459459	972	gene-HOLleu_21659	23247823	4653	.
spur5_scaffold_1	Hchr10	221	212	180	1.58190797224357e-299	6.15362201202749e-297	S	LOC580703	8473622	973	gene-HOLleu_21528	19934549	4637	A2
spur5_scaffold_1	Hchr10	221	212	180	1.58190797224357e-299	6.15362201202749e-297	S	LOC580647	8491592	974	gene-HOLleu_21529	19956649	4638	A2
spur5_scaffold_1	Hchr10	221	212	180	1.58190797224357e-299	6.15362201202749e-297	S	LOC587814	8591326	975	gene-HOLleu_22286	42610500	4731	A2
spur5_scaffold_1	Hchr10	221	212	180	1.58190797224357e-299	6.15362201202749e-297	S	LOC587995	9050371	976	gene-HOLleu_22287	42774984	4732	.
spur5_scaffold_1	Hchr10	221	212	180	1.58190797224357e-299	6.15362201202749e-297	S	LOC574962	9115903	977	gene-HOLleu_21853	30378415	4686	A2
spur5_scaffold_1	Hchr10	221	212	180	1.58190797224357e-299	6.15362201202749e-297	S	LOC574891	9141786	978	gene-HOLleu_21851	30323177	4685	A2
spur5_scaffold_1	Hchr10	221	212	180	1.58190797224357e-299	6.15362201202749e-297	S	LOC590852	9217766	979	gene-HOLleu_21129	8153336	4600	.
spur5_scaffold_1	Hchr10	221	212	180	1.58190797224357e-299	6.15362201202749e-297	S	LOC115920893	9327033	980	gene-HOLleu_22421	46861402	4751	.
spur5_scaffold_1	Hchr10	221	212	180	1.58190797224357e-299	6.15362201202749e-297	S	LOC589961	9472821	981	gene-HOLleu_22420	46843291	4750	A2
spur5_scaffold_1	Hchr10	221	212	180	1.58190797224357e-299	6.15362201202749e-297	S	LOC592464	9617176	982	gene-HOLleu_21658	23195300	4652	A2
spur5_scaffold_1	Hchr10	221	212	180	1.58190797224357e-299	6.15362201202749e-297	S	LOC753209	9632447	983	gene-HOLleu_21657	23167299	4651	A2
spur5_scaffold_1	Hchr10	221	212	180	1.58190797224357e-299	6.15362201202749e-297	S	LOC577981	9667718	984	gene-HOLleu_21655	23120342	4650	.
spur5_scaffold_1	Hchr10	221	212	180	1.58190797224357e-299	6.15362201202749e-297	S	LOC100888602	9719077	985	gene-HOLleu_22417	46805303	4749	.
spur5_scaffold_1	Hchr10	221	212	180	1.58190797224357e-299	6.15362201202749e-297	S	LOC587653	9884929	986	gene-HOLleu_22408	46382568	4746	A2
