s1g	s1gp	s1chr	s1gi	s2g	s2gp	s2chr	s2gi	clg
LPI10303	1922561	scaffold_1	0	LOC578731	16917405	spur5_scaffold_6	254	NA
LPI09330	2111804	scaffold_1	1	LOC582157	16955898	spur5_scaffold_6	255	NA
LPI10366	2321586	scaffold_1	2	LOC582113	16972460	spur5_scaffold_6	256	NA
LPI09049	2402836	scaffold_1	3	LOC582076	16981182	spur5_scaffold_6	257	NA
LPI08701	2435882	scaffold_1	4	LOC582027	16990064	spur5_scaffold_6	258	NA
LPI09734	2761689	scaffold_1	5	LOC579914	14528322	spur5_scaffold_6	229	NA
LPI09105	3290769	scaffold_1	6	LOC752034	14396655	spur5_scaffold_6	228	NA
LPI09808	3421157	scaffold_1	7	LOC100888029	14390451	spur5_scaffold_6	227	NA
LPI08870	3431182	scaffold_1	8	LOC752081	14298688	spur5_scaffold_6	226	NA
LPI10124	3553099	scaffold_1	9	LOC752104	14285747	spur5_scaffold_6	225	NA
LPI10206	3643248	scaffold_1	10	LOC105444654	14226541	spur5_scaffold_6	224	NA
LPI09472	3692399	scaffold_1	11	LOC100888771	14183727	spur5_scaffold_6	223	NA
LPI09728	3730910	scaffold_1	12	LOC585748	14162750	spur5_scaffold_6	222	NA
LPI10109	3768049	scaffold_1	13	LOC577165	14128606	spur5_scaffold_6	221	NA
LPI08652	3793870	scaffold_1	14	LOC577103	14114784	spur5_scaffold_6	220	NA
LPI09825	3860892	scaffold_1	15	LOC100889046	14036296	spur5_scaffold_6	219	NA
LPI09562	3939086	scaffold_1	16	LOC752241	14006576	spur5_scaffold_6	218	NA
LPI09107	4021120	scaffold_1	17	LOC754367	13972394	spur5_scaffold_6	217	NA
LPI08745	4209638	scaffold_1	18	LOC576714	13851967	spur5_scaffold_6	215	NA
LPI08952	4368076	scaffold_1	19	LOC588264	13797840	spur5_scaffold_6	213	NA
LPI10065	4419986	scaffold_1	20	LOC594794	13809158	spur5_scaffold_6	214	NA
LPI09376	4486390	scaffold_1	21	LOC755431	13756577	spur5_scaffold_6	212	NA
LPI09238	4559833	scaffold_1	22	LOC578031	13730335	spur5_scaffold_6	211	NA
LPI09780	4603624	scaffold_1	23	LOC577957	13694651	spur5_scaffold_6	210	NA
LPI09326	4659584	scaffold_1	24	LOC100890511	13686306	spur5_scaffold_6	209	NA
LPI09619	4665026	scaffold_1	25	LOC577822	13675317	spur5_scaffold_6	208	NA
LPI09552	4678288	scaffold_1	26	LOC577753	13663014	spur5_scaffold_6	207	NA
LPI10164	4770622	scaffold_1	27	LOC577383	13591738	spur5_scaffold_6	206	NA
LPI10229	4817598	scaffold_1	28	LOC577313	13581620	spur5_scaffold_6	205	NA
