qseqid	sseqid	pident	length	evalue	bitscore	extra0	extra1	extra2	extra3	extra4	extra5	gene_id_raw	gene_id_norm	orthogroup
qseqid	sseqid	pident	length	evalue	bitscore	extra0	extra1	extra2	gene_id_raw	gene_id_norm	orthogroup	Unmapped	Unmapped	Unmapped
qseqid	sseqid	pident	length	evalue	bitscore	gene_id_raw	gene_id_norm	orthogroup	Unmapped	Unmapped	Unmapped	Unmapped	Unmapped	Unmapped
NP_999762.1	3_17741	46.185	2228	0.0	1866.0	MGLB17742	MGLB17742	OG0000004	MGLB17742	MGLB17742	OG0000004	MGLB17742	MGLB17742	OG0000004
NP_999762.1	3_17741	45.495	2231	0.0	1803.0	MGLB17742	MGLB17742	OG0000004	MGLB17742	MGLB17742	OG0000004	MGLB17742	MGLB17742	OG0000004
NP_999762.1	3_17741	44.688	2231	0.0	1781.0	MGLB17742	MGLB17742	OG0000004	MGLB17742	MGLB17742	OG0000004	MGLB17742	MGLB17742	OG0000004
NP_999762.1	3_17741	44.898	2205	0.0	1771.0	MGLB17742	MGLB17742	OG0000004	MGLB17742	MGLB17742	OG0000004	MGLB17742	MGLB17742	OG0000004
NP_999762.1	3_17741	44.279	2281	0.0	1770.0	MGLB17742	MGLB17742	OG0000004	MGLB17742	MGLB17742	OG0000004	MGLB17742	MGLB17742	OG0000004
NP_999762.1	3_17741	44.577	2185	0.0	1758.0	MGLB17742	MGLB17742	OG0000004	MGLB17742	MGLB17742	OG0000004	MGLB17742	MGLB17742	OG0000004
NP_999762.1	3_17741	44.14	2227	0.0	1757.0	MGLB17742	MGLB17742	OG0000004	MGLB17742	MGLB17742	OG0000004	MGLB17742	MGLB17742	OG0000004
NP_999762.1	3_17741	43.407	2207	0.0	1715.0	MGLB17742	MGLB17742	OG0000004	MGLB17742	MGLB17742	OG0000004	MGLB17742	MGLB17742	OG0000004
NP_999762.1	3_17741	43.921	2270	0.0	1695.0	MGLB17742	MGLB17742	OG0000004	MGLB17742	MGLB17742	OG0000004	MGLB17742	MGLB17742	OG0000004
NP_999762.1	3_17741	42.813	2254	0.0	1672.0	MGLB17742	MGLB17742	OG0000004	MGLB17742	MGLB17742	OG0000004	MGLB17742	MGLB17742	OG0000004
NP_999762.1	3_17741	43.707	1764	0.0	1389.0	MGLB17742	MGLB17742	OG0000004	MGLB17742	MGLB17742	OG0000004	MGLB17742	MGLB17742	OG0000004
NP_999762.1	3_17741	42.451	1795	0.0	1269.0	MGLB17742	MGLB17742	OG0000004	MGLB17742	MGLB17742	OG0000004	MGLB17742	MGLB17742	OG0000004
NP_999762.1	3_17741	42.22	1658	0.0	1264.0	MGLB17742	MGLB17742	OG0000004	MGLB17742	MGLB17742	OG0000004	MGLB17742	MGLB17742	OG0000004
NP_999762.1	3_17741	42.756	1415	0.0	1092.0	MGLB17742	MGLB17742	OG0000004	MGLB17742	MGLB17742	OG0000004	MGLB17742	MGLB17742	OG0000004
NP_999762.1	3_17741	43.29	991	0.0	729.0	MGLB17742	MGLB17742	OG0000004	MGLB17742	MGLB17742	OG0000004	MGLB17742	MGLB17742	OG0000004
NP_999762.1	3_917	44.245	2224	0.0	1648.0	MGLB00918	MGLB00918	OG0000004	MGLB00918	MGLB00918	OG0000004	MGLB00918	MGLB00918	OG0000004
NP_999762.1	3_917	44.854	2225	0.0	1647.0	MGLB00918	MGLB00918	OG0000004	MGLB00918	MGLB00918	OG0000004	MGLB00918	MGLB00918	OG0000004
NP_999762.1	3_917	45.763	2006	0.0	1617.0	MGLB00918	MGLB00918	OG0000004	MGLB00918	MGLB00918	OG0000004	MGLB00918	MGLB00918	OG0000004
