XP_041456656	XP_054747949
XP_041457102	XP_054748077
XP_041453953	XP_054748141
XP_041454108	XP_054748196
XP_041454316	XP_054748248
XP_041454422	XP_054748309
XP_041454568	XP_054748373
XP_041454935	XP_054748456
XP_041454777	XP_054748530
XP_041455185	XP_054748607
XP_041455304	XP_054748693
XP_041455989	XP_054748794
XP_041455775	XP_054748888
XP_041455622	XP_054748948
XP_041455463	XP_054749018
XP_041456123	XP_054749076
XP_041456445	XP_054749195
XP_041456543	XP_054749255
XP_041456666	XP_054749315
XP_041456820	XP_054749382
XP_041456907	XP_054749435
XP_041457017	XP_054749500
XP_041457146	XP_054749557
XP_041457204	XP_054749656
XP_041458302	XP_054749759
XP_041460877	XP_054749980
XP_041460892	XP_054750127
XP_041480894	XP_054750359
XP_041480715	XP_054750482
XP_041459235	XP_054750538
XP_041460013	XP_054750609
XP_041460380	XP_054750674
XP_041479740	XP_054750736
XP_041479634	XP_054750781
XP_041457917	XP_054750829
XP_041458062	XP_054750892
XP_041458172	XP_054750945
XP_041458392	XP_054751058
XP_041458478	XP_054751101
XP_041458547	XP_054751144
XP_041458625	XP_054751186
XP_041459024	XP_054751344
XP_041458895	XP_054751402
XP_041458787	XP_054751456
XP_041459221	XP_054751507
XP_041459547	XP_054751698
XP_041460180	XP_054751762
XP_041460097	XP_054751812
XP_041460022	XP_054751862
XP_041459933	XP_054751918
XP_041459860	XP_054751960
XP_041459750	XP_054752022
XP_041459570	XP_054752084
XP_041475772	XP_054752151
XP_041460711	XP_054752231
XP_041460567	XP_054752326
XP_041457882	XP_054752468
XP_041477024	XP_054752621
XP_041463259	XP_054752964
XP_041477816	XP_054753066
XP_041462944	XP_054753142
XP_041463031	XP_054753214
XP_041463130	XP_054753275
XP_041462317	XP_054753347
XP_041462184	XP_054753412
XP_041461989	XP_054753477
XP_041463643	XP_054753654
XP_041473519	XP_054753817
XP_041472756	XP_054753971
XP_041472486	XP_054754048
XP_041453374	XP_054754108
XP_041458257	XP_054754169
XP_041463851	XP_054754377
XP_041464150	XP_054754449
XP_041463719	XP_054754512
XP_041453546	XP_054754587
XP_041457067	XP_054754671
XP_041456060	XP_054754726
XP_041455132	XP_054754780
XP_041461644	XP_054754844
XP_041457602	XP_054754906
XP_041460348	XP_054755010
XP_041472886	XP_054755130
XP_041484742	XP_054755388
XP_041467749	XP_054755637
XP_041467632	XP_054755780
XP_041484878	XP_054755917
XP_041462328	XP_054756002
XP_041461132	XP_054756060
XP_041464822	XP_054756132
XP_041464662	XP_054756200
XP_041464455	XP_054756281
XP_041465105	XP_054756349
XP_041465207	XP_054756411
XP_041466565	XP_054756540
XP_041464094	XP_054756606
XP_041465630	XP_054756658
XP_041465690	XP_054756721
XP_041466584	XP_054756820
XP_041467109	XP_054756940
XP_041465477	XP_054757058
XP_041466516	XP_054757547
XP_041466865	XP_054757712
XP_041476971	XP_054757832
XP_041468022	XP_054758022
XP_041467842	XP_054758125
XP_041468086	XP_054758191
XP_041468179	XP_054758336
XP_041468436	XP_054758406
XP_041468709	XP_054758541
XP_041468808	XP_054758599
XP_041468949	XP_054758674
XP_041469039	XP_054758735
XP_041469307	XP_054758862
XP_041469402	XP_054758916
XP_041469506	XP_054758976
XP_041469613	XP_054759046
XP_041469727	XP_054759100
XP_041469819	XP_054759163
XP_041469605	XP_054759529
XP_041467993	XP_054759652
XP_041467617	XP_054759745
XP_041469182	XP_054759838
XP_041467654	XP_054759913
XP_041470554	XP_054760033
XP_041470796	XP_054760146
XP_041453424	XP_054760435
XP_041470881	XP_054760995
XP_041472235	XP_054761237
XP_041471748	XP_054761616
XP_041471985	XP_054761833
XP_041472205	XP_054761976
XP_041472139	XP_054762224
XP_041472005	XP_054762357
XP_041473653	XP_054762489
XP_041474409	XP_054762601
XP_041474397	XP_054762681
XP_041457484	XP_054762813
XP_041473452	XP_054762888
XP_041473218	XP_054762942
XP_041474160	XP_054762997
XP_041474269	XP_054763054
XP_041474089	XP_054763326
XP_041454225	XP_054763473
XP_041474197	XP_054763648
XP_041473569	XP_054763798
XP_041474497	XP_054763936
XP_041475809	XP_054764055
XP_041476106	XP_054764175
XP_041475439	XP_054764363
XP_041474742	XP_054764425
XP_041474972	XP_054764555
XP_041475410	XP_054764809
XP_041476255	XP_054764886
XP_041476183	XP_054764952
XP_041455433	XP_054765329
XP_041476493	XP_054765435
XP_041477667	XP_054765550
XP_041460918	XP_054765715
XP_041476370	XP_054765870
XP_041476492	XP_054765951
XP_041457371	XP_054766042
XP_041477365	XP_054766348
XP_041477638	XP_054766394
XP_041477029	XP_054766460
XP_041476346	XP_054766530
XP_041477006	XP_054766598
XP_041476551	XP_054766664
XP_041476982	XP_054766741
XP_041483828	XP_054766966
XP_041477969	XP_054767165
XP_041478647	XP_054767278
XP_041478462	XP_054767378
XP_041478661	XP_054767460
XP_041478625	XP_054767759
XP_041478262	XP_054767953
XP_041480552	XP_054768270
XP_041479932	XP_054768460
XP_041480144	XP_054768551
XP_041479566	XP_054768608
XP_041456986	XP_054768700
XP_041480112	XP_054768762
XP_041480005	XP_054768915
XP_041480497	XP_054769063
XP_041479736	XP_054769159
XP_041480949	XP_054769631
XP_041482157	XP_054769770
XP_041482061	XP_054769866
XP_041481141	XP_054770078
XP_041482050	XP_054770152
XP_041481173	XP_054770220
XP_041480902	XP_054770298
XP_041457539	XP_054770468
XP_041481547	XP_054770561
XP_041482781	XP_054770657
XP_041483458	XP_054770738
XP_041468442	XP_054770938
XP_041482716	XP_054771172
XP_041482641	XP_054771385
XP_041483209	XP_054771464
XP_041457153	XP_054771629
XP_041483009	XP_054771718
XP_041484231	XP_054771895
XP_041484698	XP_054772010
XP_041484934	XP_054772465
XP_041457415	XP_054772572
XP_041483917	XP_054772768
XP_041483856	XP_054772881
XP_041484193	XP_054773014
XP_041485678	XP_054773113
XP_041452446	XP_054773201
XP_041485758	XP_054773308
XP_041452474	XP_054773477
XP_041485131	XP_054773799
XP_041485158	XP_054773887
XP_041453318	XP_054774240
XP_041452869	XP_054774341
XP_041452742	XP_054774443
XP_041455533	XP_054774625
XP_041452820	XP_054774828
XP_041452995	XP_054774981
XP_041452851	XP_054775158
XP_041456098	XP_054775296
XP_041456450	XP_054775638
XP_041455374	XP_063950915
XP_041455188	XP_063950979
XP_041455135	XP_063951011
XP_041455088	XP_063951043
XP_041455050	XP_063951075
XP_041455017	XP_063951107
XP_041454702	XP_063951139
XP_041454860	XP_063951235
XP_041454540	XP_063951267
XP_041479057	XP_063951299
XP_041454424	XP_063951331
XP_041454363	XP_063951363
XP_041454204	XP_063951395
XP_041454300	XP_063951427
XP_041454013	XP_063951459
XP_041454090	XP_063951491
XP_041453897	XP_063951523
XP_041453843	XP_063951587
XP_041455642	XP_063951651
XP_041455044	XP_063951747
XP_041454263	XP_063951779
XP_041453727	XP_063951843
XP_041457261	XP_063951939
XP_041459960	XP_063952003
XP_041453498	XP_063952067
XP_041458133	XP_063952131
XP_041460761	XP_063952227
XP_041460513	XP_063952259
XP_041460631	XP_063952355
XP_041460677	XP_063952387
XP_041460717	XP_063952419
XP_041460755	XP_063952451
XP_041474779	XP_063952483
XP_041459683	XP_063952611
XP_041459783	XP_063952675
XP_041459981	XP_063952771
XP_041460132	XP_063952835
XP_041477224	XP_063953027
XP_041459313	XP_063953059
XP_041459260	XP_063953091
XP_041459213	XP_063953123
XP_041457615	XP_063953155
XP_041458810	XP_063953187
XP_041458892	XP_063953219
XP_041458940	XP_063953251
XP_041458981	XP_063953283
XP_041459111	XP_063953347
XP_041458739	XP_063953411
XP_041458633	XP_063953443
XP_041458555	XP_063953475
XP_041458516	XP_063953507
XP_041458376	XP_063953571
XP_041477601	XP_063953635
XP_041458114	XP_063953699
XP_041458063	XP_063953731
XP_041457984	XP_063953763
XP_041475652	XP_063953827
XP_041478059	XP_063953859
XP_041457940	XP_063953987
XP_041460417	XP_063954019
XP_041461207	XP_063954179
XP_041462306	XP_063954339
XP_041462557	XP_063954403
XP_041463142	XP_063954435
XP_041462653	XP_063954467
XP_041462703	XP_063954499
XP_041462752	XP_063954531
XP_041462974	XP_063954563
XP_041473384	XP_063954595
XP_041461850	XP_063954659
XP_041473240	XP_063954723
XP_041463407	XP_063954755
XP_041463236	XP_063954819
XP_041463301	XP_063954851
XP_041463346	XP_063954883
XP_041463385	XP_063954915
XP_041465922	XP_063954979
XP_041484585	XP_063955107
XP_041453559	XP_063955139
XP_041457401	XP_063955171
XP_041463469	XP_063955203
XP_041477509	XP_063955267
XP_041463973	XP_063955427
XP_041465805	XP_063955683
XP_041464054	XP_063955747
XP_041464121	XP_063955779
XP_041471613	XP_063955875
XP_041464344	XP_063955907
XP_041463886	XP_063955939
XP_041463882	XP_063955971
XP_041472777	XP_063956003
XP_041464521	XP_063956035
XP_041464885	XP_063956131
XP_041464470	XP_063956163
XP_041464513	XP_063956195
XP_041464673	XP_063956227
XP_041464781	XP_063956291
XP_041468959	XP_063956323
XP_041460842	XP_063956355
XP_041470940	XP_063956387
XP_041482856	XP_063956483
XP_041466614	XP_063956643
XP_041467081	XP_063956803
XP_041466404	XP_063956963
XP_041466327	XP_063956995
XP_041466780	XP_063957027
XP_041466301	XP_063957155
XP_041466585	XP_063957219
XP_041466469	XP_063957315
XP_041466378	XP_063957347
XP_041469693	XP_063957411
XP_041469245	XP_063957443
XP_041469837	XP_063957475
XP_041460882	XP_063957507
XP_041454220	XP_063957539
XP_041468269	XP_063957571
XP_041461829	XP_063957603
XP_041469759	XP_063957699
XP_041469753	XP_063957731
XP_041469729	XP_063957763
XP_041469679	XP_063957795
XP_041469566	XP_063957891
XP_041467298	XP_063957923
XP_041467288	XP_063957955
XP_041469357	XP_063958019
XP_041469297	XP_063958051
XP_041469123	XP_063958179
XP_041469011	XP_063958243
XP_041468933	XP_063958275
XP_041468910	XP_063958307
XP_041468797	XP_063958371
XP_041468757	XP_063958403
XP_041468646	XP_063958435
XP_041468585	XP_063958467
XP_041468424	XP_063958595
XP_041468300	XP_063958659
XP_041468241	XP_063958691
XP_041467926	XP_063958755
XP_041468013	XP_063958819
XP_041468093	XP_063958915
XP_041468130	XP_063958947
XP_041471348	XP_063959235
XP_041471072	XP_063959299
XP_041471131	XP_063959363
XP_041469876	XP_063959395
XP_041470917	XP_063959523
XP_041470890	XP_063959555
XP_041470851	XP_063959587
XP_041470003	XP_063959651
XP_041470686	XP_063959715
XP_041470619	XP_063959779
XP_041479376	XP_063959843
XP_041470527	XP_063959907
XP_041470296	XP_063960035
XP_041471301	XP_063960099
XP_041471833	XP_063960163
XP_041467693	XP_063960227
XP_041472746	XP_063960387
XP_041471850	XP_063960611
XP_041471614	XP_063960643
XP_041471739	XP_063960675
XP_041472585	XP_063960707
XP_041472359	XP_063960739
XP_041472411	XP_063960835
XP_041472112	XP_063960867
XP_041472444	XP_063960899
XP_041453540	XP_063960963
XP_041472419	XP_063960995
XP_041472086	XP_063961027
XP_041474353	XP_063961187
XP_041473966	XP_063961251
XP_041473546	XP_063961315
XP_041473449	XP_063961443
XP_041474074	XP_063961475
XP_041473415	XP_063961507
